date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-02-09,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454633117177287,9
2026-02-10,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,1,4.454747707312025,13
2026-02-11,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454681207294447,13
2026-02-12,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454739304337712,14
2026-02-13,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454665245615735,14
2026-02-14,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454664609146495,16
2026-02-15,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454718564420346,17
2026-02-16,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,1,4.454732005730289,18
2026-02-17,0.1.1,2026-02-08T23:54:20.867+00:00,2,5,1,0,2,4.454779428365016,18
2026-02-18,0.1.1,2026-02-08T23:54:20.867+00:00,3,5,1,0,1,4.455594516231104,21
2026-02-19,0.1.1,2026-02-08T23:54:20.867+00:00,3,5,1,0,1,4.455499038200855,23
2026-02-20,0.1.1,2026-02-08T23:54:20.867+00:00,4,5,1,0,1,4.455393153292679,26
2026-02-21,0.1.1,2026-02-08T23:54:20.867+00:00,6,5,1,0,4,4.455349539366726,29
2026-02-22,0.1.1,2026-02-08T23:54:20.867+00:00,7,5,1,0,21,4.455457740801651,30
2026-02-23,0.1.1,2026-02-08T23:54:20.867+00:00,7,5,1,0,24,4.455322660717854,30
2026-02-24,0.1.1,2026-02-08T23:54:20.867+00:00,7,5,1,0,1,4.455393161401745,32
2026-02-25,0.1.1,2026-02-08T23:54:20.867+00:00,8,5,1,0,36,4.45553015423254,33
2026-02-26,0.1.1,2026-02-08T23:54:20.867+00:00,8,5,1,0,7,4.455524947222079,34
2026-02-27,0.1.1,2026-02-08T23:54:20.867+00:00,8,5,1,0,7,4.4555940839289505,36
2026-02-28,0.1.1,2026-02-08T23:54:20.867+00:00,8,5,1,0,4,4.45566055930569,37
2026-03-01,0.1.1,2026-02-08T23:54:20.867+00:00,9,5,1,0,7,4.455835769589103,38
2026-03-02,0.1.1,2026-02-08T23:54:20.867+00:00,10,5,1,0,4,4.455847500626208,40
2026-03-03,0.1.1,2026-02-08T23:54:20.867+00:00,10,5,1,0,7,4.455920592219733,40
2026-03-04,0.1.1,2026-02-08T23:54:20.867+00:00,10,5,1,0,7,4.455632275369945,41
2026-03-05,0.1.1,2026-02-08T23:54:20.867+00:00,10,5,1,0,7,4.455583349368225,43
2026-03-06,0.1.1,2026-02-08T23:54:20.867+00:00,11,5,1,0,4,4.4556433003435725,44
2026-03-07,0.1.1,2026-02-08T23:54:20.867+00:00,11,5,1,0,4,4.4555930639985135,45
2026-03-08,0.1.1,2026-02-08T23:54:20.867+00:00,11,5,1,0,7,4.455549010065825,47
2026-03-09,0.1.1,2026-02-08T23:54:20.867+00:00,11,5,1,0,7,4.455625883994342,48
2026-03-10,0.1.1,2026-02-08T23:54:20.867+00:00,12,5,1,0,10,4.455726968045642,50
2026-03-11,0.1.1,2026-02-08T23:54:20.867+00:00,12,5,2,0,10,4.455776484879483,51
2026-03-12,0.1.1,2026-02-08T23:54:20.867+00:00,12,5,1,0,10,4.455784529857184,53
2026-03-13,0.1.1,2026-02-08T23:54:20.867+00:00,12,5,1,0,4,4.455678254593763,55
2026-03-14,0.1.1,2026-02-08T23:54:20.867+00:00,13,5,1,0,4,4.4554164725107075,59
2026-03-15,0.1.1,2026-02-08T23:54:20.867+00:00,13,5,1,0,4,4.455323927844458,60
2026-03-16,0.1.1,2026-02-08T23:54:20.867+00:00,13,5,1,0,5,4.455348599859667,62
2026-03-17,0.1.1,2026-02-08T23:54:20.867+00:00,13,5,1,0,1,4.455384124960153,64
2026-03-18,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,2,0,9,4.455440434317174,65
2026-03-19,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,2,0,19,4.45532939318286,66
2026-03-20,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,2,0,6,4.455435398354009,66
2026-03-21,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,2,0,6,4.455335666560611,67
2026-03-22,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,1,0,6,4.455252175683241,68
2026-03-23,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,1,0,1,4.455299287154149,69
2026-03-24,0.1.1,2026-02-08T23:54:20.867+00:00,14,5,1,0,1,4.455385065215733,70
2026-03-27,0.1.1,2026-02-08T23:54:20.867+00:00,16,5,1,0,21,4.4554204178483285,74
2026-03-28,0.1.1,2026-02-08T23:54:20.867+00:00,16,5,1,0,21,4.455362579924896,75
2026-03-29,0.1.1,2026-02-08T23:54:20.867+00:00,16,5,1,0,27,4.4553012048192775,76
2026-03-30,0.1.1,2026-02-08T23:54:20.867+00:00,16,5,1,0,27,4.455505909940742,77
2026-03-31,0.1.1,2026-02-08T23:54:20.867+00:00,16,5,1,0,21,4.455453762132847,79
2026-04-01,0.1.1,2026-02-08T23:54:20.867+00:00,16,5,3,0,21,4.455421030635377,80
2026-04-02,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,2,0,20,4.4552859421280475,82
2026-04-03,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,2,0,9,4.454983648244321,83
2026-04-04,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,2,0,21,4.45495874300528,83
2026-04-05,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,1,0,27,4.454811490693045,85
2026-04-06,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,2,0,27,4.454875151637687,86
2026-04-07,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,1,0,27,4.454877294027004,89
2026-04-08,0.1.1,2026-02-08T23:54:20.867+00:00,18,5,1,0,4,4.454955722608295,91
2026-04-09,0.1.1,2026-02-08T23:54:20.867+00:00,19,5,1,0,27,4.454924521993654,93
2026-04-10,0.1.1,2026-02-08T23:54:20.867+00:00,19,5,1,0,27,4.454800532166434,96
2026-04-11,0.1.1,2026-02-08T23:54:20.867+00:00,19,5,1,0,27,4.454749434328537,98
2026-04-12,0.1.1,2026-02-08T23:54:20.867+00:00,19,5,1,0,27,4.454772286211155,99
2026-04-13,0.1.1,2026-02-08T23:54:20.867+00:00,19,5,1,0,27,4.45482145894091,102
2026-04-16,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,27,4.454800447781845,110
2026-04-17,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,1,4.454811192064221,112
2026-04-18,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,3,4.454777910410253,114
2026-04-19,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,3,4.45467162360743,116
2026-04-21,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,3,4.4545426019943895,120
2026-04-22,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,3,4.454523213579991,122
2026-04-23,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,9,4.453468401231599,124
2026-04-24,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,1,4.454509560606915,125
2026-04-25,0.1.1,2026-02-08T23:54:20.867+00:00,21,5,1,0,1,4.4544458084882494,128
2026-04-26,0.1.1,2026-02-08T23:54:20.867+00:00,23,5,1,0,3,4.454483406386975,129
2026-04-27,0.1.1,2026-02-08T23:54:20.867+00:00,23,5,1,0,9,4.454354807409401,130
2026-04-29,0.1.1,2026-02-08T23:54:20.867+00:00,25,5,2,0,5,4.454284499255794,132
2026-04-30,0.1.1,2026-02-08T23:54:20.867+00:00,25,5,1,0,5,4.45437218399855,135
2026-05-01,0.1.1,2026-02-08T23:54:20.867+00:00,25,5,1,0,5,4.45425869478313,138
2026-05-02,0.1.1,2026-02-08T23:54:20.867+00:00,25,5,1,0,5,4.454240102888751,141
2026-05-03,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,5,4.454280489555443,143
2026-05-06,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,5,4.454492189934802,147
2026-05-07,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,5,4.454427651170614,147
2026-05-08,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,5,4.454476418118554,149
2026-05-09,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,5,4.454337274424393,150
2026-05-10,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,5,4.454291526435952,150
2026-05-11,0.1.1,2026-02-08T23:54:20.867+00:00,26,5,1,0,7,4.454356601297433,152
