date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.1,2023-07-31T11:32:39.077+00:00,14417,5,2,0.0069410703130422715,1741,4.502670607757727,56
2024-11-26,0.1.1,2023-07-31T11:32:39.077+00:00,14425,5,2,0.0069410703130422715,1741,4.502670607757727,56
2024-11-27,0.1.1,2023-07-31T11:32:39.077+00:00,14440,5,2,0.0069280864625190525,1741,4.502670607757727,56
2024-11-28,0.1.1,2023-07-31T11:32:39.077+00:00,14463,5,2,0.006918978758735211,1741,4.502670607757727,56
2024-11-29,0.1.1,2023-07-31T11:32:39.077+00:00,14486,5,2,0.006907508461697865,1741,4.502670607757727,56
2024-11-30,0.1.1,2023-07-31T11:32:39.077+00:00,14508,5,2,0,1741,4.502670607757727,56
2024-12-01,0.1.1,2023-07-31T11:32:39.077+00:00,14524,5,2,0,1741,4.502670607757727,56
2024-12-02,0.1.1,2023-07-31T11:32:39.077+00:00,14546,5,2,0,1741,4.502670607757727,56
2024-12-03,0.1.1,2023-07-31T11:32:39.077+00:00,14583,5,2,0.006863417982155113,1741,4.502670607757727,56
2024-12-04,0.1.1,2023-07-31T11:32:39.077+00:00,14619,5,2,0.013690190978164145,1741,4.502670607757727,56
2024-12-05,0.1.1,2023-07-31T11:32:39.077+00:00,14648,5,2,0.006834335702569709,1741,4.502670607757727,56
2024-12-06,0.1.1,2023-07-31T11:32:39.077+00:00,14679,5,2,0.0068180268630258405,1741,4.502670607757727,56
2024-12-07,0.1.1,2023-07-31T11:32:39.077+00:00,14701,5,2,0,1741,4.502670607757727,68
2024-12-08,0.1.1,2023-07-31T11:32:39.077+00:00,14717,5,2,0,1741,4.502670607757727,76
2024-12-09,0.1.1,2023-07-31T11:32:39.077+00:00,14740,5,2,0,1741,4.502670607757727,96
2024-12-10,0.1.1,2023-07-31T11:32:39.077+00:00,14766,5,2,0,1742,4.502670607757727,96
2024-12-11,0.1.1,2023-07-31T11:32:39.077+00:00,14793,5,2,0.006764984440535787,1742,4.502670607757727,96
2024-12-12,0.1.1,2023-07-31T11:32:39.077+00:00,14819,5,2,0,1742,4.502670607757727,96
2024-12-13,0.1.1,2023-07-31T11:32:39.077+00:00,14845,5,2,0.0067403612833647885,1742,4.502670607757727,96
2024-12-14,0.1.1,2023-07-31T11:32:39.077+00:00,14862,5,2,0,1742,4.502670607757727,104
2024-12-15,0.1.1,2023-07-31T11:32:39.077+00:00,14879,5,2,0,1742,4.502670607757727,104
2024-12-16,0.1.1,2023-07-31T11:32:39.077+00:00,14893,5,2,0,1743,4.502670607757727,104
2024-12-17,0.1.1,2023-07-31T11:32:39.077+00:00,14907,5,2,0,1743,4.502670607757727,104
2024-12-17,0.1.1,2023-07-31T11:32:39.077+00:00,14925,5,2,0,1743,4.502670607757727,104
2024-12-18,0.1.1,2023-07-31T11:32:39.077+00:00,14951,5,2,0,1743,4.502670607757727,104
2024-12-19,0.1.1,2023-07-31T11:32:39.077+00:00,14973,5,2,0,1743,4.502670607757727,104
2024-12-20,0.1.1,2023-07-31T11:32:39.077+00:00,15011,5,2,0,1743,4.502670607757727,104
2024-12-21,0.1.1,2023-07-31T11:32:39.077+00:00,15033,5,2,0.006654688227856525,1743,4.502670607757727,105
2024-12-22,0.1.1,2023-07-31T11:32:39.077+00:00,15046,5,2,0,1744,4.502670607757727,109
2024-12-23,0.1.1,2023-07-31T11:32:39.077+00:00,15067,5,2,0,1744,4.502670607757727,109
2024-12-24,0.1.1,2023-07-31T11:32:39.077+00:00,15091,5,2,0.013261720045089846,1744,4.502670607757727,109
2024-12-25,0.1.1,2023-07-31T11:32:39.077+00:00,15106,5,2,0.006624710168930109,1744,4.502670607757727,109
2024-12-26,0.1.1,2023-07-31T11:32:39.077+00:00,15125,5,2,0.006615944426066821,1744,4.502670607757727,109
2024-12-27,0.1.1,2023-07-31T11:32:39.077+00:00,15158,5,2,0,1744,4.502670607757727,109
2024-12-28,0.1.1,2023-07-31T11:32:39.077+00:00,15178,5,2,0,1744,4.502670607757727,109
2024-12-29,0.1.1,2023-07-31T11:32:39.077+00:00,15191,5,2,0,1744,4.502670607757727,109
2024-12-30,0.1.1,2023-07-31T11:32:39.077+00:00,15208,5,2,0.01315962626661403,1744,4.502670607757727,109
