date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-21,1.0.0,2025-06-20T16:24:52.52+00:00,7,5,4,0,2,4.403204729309272,4
2025-06-22,1.0.0,2025-06-20T16:24:52.52+00:00,20,5,1,0,10,4.403204729309272,7
2025-06-23,1.0.0,2025-06-20T16:24:52.52+00:00,34,5,1,0,22,4.403204729309272,8
2025-06-24,1.0.0,2025-06-20T16:24:52.52+00:00,41,5,2,0,4,4.403204729309272,9
2025-06-25,1.0.0,2025-06-20T16:24:52.52+00:00,50,5,1,0,2,4.403204729309272,10
2025-06-26,1.0.0,2025-06-20T16:24:52.52+00:00,60,5,1,0,35,4.403204729309272,12
2025-06-27,1.0.0,2025-06-20T16:24:52.52+00:00,67,5,2,0,77,4.403204729309272,13
2025-06-28,1.0.0,2025-06-20T16:24:52.52+00:00,78,5,1,0,5,4.403204729309272,14
2025-06-29,1.0.0,2025-06-20T16:24:52.52+00:00,83,5,1,0,81,4.403204729309272,15
2025-06-30,1.0.0,2025-06-20T16:24:52.52+00:00,93,5,1,0,110,4.403204729309272,16
2025-07-01,1.0.0,2025-06-20T16:24:52.52+00:00,102,5,2,0,11,4.403204729309272,17
2025-07-02,1.0.0,2025-06-20T16:24:52.52+00:00,112,5,1,0.9090909090909091,36,4.403204729309272,18
2025-07-03,1.0.0,2025-06-20T16:24:52.52+00:00,120,5,1,0,35,4.403204729309272,18
2025-07-04,1.0.0,2025-06-20T16:24:52.52+00:00,131,5,1,0,2,4.403204729309272,19
2025-07-05,1.0.0,2025-06-20T16:24:52.52+00:00,138,5,1,0,77,4.403204729309272,21
2025-07-06,1.0.0,2025-06-20T16:24:52.52+00:00,148,5,3,0,21,4.403204729309272,22
2025-07-07,1.0.0,2025-06-20T16:24:52.52+00:00,156,5,1,0,1,4.403204729309272,22
2025-07-08,1.0.0,2025-06-20T16:24:52.52+00:00,168,5,5,0.6172839506172839,2,4.403204729309272,22
2025-07-09,1.0.0,2025-06-20T16:24:52.52+00:00,176,5,5,0,11,4.403204729309272,22
2025-07-10,1.0.0,2025-06-20T16:24:52.52+00:00,191,5,1,0,1,4.403204729309272,24
2025-07-11,1.0.0,2025-06-20T16:24:52.52+00:00,196,5,1,0,44,4.403204729309272,25
2025-07-12,1.0.0,2025-06-20T16:24:52.52+00:00,214,5,1,0.9523809523809524,215,4.403204729309272,25
2025-07-13,1.0.0,2025-06-20T16:24:52.52+00:00,220,5,1,0,89,4.403204729309272,25
2025-07-14,1.0.0,2025-06-20T16:24:52.52+00:00,230,5,3,0.43859649122807015,13,4.403204729309272,25
2025-07-15,1.0.0,2025-06-20T16:24:52.52+00:00,241,5,1,0,12,4.403204729309272,26
2025-07-16,1.0.0,2025-06-20T16:24:52.52+00:00,252,5,1,0,337,4.457579009800322,27
2025-07-17,1.0.0,2025-06-20T16:24:52.52+00:00,269,5,1,0,1,4.457495677945172,28
2025-07-18,1.0.0,2025-06-20T16:24:52.52+00:00,279,5,1,0,6,4.4576272381718045,30
2025-07-19,1.0.0,2025-06-20T16:24:52.52+00:00,288,5,1,0,375,4.457726522958932,31
2025-07-20,1.0.0,2025-06-20T16:24:52.52+00:00,296,5,2,0,269,4.4577909951304076,32
2025-07-21,1.0.0,2025-06-20T16:24:52.52+00:00,309,5,1,0,1,4.457829882271712,32
2025-07-22,1.0.0,2025-06-20T16:24:52.52+00:00,322,5,1,0,131,4.457674975355584,32
2025-07-23,1.0.0,2025-06-20T16:24:52.52+00:00,332,5,3,0,4,4.4577087116253535,33
2025-07-24,1.0.0,2025-06-20T16:24:52.52+00:00,345,5,1,0,1,4.457541628268531,34
2025-07-25,1.0.0,2025-06-20T16:24:52.52+00:00,354,5,1,0,1,4.457681971042226,36
2025-07-26,1.0.0,2025-06-20T16:24:52.52+00:00,368,5,2,0,2,4.457387980522629,36
2025-07-27,1.0.0,2025-06-20T16:24:52.52+00:00,378,5,1,0,2,4.457345339102096,36
2025-07-28,1.0.0,2025-06-20T16:24:52.52+00:00,387,5,1,0,2,4.457094307561597,37
