date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-07-31,0.0.1,2025-07-31T09:49:17.63+00:00,1,5,1,0,2,4.457257046697518,10
2025-08-01,0.0.1,2025-07-31T13:51:06.28+00:00,39,5,2,0,5,4.457290622788146,28
2025-08-02,0.0.1,2025-07-31T13:51:06.28+00:00,50,3,1,0,45,4.457275942983224,46
2025-08-03,0.0.1,2025-07-31T13:51:06.28+00:00,57,4.5,2,0,1,4.457285517202743,46
2025-08-04,0.0.1,2025-07-31T13:51:06.28+00:00,61,4.5,2,0,5,4.457214271711429,46
2025-08-05,0.0.1,2025-07-31T13:51:06.28+00:00,67,5,2,0,7,4.457010693091479,46
2025-08-06,0.0.1,2025-07-31T13:51:06.28+00:00,72,5,1,0,3,4.456822856183454,46
2025-08-07,0.0.1,2025-07-31T13:51:06.28+00:00,80,5,2,0,5,4.456780283167278,46
2025-08-08,0.0.1,2025-07-31T13:51:06.28+00:00,86,5,1,0,69,4.456551666305616,46
2025-08-09,0.0.1,2025-07-31T13:51:06.28+00:00,96,5,1,0,22,4.456438375301226,46
2025-08-10,0.0.1,2025-07-31T13:51:06.28+00:00,97,5,1,0,22,4.456366746971125,46
2025-08-11,0.0.1,2025-07-31T13:51:06.28+00:00,100,5,1,0,4,4.456390316095163,46
2025-08-12,0.0.1,2025-07-31T13:51:06.28+00:00,102,5,1,0,4,4.4563653490562745,46
2025-08-13,0.0.1,2025-07-31T13:51:06.28+00:00,104,5,1,0,8,4.456307971267173,46
2025-08-14,0.0.1,2025-07-31T13:51:06.28+00:00,109,5,1,0,184,4.456267032821507,46
2025-08-15,0.0.1,2025-07-31T13:51:06.28+00:00,116,5,2,0,12,4.456081198754433,46
2025-08-16,0.0.1,2025-07-31T13:51:06.28+00:00,120,5,1,0.8333333333333334,1,4.456051532033426,47
2025-08-17,0.0.1,2025-07-31T13:51:06.28+00:00,122,5,1,0,59,4.455973266499583,47
2025-08-18,0.0.1,2025-07-31T13:51:06.28+00:00,126,5,1,0,4,4.455939470716801,47
2025-08-19,0.0.1,2025-07-31T13:51:06.28+00:00,129,5,1,0,4,4.4559918189027865,47
2025-08-20,0.0.1,2025-07-31T13:51:06.28+00:00,134,5,1,0,1,4.455821715398255,47
2025-08-21,0.0.1,2025-07-31T13:51:06.28+00:00,137,5,1,0,37,4.455746523313433,47
2025-08-22,0.0.1,2025-07-31T13:51:06.28+00:00,142,5,1,0,37,4.455550229595204,47
2025-08-23,0.0.1,2025-07-31T13:51:06.28+00:00,142,5,1,0,37,4.455541666666667,47
2025-08-24,0.0.1,2025-07-31T13:51:06.28+00:00,142,5,1,0,37,4.455446094460528,47
2025-08-25,0.0.1,2025-07-31T13:51:06.28+00:00,147,5,1,0,2,4.45554807498768,47
2025-08-26,0.0.1,2025-07-31T13:51:06.28+00:00,150,5,1,0,50,4.4554693786941195,47
2025-08-27,0.0.1,2025-07-31T13:51:06.28+00:00,154,5,1,0,12,4.455515644069677,47
2025-08-28,0.0.1,2025-07-31T13:51:06.28+00:00,159,5,1,0,7,4.455739181651249,47
2025-08-29,0.0.1,2025-07-31T13:51:06.28+00:00,164,5,1,0,3,4.45567928422044,47
2025-08-30,0.0.1,2025-07-31T13:51:06.28+00:00,167,5,1,0,18,4.455571168502149,47
2025-08-31,0.0.1,2025-07-31T13:51:06.28+00:00,168,5,1,0,1,4.455629450722842,47
2025-09-01,0.0.1,2025-07-31T13:51:06.28+00:00,170,5,1,0,48,4.455486370554864,47
2025-09-02,0.0.1,2025-07-31T13:51:06.28+00:00,172,5,1,0,194,4.455414937759336,47
2025-09-03,0.0.1,2025-07-31T13:51:06.28+00:00,175,5,1,0,195,4.455591809647583,47
2025-09-04,0.0.1,2025-07-31T13:51:06.28+00:00,180,5,5,0,3,4.455590798211608,47
2025-09-05,0.0.1,2025-07-31T13:51:06.28+00:00,182,5,5,0,3,4.455567758736211,47
2025-09-06,0.0.1,2025-07-31T13:51:06.28+00:00,183,5,5,0,11,4.455665960047231,47
2025-09-07,0.0.1,2025-07-31T13:51:06.28+00:00,185,5,1,0.5434782608695652,5,4.455663783403171,47
2025-09-08,0.0.1,2025-07-31T13:51:06.28+00:00,188,5,1,0,21,4.455598269067519,47
2025-09-09,0.0.1,2025-07-31T13:51:06.28+00:00,190,5,1,0,3,4.455695067264574,47
2025-09-10,0.0.1,2025-07-31T13:51:06.28+00:00,195,5,1,0,347,4.455711478122953,47
2025-09-11,0.0.1,2025-07-31T13:51:06.28+00:00,199,5,1,0,347,4.455640797645389,47
2025-09-12,0.0.1,2025-07-31T13:51:06.28+00:00,201,5,1,0,51,4.455289312551226,47
2025-09-13,0.0.1,2025-07-31T13:51:06.28+00:00,201,5,1,0,1,4.4552288639070365,47
2025-09-14,0.0.1,2025-07-31T13:51:06.28+00:00,204,5,2,0,1,4.454242928452579,47
2025-09-15,0.0.1,2025-07-31T13:51:06.28+00:00,210,5,1,0,1,4.4551271466314395,47
2025-09-16,0.0.1,2025-07-31T13:51:06.28+00:00,213,5,1,0,1,4.455069314556057,47
2025-09-17,0.0.1,2025-07-31T13:51:06.28+00:00,215,5,1,0.46511627906976744,1,4.455058458027755,47
2025-09-18,0.0.1,2025-07-31T13:51:06.28+00:00,217,5,1,0,1,4.455029508557138,47
2025-09-19,0.0.1,2025-07-31T13:51:06.28+00:00,218,5,1,0,1,4.454980014010797,47
2025-09-20,0.0.1,2025-07-31T13:51:06.28+00:00,220,5,3,0,1,4.454992378572115,47
2025-09-21,0.0.1,2025-07-31T13:51:06.28+00:00,223,5,1,0,2,4.45512516903139,47
2025-09-22,0.0.2,2025-09-22T10:44:58.06+00:00,223,5,1,0,4,4.455145625737736,55
2025-09-23,0.0.2,2025-09-22T10:44:58.06+00:00,224,5,1,0,40,4.455230280535412,73
2025-09-24,0.0.2,2025-09-22T10:44:58.06+00:00,229,5,1,0,49,4.455210012000686,73
2025-09-25,0.0.2,2025-09-22T10:44:58.06+00:00,233,5,1,0,52,4.454936769594571,73
2025-09-26,0.0.2,2025-09-22T10:44:58.06+00:00,237,5,1,0,57,4.454640743176586,83
2025-09-27,0.0.2,2025-09-22T10:44:58.06+00:00,239,5,1,0,61,4.454490673532554,85
2025-09-28,0.0.2,2025-09-22T10:44:58.06+00:00,239,5,1,0,63,4.454505004038827,85
2025-09-29,0.0.2,2025-09-22T10:44:58.06+00:00,243,5,1,0,64,4.454455235474885,85
2025-09-30,0.0.2,2025-09-22T10:44:58.06+00:00,244,5,1,0,65,4.45433647813802,85
2025-10-01,0.0.2,2025-09-22T10:44:58.06+00:00,248,4,1,0,65,4.453834319122021,85
2025-10-02,0.0.2,2025-09-22T10:44:58.06+00:00,250,5,1,0,66,4.453612193288223,85
2025-10-03,0.0.2,2025-09-22T10:44:58.06+00:00,250,5,1,0,66,4.453395995710177,85
2025-10-04,0.0.2,2025-09-22T10:44:58.06+00:00,251,5,1,0,66,4.453127773757015,85
2025-10-05,0.0.2,2025-09-22T10:44:58.06+00:00,251,5,1,0,66,4.453018462273487,85
2025-10-06,0.0.2,2025-09-22T10:44:58.06+00:00,253,5,1,0,66,4.453004633009682,85
2025-10-07,0.0.2,2025-09-22T10:44:58.06+00:00,257,5,1,0.38910505836575876,67,4.452742290824017,85
2025-10-08,0.0.2,2025-09-22T10:44:58.06+00:00,263,5,1,0,69,4.452590526968889,85
2025-10-09,0.0.2,2025-09-22T10:44:58.06+00:00,268,5,1,0,70,4.452556535488884,85
2025-10-10,0.0.2,2025-09-22T10:44:58.06+00:00,269,5,1,0,70,4.452215198495954,86
2025-10-11,0.0.2,2025-09-22T10:44:58.06+00:00,270,5,1,0,73,4.452094340650362,86
2025-10-12,0.0.2,2025-09-22T10:44:58.06+00:00,271,5,1,0,74,4.451992513187,86
2025-10-13,0.0.2,2025-09-22T10:44:58.06+00:00,273,5,1,0,75,4.452025064123061,87
2025-10-14,0.0.2,2025-09-22T10:44:58.06+00:00,276,5,3,0,75,4.451773300501993,87
2025-10-15,0.0.2,2025-09-22T10:44:58.06+00:00,277,5,3,0,76,4.45156575064928,87
2025-10-16,0.0.2,2025-09-22T10:44:58.06+00:00,279,5,3,0,76,4.45193431748362,87
2025-10-17,0.0.2,2025-09-22T10:44:58.06+00:00,280,5,3,0,76,4.451965080335609,87
2025-10-18,0.0.2,2025-09-22T10:44:58.06+00:00,283,4,2,0,76,4.451933851743693,95
2025-10-19,0.0.2,2025-09-22T10:44:58.06+00:00,287,5,1,0,76,4.4519173320297645,95
