date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-03-12,0.3.5,2025-03-12T09:42:01.347+00:00,7,5,1,0,3,4.403204729309272,14
2025-03-12,0.3.5,2025-03-12T09:42:01.347+00:00,7,5,2,0,3,4.403204729309272,14
2025-03-13,0.3.5,2025-03-12T09:42:01.347+00:00,8,5,1,0,3,4.403204729309272,20
2025-03-13,0.3.5,2025-03-12T09:42:01.347+00:00,8,5,2,0,3,4.403204729309272,20
2025-03-14,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,26
2025-03-14,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,26
2025-03-15,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,31
2025-03-15,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,31
2025-03-16,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-16,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-17,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-17,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-18,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-18,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,34
2025-03-19,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,35
2025-03-19,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,35
2025-03-20,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,40
2025-03-20,0.3.5,2025-03-12T09:42:01.347+00:00,9,5,1,0,3,4.403204729309272,40
2025-03-21,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,41
2025-03-21,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,41
2025-03-22,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,42
2025-03-22,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,42
2025-03-23,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,42
2025-03-23,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,42
2025-03-24,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,43
2025-03-24,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,43
2025-03-25,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,2,0,3,4.403204729309272,45
2025-03-25,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,45
2025-03-26,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,48
2025-03-26,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,48
2025-03-27,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,49
2025-03-27,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,49
2025-03-28,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,51
2025-03-28,0.3.5,2025-03-12T09:42:01.347+00:00,10,5,1,0,3,4.403204729309272,51
