date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-04-12,0.2.1,2025-04-12T02:11:32.733+00:00,6,5,1,0,1,4.403204729309272,3
2025-04-13,0.3.8,2025-04-12T23:46:59.53+00:00,11,5,3,0,1,4.403204729309272,6
2025-04-14,0.3.8,2025-04-12T23:46:59.53+00:00,17,5,3,0,2,4.403204729309272,11
2025-04-15,0.3.8,2025-04-12T23:46:59.53+00:00,25,5,4,0,3,4.403204729309272,20
2025-04-16,0.3.8,2025-04-12T23:46:59.53+00:00,33,5,1,0,3,4.403204729309272,23
2025-04-17,0.3.8,2025-04-12T23:46:59.53+00:00,39,5,1,0,3,4.403204729309272,25
2025-04-18,0.4.0,2025-04-17T16:06:37.863+00:00,47,5,2,0,5,4.403204729309272,28
2025-04-19,0.5.8,2025-04-18T23:52:19.003+00:00,48,5,2,0,9,4.403204729309272,37
2025-04-20,0.6.3,2025-04-19T19:56:05.17+00:00,52,5,1,0,12,4.457458844826611,44
2025-04-21,0.6.9,2025-04-21T06:29:26.767+00:00,62,5,1,0,17,4.457458844826611,57
2025-04-22,0.7.0,2025-04-21T15:27:48.887+00:00,77,5,1,0,26,4.457458844826611,74
2025-04-23,0.7.0,2025-04-21T15:27:48.887+00:00,86,5,1,0,26,4.457458844826611,76
2025-04-24,0.7.0,2025-04-21T15:27:48.887+00:00,98,5,1,0,28,4.457458844826611,88
2025-04-25,0.7.0,2025-04-21T15:27:48.887+00:00,112,5,1,0.9345794392523363,28,4.457458844826611,88
