date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.0,2024-10-28T21:36:05.133+00:00,32864,5,3,0,22263,4.540926714853287,332
2024-11-26,1.0.0,2024-10-28T21:36:05.133+00:00,32865,5,3,0,22271,4.540926714853287,332
2024-11-27,1.0.0,2024-10-28T21:36:05.133+00:00,32870,5,3,0,22286,4.540926714853287,333
2024-11-28,1.0.0,2024-10-28T21:36:05.133+00:00,32878,5,3,0,22300,4.540926714853287,333
2024-11-29,1.0.0,2024-10-28T21:36:05.133+00:00,32886,5,3,0,22317,4.540926714853287,333
2024-11-30,1.0.0,2024-10-28T21:36:05.133+00:00,32892,5,3,0,22329,4.540926714853287,333
2024-12-01,1.0.0,2024-10-28T21:36:05.133+00:00,32895,5,3,0,22337,4.540926714853287,333
2024-12-02,1.0.0,2024-10-28T21:36:05.133+00:00,32902,5,3,0,22346,4.540926714853287,333
2024-12-03,1.0.0,2024-10-28T21:36:05.133+00:00,32907,5,3,0.0030389594602808,22363,4.540926714853287,333
2024-12-04,1.0.0,2024-10-28T21:36:05.133+00:00,32912,5,3,0,22377,4.540926714853287,333
2024-12-05,1.0.0,2024-10-28T21:36:05.133+00:00,32925,5,3,0,22396,4.540926714853287,333
2024-12-06,1.0.0,2024-10-28T21:36:05.133+00:00,32934,5,3,0,22402,4.540926714853287,333
2024-12-07,1.0.0,2024-10-28T21:36:05.133+00:00,32940,5,3,0,22414,4.540926714853287,333
2024-12-08,1.0.0,2024-10-28T21:36:05.133+00:00,32942,5,3,0,22427,4.540926714853287,333
2024-12-09,1.0.0,2024-10-28T21:36:05.133+00:00,32949,5,3,0,22435,4.540926714853287,340
2024-12-10,1.0.0,2024-10-28T21:36:05.133+00:00,32955,5,3,0.0030347171643602816,22444,4.540926714853287,340
2024-12-11,1.0.0,2024-10-28T21:36:05.133+00:00,32963,5,3,0,22454,4.540926714853287,340
2024-12-12,1.0.0,2024-10-28T21:36:05.133+00:00,32968,5,3,0,22462,4.540926714853287,340
2024-12-13,1.0.0,2024-10-28T21:36:05.133+00:00,32974,5,3,0,22471,4.540926714853287,340
2024-12-14,1.0.0,2024-10-28T21:36:05.133+00:00,32975,5,3,0,22480,4.540926714853287,340
2024-12-15,1.0.0,2024-10-28T21:36:05.133+00:00,32977,5,3,0,22486,4.540926714853287,340
2024-12-16,1.0.0,2024-10-28T21:36:05.133+00:00,32982,5,3,0.006064465265775191,22495,4.540926714853287,341
