date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-04-16,2026.408.3,2026-04-08T18:05:14.54+00:00,17,5,1,0,3,4.454800447781845,100
2026-04-17,2026.408.3,2026-04-08T18:05:14.54+00:00,18,5,1,0,3,4.454811192064221,103
2026-04-18,2026.418.0,2026-04-18T07:33:40.307+00:00,21,5,1,0,6,4.454777910410253,107
2026-04-19,2026.418.0,2026-04-18T07:33:40.307+00:00,23,5,2,0,11,4.45467162360743,114
2026-04-21,2026.418.0,2026-04-18T07:33:40.307+00:00,27,5,1,0,13,4.4545426019943895,118
2026-04-22,2026.418.0,2026-04-18T07:33:40.307+00:00,28,5,1,0,13,4.454523213579991,120
2026-04-23,2026.418.0,2026-04-18T07:33:40.307+00:00,28,5,1,0,15,4.453468401231599,122
2026-04-24,2026.418.0,2026-04-18T07:33:40.307+00:00,30,5,1,0,16,4.454509560606915,126
2026-04-25,2026.418.0,2026-04-18T07:33:40.307+00:00,33,5,1,0,16,4.4544458084882494,131
2026-04-26,2026.418.0,2026-04-18T07:33:40.307+00:00,33,5,1,0,16,4.454483406386975,133
2026-04-27,2026.418.0,2026-04-18T07:33:40.307+00:00,37,5,1,0,16,4.454354807409401,134
2026-04-29,2026.418.0,2026-04-18T07:33:40.307+00:00,41,5,1,0,16,4.454284499255794,138
2026-04-30,2026.418.0,2026-04-18T07:33:40.307+00:00,44,5,2,0,16,4.45437218399855,152
2026-05-01,2026.430.0,2026-04-30T19:07:31.963+00:00,46,5,1,0,26,4.45425869478313,159
2026-05-02,2026.430.0,2026-04-30T19:07:31.963+00:00,47,5,1,0,30,4.454240102888751,165
2026-05-03,2026.430.0,2026-04-30T19:07:31.963+00:00,47,5,1,0,31,4.454280489555443,169
2026-05-06,2026.504.1,2026-05-04T04:10:29.19+00:00,50,5,2,0,51,4.454492189934802,207
2026-05-07,2026.504.1,2026-05-04T04:10:29.19+00:00,51,5,2,0,51,4.454427651170614,224
2026-05-08,2026.504.1,2026-05-04T04:10:29.19+00:00,54,5,4,0,51,4.454476418118554,229
2026-05-09,2026.504.1,2026-05-04T04:10:29.19+00:00,56,5,1,0,53,4.454337274424393,235
