date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-06-22,0.3.2,2026-06-21T00:47:56.133+00:00,10,5,1,0,12,4.4522631504914045,36
2026-06-23,0.3.3,2026-06-22T17:18:54.917+00:00,14,4.666666507720947,3,0,4,4.452128667771303,53
2026-06-24,0.3.4,2026-06-24T11:33:26.917+00:00,19,4,1,0,6,4.452149995415788,56
2026-06-25,0.3.4,2026-06-24T11:33:26.917+00:00,22,5,1,0,14,4.4521336396519695,75
2026-06-26,0.3.4,2026-06-24T11:33:26.917+00:00,27,5,1,0,16,4.452177949331835,78
2026-06-27,0.3.4,2026-06-24T11:33:26.917+00:00,29,5,1,0,17,4.452105150673221,86
2026-06-28,0.3.4,2026-06-24T11:33:26.917+00:00,29,5,1,0,17,4.451953363447687,89
2026-06-29,0.3.4,2026-06-24T11:33:26.917+00:00,30,5,1,0,17,4.452002123880843,92
2026-06-30,0.3.4,2026-06-24T11:33:26.917+00:00,31,5,1,0,18,4.451831559937524,95
2026-07-01,0.3.4,2026-06-24T11:33:26.917+00:00,39,5,1,0,18,4.45188067603091,98
2026-07-02,0.3.4,2026-06-24T11:33:26.917+00:00,40,5,1,0,18,4.451774515002469,102
2026-07-03,0.3.4,2026-06-24T11:33:26.917+00:00,50,5,1,0,18,4.45166853549142,103
2026-07-04,0.3.4,2026-06-24T11:33:26.917+00:00,51,5,1,0,18,4.451678150835573,104
2026-07-05,0.3.4,2026-06-24T11:33:26.917+00:00,52,5,1,0,18,4.451582051000889,105
2026-07-06,0.3.4,2026-06-24T11:33:26.917+00:00,57,5,1,0,18,4.451540803897686,106
2026-07-07,0.3.4,2026-06-24T11:33:26.917+00:00,66,5,1,0,18,4.451534743275986,108
2026-07-08,0.3.4,2026-06-24T11:33:26.917+00:00,73,5,1,0,18,4.451487450398033,108
2026-07-09,0.3.4,2026-06-24T11:33:26.917+00:00,80,5,1,0,18,4.501353322568708,110
2026-07-10,0.3.4,2026-06-24T11:33:26.917+00:00,85,5,1,0,18,4.5013679935946485,110
2026-07-11,0.3.4,2026-06-24T11:33:26.917+00:00,87,5,1,0,18,4.501377829248675,111
2026-07-12,0.3.4,2026-06-24T11:33:26.917+00:00,88,5,1,0,18,4.501277669954419,112
2026-07-13,0.3.4,2026-06-24T11:33:26.917+00:00,95,5,1,0,18,4.501304099696087,113
2026-07-14,0.3.4,2026-06-24T11:33:26.917+00:00,105,5,1,0,18,4.501295419060195,114
2026-07-15,0.3.4,2026-06-24T11:33:26.917+00:00,112,5,1,0,18,4.501306525228111,115
2026-07-16,0.3.4,2026-06-24T11:33:26.917+00:00,119,5,1,0,18,4.501312987817196,116
2026-07-17,0.3.4,2026-06-24T11:33:26.917+00:00,133,5,1,0,18,4.5011017845931125,117
2026-07-18,0.3.4,2026-06-24T11:33:26.917+00:00,135,5,1,0,18,4.5010818111774835,119
2026-07-19,0.3.4,2026-06-24T11:33:26.917+00:00,135,5,1,0,18,4.501065879397373,120
2026-07-20,0.3.4,2026-06-24T11:33:26.917+00:00,137,5,1,0,18,4.501065082494277,121
2026-07-21,0.3.4,2026-06-24T11:33:26.917+00:00,146,5,1,1.3986013986013985,18,4.501062875843866,122
2026-07-22,0.3.4,2026-06-24T11:33:26.917+00:00,150,5,1,0,18,4.501141769481011,125
2026-07-23,0.3.4,2026-06-24T11:33:26.917+00:00,155,5,2,0,18,4.54277723931831,126
2026-07-24,0.3.4,2026-06-24T11:33:26.917+00:00,159,5,2,0,18,4.542874820341392,127
2026-07-25,0.3.4,2026-06-24T11:33:26.917+00:00,166,5,2,0,18,4.542761431973202,128
2026-07-26,0.3.4,2026-06-24T11:33:26.917+00:00,168,5,2,0,18,4.542781342048985,129
2026-07-27,0.3.4,2026-06-24T11:33:26.917+00:00,176,5,2,0.5847953216374269,18,4.542750456916689,130
2026-07-28,0.3.4,2026-06-24T11:33:26.917+00:00,181,5,2,0,18,4.5428271548177905,131
2026-07-29,0.3.4,2026-06-24T11:33:26.917+00:00,189,5,2,0,18,4.542845738407853,133
2026-07-30,0.3.4,2026-06-24T11:33:26.917+00:00,191,5,2,0,18,4.542817846563086,136
2026-07-31,0.3.4,2026-06-24T11:33:26.917+00:00,197,5,2,0,18,4.542797911176655,139
2026-08-01,0.3.4,2026-06-24T11:33:26.917+00:00,201,5,2,0,18,4.542768895495213,140
2026-08-02,0.3.4,2026-06-24T11:33:26.917+00:00,204,5,2,0,18,4.542857775737219,141
2026-08-03,0.3.4,2026-06-24T11:33:26.917+00:00,207,5,2,0,18,4.542875005285381,143
2026-08-04,0.3.4,2026-06-24T11:33:26.917+00:00,218,5,2,0,18,4.54289127621072,145
2026-08-05,0.3.4,2026-06-24T11:33:26.917+00:00,231,5,2,0,18,4.542931396696609,147
2026-08-06,0.3.4,2026-06-24T11:33:26.917+00:00,237,5,2,0,18,4.542931396696609,148
2026-08-07,0.3.4,2026-06-24T11:33:26.917+00:00,250,5,2,0,18,4.542893213759441,150
2026-08-08,0.3.4,2026-06-24T11:33:26.917+00:00,252,5,2,0,18,4.542945278430899,151
2026-08-09,0.3.4,2026-06-24T11:33:26.917+00:00,255,5,2,0,18,4.542990661716251,152
2026-08-10,0.3.4,2026-06-24T11:33:26.917+00:00,260,5,2,0,18,4.542812746556491,153
2026-08-11,0.3.4,2026-06-24T11:33:26.917+00:00,268,5,2,0,18,4.542938680258912,154
