date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-11-26,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-11-27,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-11-28,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-11-29,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-11-30,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-01,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-02,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-03,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-04,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-05,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-06,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-07,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-08,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-09,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-10,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-11,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-12,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-13,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,24
2024-12-14,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,33
2024-12-15,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,33
2024-12-16,2.0.1,2024-03-21T08:08:40.93+00:00,56,5,1,0,9,4.457458844826611,33
