date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-12-01,0.1.0,2025-12-01T08:55:50.16+00:00,1,5,1,0,1,4.452530377887569,9
2025-12-02,0.1.0,2025-12-01T08:55:50.16+00:00,1,5,1,0,1,4.4525093432995195,11
2025-12-03,0.1.0,2025-12-01T08:55:50.16+00:00,1,5,1,0,1,4.452543254672305,11
2025-12-04,0.1.0,2025-12-01T08:55:50.16+00:00,1,5,1,0,1,4.452436194895592,13
2025-12-05,0.1.0,2025-12-01T08:55:50.16+00:00,2,5,1,0,1,4.45268825085455,14
2025-12-06,0.1.0,2025-12-01T08:55:50.16+00:00,3,5,1,0,1,4.452994639944069,17
2025-12-07,0.1.0,2025-12-01T08:55:50.16+00:00,3,5,1,0,1,4.453056361651713,17
2025-12-08,0.1.0,2025-12-01T08:55:50.16+00:00,3,5,1,0,1,4.4530176113266045,17
2025-12-09,0.1.0,2025-12-01T08:55:50.16+00:00,6,5,1,0,1,4.453158143215262,18
2025-12-10,0.1.0,2025-12-01T08:55:50.16+00:00,6,5,1,0,1,4.452813887338172,20
2025-12-11,0.1.0,2025-12-01T08:55:50.16+00:00,6,5,1,0,1,4.45188112236427,22
2025-12-12,0.1.0,2025-12-01T08:55:50.16+00:00,6,5,1,0,1,4.451613545552296,22
2025-12-13,0.1.0,2025-12-01T08:55:50.16+00:00,6,5,1,0,1,4.451220482886708,26
2025-12-14,0.1.0,2025-12-01T08:55:50.16+00:00,7,5,1,0,1,4.45116565881604,27
2025-12-15,0.1.0,2025-12-01T08:55:50.16+00:00,7,5,1,0,1,4.451181598223459,27
2025-12-16,0.1.0,2025-12-01T08:55:50.16+00:00,8,5,1,0,1,4.45108432776979,29
2025-12-17,0.1.0,2025-12-01T08:55:50.16+00:00,8,5,1,0,1,4.451159187079087,30
2025-12-18,0.1.0,2025-12-01T08:55:50.16+00:00,8,5,1,0,1,4.450978315549789,31
2025-12-19,0.1.0,2025-12-01T08:55:50.16+00:00,8,5,1,0,1,4.4510051664031645,31
2025-12-20,0.1.0,2025-12-01T08:55:50.16+00:00,8,5,1,0,1,4.451083470544281,34
2025-12-21,0.1.0,2025-12-01T08:55:50.16+00:00,9,5,1,0,1,4.4510405373244835,36
2025-12-22,0.1.0,2025-12-01T08:55:50.16+00:00,9,5,1,0,1,4.451028730428345,38
2025-12-23,0.1.0,2025-12-01T08:55:50.16+00:00,9,5,1,0,1,4.4510223631618935,41
2025-12-24,0.1.0,2025-12-01T08:55:50.16+00:00,9,5,1,0,1,4.451174493320214,41
2025-12-25,0.1.0,2025-12-01T08:55:50.16+00:00,9,5,1,0,1,4.451266850631775,44
