date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-01-04,0.0.1,2026-01-03T17:30:44.037+00:00,2,5,1,0,1,4.451136131821562,6
2026-01-05,0.0.1,2026-01-03T17:30:44.037+00:00,5,5,1,0,1,4.4511825268905625,6
2026-03-08,0.17.208,2026-03-07T23:13:36.76+00:00,2392,5,1,0.08406893652795291,9893,4.505044554605295,663
2026-03-09,0.25.2,2026-03-09T11:19:16.59+00:00,2460,5,1,0.08250825082508251,10621,4.5051144399948555,780
2026-03-10,0.33.1,2026-03-09T22:23:41.137+00:00,2544,5,1,0.15917230401910068,12065,4.505206334586948,819
2026-03-11,1.1.7,2026-03-10T13:32:16.41+00:00,2621,5,1,0.1156515034695451,12803,4.50525134989044,851
2026-03-12,1.1.7,2026-03-10T13:32:16.41+00:00,2713,5,1,0,12981,4.505258663506531,1006
2026-03-13,1.3.61,2026-03-13T12:38:34.913+00:00,2799,5,1,0.14461315979754158,13141,4.505162049630693,1040
2026-03-14,1.7.2,2026-03-13T14:39:04.483+00:00,2849,5,1,0.07064641469445425,13924,4.504924065918825,1071
2026-03-15,1.7.2,2026-03-13T14:39:04.483+00:00,2901,5,1,0.10391409767925182,14110,4.504839934404053,1109
2026-03-16,1.7.2,2026-03-13T14:39:04.483+00:00,2976,5,1,0.06775067750677506,14297,4.5048623635087885,1114
2026-03-17,1.9.14,2026-03-17T11:54:03.7+00:00,3061,5,1,0.033046926635822864,14480,4.504894659054685,1139
2026-03-18,1.11.11,2026-03-17T20:08:53.143+00:00,3127,5,1,0.12903225806451613,15625,4.504945849379249,1168
2026-03-19,1.12.0,2026-03-18T15:59:34.163+00:00,3186,5,1,0.09484666455896301,16564,4.50484490289351,1182
2026-03-20,1.15.4,2026-03-19T22:36:28.92+00:00,3231,5,1,0.09322560596643878,16826,4.504941271230917,1184
2026-03-21,1.15.4,2026-03-19T22:36:28.92+00:00,3286,5,1,0.12221203788573175,16964,4.504850605964192,1190
2026-03-22,1.15.4,2026-03-19T22:36:28.92+00:00,3330,5,1,0.09036144578313253,17040,4.504774705166582,1191
2026-03-23,1.15.4,2026-03-19T22:36:28.92+00:00,3377,5,1,0.05963029218843172,17103,4.504817533776498,1191
2026-03-24,1.15.5,2026-03-23T20:20:31.587+00:00,3453,5,1,0.05839416058394161,17218,4.5048955138324835,1198
2026-03-27,1.15.17,2026-03-25T07:25:09.15+00:00,3645,5,1,0.0550812448361333,18551,4.504927652589389,1226
2026-03-28,1.15.17,2026-03-25T07:25:09.15+00:00,3691,5,1,0.0816326530612245,18667,4.5048750726589954,1232
2026-03-29,1.15.17,2026-03-25T07:25:09.15+00:00,3758,5,1,0.02675943270002676,18753,4.504819277108433,1233
2026-03-30,1.18.0,2026-03-30T13:02:39.977+00:00,3825,5,1,0.07898894154818326,19058,4.505005372673402,1240
2026-03-31,1.18.0,2026-03-30T13:02:39.977+00:00,3881,5,1,0.02594706798131811,20047,4.504957965575315,1259
2026-04-01,1.23.7,2026-04-01T12:08:49.347+00:00,3940,5,1,0.025523226135783564,21138,4.504928209668524,1294
2026-04-02,1.25.2,2026-04-01T13:22:59.44+00:00,3986,5,1,0,22436,4.504805401934588,1327
2026-04-03,1.31.4,2026-04-02T19:31:07.723+00:00,4048,5,1,0.07444168734491315,23818,4.504530589313019,1372
2026-04-04,1.35.2,2026-04-03T18:51:47.97+00:00,4095,5,1,0.02455795677799607,24813,4.5045079481866175,1433
2026-04-05,1.35.2,2026-04-03T18:51:47.97+00:00,4140,5,1,0.048473097430925836,25073,4.504374082448223,1438
2026-04-06,1.35.2,2026-04-03T18:51:47.97+00:00,4182,5,1,0.09599232061435085,25303,4.50443195603426,1440
2026-04-07,1.37.7,2026-04-07T12:05:43.88+00:00,4278,5,1,0.0711068973690448,25609,4.504433903660912,1447
2026-04-08,1.37.20,2026-04-08T11:07:50.323+00:00,4410,5,1,0.09193288899103653,25955,4.504505202371178,1474
2026-04-09,1.37.33,2026-04-09T12:24:08.98+00:00,4541,5,1,0.11113580795732383,26240,4.504476838176048,1504
