date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.3,2020-03-19T14:01:28.173+00:00,25347,5,6,0.003946485654524646,25,4.403204729309272,123
2024-11-26,0.0.3,2020-03-19T14:01:28.173+00:00,25353,5,6,0.003946485654524646,25,4.403204729309272,123
2024-11-27,0.0.3,2020-03-19T14:01:28.173+00:00,25369,5,6,0.0039427512518235225,25,4.403204729309272,123
2024-11-28,0.0.3,2020-03-19T14:01:28.173+00:00,25392,5,6,0.003940110323089047,25,4.403204729309272,123
2024-11-29,0.0.3,2020-03-19T14:01:28.173+00:00,25405,5,6,0.003936852879807882,25,4.403204729309272,123
2024-11-30,0.0.3,2020-03-19T14:01:28.173+00:00,25423,5,6,0.007867511112859448,25,4.403204729309272,123
2024-12-01,0.0.3,2020-03-19T14:01:28.173+00:00,25435,5,6,0.003932208721638944,25,4.403204729309272,124
2024-12-02,0.0.3,2020-03-19T14:01:28.173+00:00,25451,5,6,0,25,4.403204729309272,124
2024-12-03,0.0.3,2020-03-19T14:01:28.173+00:00,25482,5,6,0.015703517587939697,25,4.403204729309272,125
2024-12-04,0.0.3,2020-03-19T14:01:28.173+00:00,25501,5,6,0,25,4.403204729309272,126
2024-12-05,0.0.3,2020-03-19T14:01:28.173+00:00,25526,4.333333492279053,3,0,25,4.403204729309272,126
2024-12-06,0.0.3,2020-03-19T14:01:28.173+00:00,25547,4.333333492279053,3,0,25,4.403204729309272,126
2024-12-07,0.0.3,2020-03-19T14:01:28.173+00:00,25565,4.333333492279053,3,0,25,4.403204729309272,126
2024-12-08,0.0.3,2020-03-19T14:01:28.173+00:00,25577,4.333333492279053,3,0.0039100684261974585,25,4.403204729309272,129
2024-12-09,0.0.3,2020-03-19T14:01:28.173+00:00,25589,4.888888835906982,9,0,25,4.403204729309272,129
2024-12-10,0.0.3,2020-03-19T14:01:28.173+00:00,25608,4.888888835906982,9,0,25,4.403204729309272,129
2024-12-11,0.0.3,2020-03-19T14:01:28.173+00:00,25619,4.888888835906982,9,0,25,4.403204729309272,129
2024-12-12,0.0.3,2020-03-19T14:01:28.173+00:00,25631,4.199999809265137,5,0,26,4.403204729309272,129
2024-12-13,0.0.3,2020-03-19T14:01:28.173+00:00,25655,4.199999809265137,5,0,26,4.403204729309272,129
2024-12-14,0.0.3,2020-03-19T14:01:28.173+00:00,25670,4.199999809265137,5,0,26,4.403204729309272,129
2024-12-15,0.0.3,2020-03-19T14:01:28.173+00:00,25678,4.199999809265137,5,0.0038945359660396465,26,4.403204729309272,129
2024-12-16,0.0.3,2020-03-19T14:01:28.173+00:00,25686,4.888888835906982,9,0,26,4.403204729309272,129
2024-12-17,0.0.3,2020-03-19T14:01:28.173+00:00,25694,4.888888835906982,9,0,26,4.403204729309272,129
2024-12-17,0.0.3,2020-03-19T14:01:28.173+00:00,25705,4.199999809265137,5,0.003891656288916563,26,4.403204729309272,129
2024-12-18,0.0.3,2020-03-19T14:01:28.173+00:00,25729,4.199999809265137,5,0,26,4.403204729309272,129
2024-12-19,0.0.3,2020-03-19T14:01:28.173+00:00,25739,4.199999809265137,5,0,26,4.403204729309272,129
