date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.2.1,2022-01-25T05:04:43.667+00:00,44229,5,6,0,5894,4.627002955818295,229
2024-11-26,1.2.1,2022-01-25T05:04:43.667+00:00,44237,5,6,0,5894,4.627002955818295,229
2024-11-27,1.2.1,2022-01-25T05:04:43.667+00:00,44272,5,6,0,5894,4.627002955818295,230
2024-11-28,1.2.1,2022-01-25T05:04:43.667+00:00,44319,5,6,0.004514570777183359,5894,4.627002955818295,230
2024-11-29,1.2.1,2022-01-25T05:04:43.667+00:00,44357,5,6,0,5894,4.627002955818295,230
2024-11-30,1.2.1,2022-01-25T05:04:43.667+00:00,44403,5,6,0.004505316273202379,5895,4.627002955818295,230
2024-12-01,1.2.1,2022-01-25T05:04:43.667+00:00,44444,5,6,0,5895,4.627002955818295,230
2024-12-02,1.2.1,2022-01-25T05:04:43.667+00:00,44475,5,6,0,5895,4.627002955818295,230
2024-12-03,1.2.1,2022-01-25T05:04:43.667+00:00,44530,5,6,0.006740209845199847,5896,4.627002955818295,231
2024-12-04,1.2.1,2022-01-25T05:04:43.667+00:00,44573,5,6,0,5896,4.627002955818295,233
2024-12-05,1.2.1,2022-01-25T05:04:43.667+00:00,44609,5,6,0.0044847071486231955,5896,4.627002955818295,233
2024-12-06,1.2.1,2022-01-25T05:04:43.667+00:00,44648,5,6,0,5896,4.627002955818295,233
2024-12-07,1.2.1,2022-01-25T05:04:43.667+00:00,44693,5,6,0.004475774868524114,5896,4.627002955818295,236
2024-12-08,1.2.1,2022-01-25T05:04:43.667+00:00,44726,5,6,0.0022363860002236387,5897,4.627002955818295,236
2024-12-09,1.2.1,2022-01-25T05:04:43.667+00:00,44762,5,6,0,5897,4.627002955818295,236
2024-12-10,1.2.1,2022-01-25T05:04:43.667+00:00,44799,5,6,0,5897,4.627002955818295,236
2024-12-11,1.2.1,2022-01-25T05:04:43.667+00:00,44853,5,6,0.002230450104831155,5897,4.627002955818295,236
2024-12-12,1.2.1,2022-01-25T05:04:43.667+00:00,44889,5,6,0,5898,4.627002955818295,236
2024-12-13,1.2.1,2022-01-25T05:04:43.667+00:00,44934,5,6,0.0022263285615691164,5898,4.627002955818295,236
2024-12-14,1.2.1,2022-01-25T05:04:43.667+00:00,44977,5,6,0.002223556356035844,5898,4.627002955818295,236
2024-12-15,1.2.1,2022-01-25T05:04:43.667+00:00,45017,5,6,0.00666637038353851,5899,4.627002955818295,236
2024-12-16,1.2.1,2022-01-25T05:04:43.667+00:00,45059,5,6,0.004440497335701598,5900,4.627002955818295,236
2024-12-17,1.2.1,2022-01-25T05:04:43.667+00:00,45080,5,6,0.004440497335701598,5900,4.627002955818295,236
2024-12-17,1.2.1,2022-01-25T05:04:43.667+00:00,45086,5,6,0.002218229409285508,5900,4.627002955818295,236
2024-12-18,1.2.1,2022-01-25T05:04:43.667+00:00,45113,5,6,0.0022170982617949627,5900,4.627002955818295,237
2024-12-19,1.2.1,2022-01-25T05:04:43.667+00:00,45153,5,6,0,5900,4.627002955818295,237
2024-12-20,1.2.1,2022-01-25T05:04:43.667+00:00,45184,5,6,0,5901,4.627002955818295,237
2024-12-21,1.2.1,2022-01-25T05:04:43.667+00:00,45211,5,6,0.0022123893805309734,5902,4.627002955818295,237
2024-12-22,1.2.1,2022-01-25T05:04:43.667+00:00,45242,5,6,0.002210726444709732,5902,4.627002955818295,237
2024-12-23,1.2.1,2022-01-25T05:04:43.667+00:00,45269,5,6,0.0022093100324768575,5902,4.627002955818295,237
2024-12-24,1.2.1,2022-01-25T05:04:43.667+00:00,45302,5,6,0.004415693374252092,5902,4.627002955818295,237
2024-12-25,1.2.1,2022-01-25T05:04:43.667+00:00,45325,5,6,0.0022067261011563246,5904,4.627002955818295,237
2024-12-26,1.2.1,2022-01-25T05:04:43.667+00:00,45346,5,6,0.0022058985727836235,5904,4.627002955818295,237
