date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-15,1.4.1,2026-02-05T09:25:10.023+00:00,52,5,1,0,5,4.454406049393446,247
2026-05-16,1.4.1,2026-02-05T09:25:10.023+00:00,54,5,1,0,5,4.454322627084988,248
2026-05-17,1.4.1,2026-02-05T09:25:10.023+00:00,56,5,1,0,5,4.454176618381464,250
2026-05-18,1.4.1,2026-02-05T09:25:10.023+00:00,57,5,1,0,5,4.454142351270395,251
2026-05-19,1.4.1,2026-02-05T09:25:10.023+00:00,58,5,1,0,5,4.454006707290614,253
2026-05-20,1.4.1,2026-02-05T09:25:10.023+00:00,58,5,1,0,5,4.453965105829124,255
2026-05-21,1.4.1,2026-02-05T09:25:10.023+00:00,58,5,1,0,5,4.454018432266376,257
2026-05-22,1.4.1,2026-02-05T09:25:10.023+00:00,58,5,1,0,5,4.454076642109825,259
2026-05-23,1.4.1,2026-02-05T09:25:10.023+00:00,59,5,1,0,5,4.45408876625546,261
2026-05-24,1.4.1,2026-02-05T09:25:10.023+00:00,62,5,1,0,5,4.45417718074316,262
2026-05-25,1.4.1,2026-02-05T09:25:10.023+00:00,63,5,1,0,5,4.454221128519668,264
2026-05-26,1.4.1,2026-02-05T09:25:10.023+00:00,65,5,1,0,5,4.454239802224969,266
