date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.5,2024-06-23T09:40:18.877+00:00,539,5,2,0,327,4.502670607757727,36
2024-11-26,1.0.5,2024-06-23T09:40:18.877+00:00,539,5,2,0,327,4.502670607757727,36
2024-11-27,1.0.5,2024-06-23T09:40:18.877+00:00,543,5,2,0,327,4.502670607757727,36
2024-11-28,1.0.5,2024-06-23T09:40:18.877+00:00,544,5,2,0,327,4.502670607757727,36
2024-11-29,1.0.5,2024-06-23T09:40:18.877+00:00,547,5,2,0.18281535648994515,328,4.502670607757727,36
2024-11-30,1.0.5,2024-06-23T09:40:18.877+00:00,548,5,2,0,328,4.502670607757727,36
2024-12-01,1.0.5,2024-06-23T09:40:18.877+00:00,548,5,2,0,328,4.502670607757727,36
2024-12-02,1.0.5,2024-06-23T09:40:18.877+00:00,548,5,2,0,328,4.502670607757727,36
2024-12-03,1.0.5,2024-06-23T09:40:18.877+00:00,549,5,2,0.18214936247723132,328,4.502670607757727,36
2024-12-04,1.0.5,2024-06-23T09:40:18.877+00:00,550,5,2,0,329,4.502670607757727,36
2024-12-05,1.0.5,2024-06-23T09:40:18.877+00:00,552,5,2,0,329,4.502670607757727,36
2024-12-06,1.0.5,2024-06-23T09:40:18.877+00:00,554,5,2,0,329,4.502670607757727,36
2024-12-07,1.0.5,2024-06-23T09:40:18.877+00:00,555,5,2,0,329,4.502670607757727,36
2024-12-08,1.0.5,2024-06-23T09:40:18.877+00:00,555,5,2,0,329,4.502670607757727,36
2024-12-09,1.0.5,2024-06-23T09:40:18.877+00:00,555,5,2,0,329,4.502670607757727,36
2024-12-10,1.0.5,2024-06-23T09:40:18.877+00:00,556,5,2,0,329,4.502670607757727,36
2024-12-11,1.0.5,2024-06-23T09:40:18.877+00:00,556,5,2,0,329,4.502670607757727,36
2024-12-12,1.0.5,2024-06-23T09:40:18.877+00:00,558,5,2,0,329,4.502670607757727,36
2024-12-13,1.0.5,2024-06-23T09:40:18.877+00:00,559,5,2,0,329,4.502670607757727,36
2024-12-14,1.0.5,2024-06-23T09:40:18.877+00:00,559,5,2,0,329,4.502670607757727,50
2024-12-15,1.0.5,2024-06-23T09:40:18.877+00:00,560,5,2,0,329,4.502670607757727,50
2024-12-16,1.0.5,2024-06-23T09:40:18.877+00:00,560,5,2,0,330,4.502670607757727,50
2024-12-17,1.0.5,2024-06-23T09:40:18.877+00:00,562,5,2,0,330,4.502670607757727,50
2024-12-17,1.0.5,2024-06-23T09:40:18.877+00:00,564,5,2,0,331,4.502670607757727,50
2024-12-18,1.0.5,2024-06-23T09:40:18.877+00:00,568,5,2,0,331,4.502670607757727,50
2024-12-19,1.0.5,2024-06-23T09:40:18.877+00:00,570,5,2,0,331,4.502670607757727,50
2024-12-20,1.0.5,2024-06-23T09:40:18.877+00:00,571,5,2,0,331,4.502670607757727,50
2024-12-21,1.0.5,2024-06-23T09:40:18.877+00:00,571,5,2,0,331,4.502670607757727,51
2024-12-22,1.0.5,2024-06-23T09:40:18.877+00:00,571,5,2,0,331,4.502670607757727,51
2024-12-23,1.0.5,2024-06-23T09:40:18.877+00:00,571,5,2,0,331,4.502670607757727,51
2024-12-24,1.0.5,2024-06-23T09:40:18.877+00:00,572,5,2,0,331,4.502670607757727,51
2024-12-25,1.0.5,2024-06-23T09:40:18.877+00:00,572,5,2,0,331,4.502670607757727,51
2024-12-26,1.0.5,2024-06-23T09:40:18.877+00:00,572,5,2,0,331,4.502670607757727,51
2024-12-27,1.0.5,2024-06-23T09:40:18.877+00:00,572,5,2,0,331,4.502670607757727,51
2024-12-28,1.0.5,2024-06-23T09:40:18.877+00:00,573,5,2,0,331,4.502670607757727,51
2024-12-29,1.0.5,2024-06-23T09:40:18.877+00:00,574,5,2,0,331,4.502670607757727,51
2024-12-30,1.0.5,2024-06-23T09:40:18.877+00:00,574,5,2,0,331,4.502670607757727,51
2024-12-31,1.0.5,2024-06-23T09:40:18.877+00:00,575,5,2,0,331,4.502670607757727,51
2025-01-01,1.0.5,2024-06-23T09:40:18.877+00:00,578,5,2,0,331,4.502670607757727,51
2025-01-02,1.0.5,2024-06-23T09:40:18.877+00:00,578,5,2,0,331,4.502670607757727,51
2025-01-03,1.0.5,2024-06-23T09:40:18.877+00:00,578,5,2,0,331,4.502670607757727,51
2025-01-04,1.0.5,2024-06-23T09:40:18.877+00:00,579,5,2,0,331,4.502670607757727,52
2025-01-05,1.0.5,2024-06-23T09:40:18.877+00:00,579,5,2,0,331,4.502670607757727,52
2025-01-06,1.0.5,2024-06-23T09:40:18.877+00:00,580,5,2,0,331,4.502670607757727,52
2025-01-07,1.0.5,2024-06-23T09:40:18.877+00:00,582,5,2,0.1718213058419244,331,4.502670607757727,52
2025-01-08,1.0.5,2024-06-23T09:40:18.877+00:00,585,5,2,0.17123287671232876,331,4.502670607757727,52
2025-01-09,1.0.5,2024-06-23T09:40:18.877+00:00,585,5,2,0,331,4.502670607757727,52
2025-01-10,1.0.5,2024-06-23T09:40:18.877+00:00,586,5,2,0,331,4.502670607757727,52
2025-01-11,1.0.5,2024-06-23T09:40:18.877+00:00,586,5,2,0,331,4.502670607757727,52
2025-01-12,1.0.5,2024-06-23T09:40:18.877+00:00,586,5,2,0,331,4.502670607757727,52
2025-01-13,1.0.5,2024-06-23T09:40:18.877+00:00,586,5,2,0,331,4.502670607757727,52
2025-01-14,1.0.5,2024-06-23T09:40:18.877+00:00,586,5,2,0,331,4.502670607757727,52
2025-01-15,1.0.5,2024-06-23T09:40:18.877+00:00,587,5,2,0,331,4.502670607757727,52
