date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.3.1241024,2024-10-25T14:30:17.1+00:00,99,5,1,0,102,4.403204729309272,22
2024-11-26,1.3.1241024,2024-10-25T14:30:17.1+00:00,99,5,1,0,102,4.403204729309272,22
2024-11-27,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,102,4.403204729309272,22
2024-11-28,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,102,4.403204729309272,22
2024-11-29,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,102,4.403204729309272,22
2024-11-30,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,102,4.403204729309272,22
2024-12-01,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,102,4.403204729309272,22
2024-12-02,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,103,4.403204729309272,22
2024-12-03,1.3.1241024,2024-10-25T14:30:17.1+00:00,100,5,1,0,104,4.403204729309272,22
2024-12-04,1.3.1241024,2024-10-25T14:30:17.1+00:00,102,5,1,0,104,4.403204729309272,22
2024-12-05,1.3.1241024,2024-10-25T14:30:17.1+00:00,102,5,1,0,106,4.403204729309272,22
2024-12-06,1.3.1241024,2024-10-25T14:30:17.1+00:00,102,5,1,0,106,4.403204729309272,22
2024-12-07,1.3.1241024,2024-10-25T14:30:17.1+00:00,103,5,1,0,107,4.403204729309272,22
2024-12-08,1.3.1241024,2024-10-25T14:30:17.1+00:00,103,5,1,0,107,4.403204729309272,22
2024-12-09,1.3.1241024,2024-10-25T14:30:17.1+00:00,103,5,1,0,108,4.403204729309272,22
2024-12-10,1.3.1241024,2024-10-25T14:30:17.1+00:00,104,5,1,0,108,4.403204729309272,30
2024-12-11,1.3.1241024,2024-10-25T14:30:17.1+00:00,104,5,1,0,108,4.403204729309272,30
2024-12-12,1.3.1241024,2024-10-25T14:30:17.1+00:00,105,5,1,0,108,4.403204729309272,30
2024-12-13,1.3.1241024,2024-10-25T14:30:17.1+00:00,105,5,1,0,109,4.403204729309272,30
2024-12-14,1.3.1241024,2024-10-25T14:30:17.1+00:00,107,5,1,0,109,4.403204729309272,30
2024-12-15,1.3.1241024,2024-10-25T14:30:17.1+00:00,107,5,1,0,109,4.403204729309272,30
2024-12-16,1.3.1241024,2024-10-25T14:30:17.1+00:00,107,5,1,0,109,4.403204729309272,30
2024-12-17,1.3.1241024,2024-10-25T14:30:17.1+00:00,108,5,1,0,109,4.403204729309272,30
2024-12-17,1.3.1241024,2024-10-25T14:30:17.1+00:00,108,5,1,0,109,4.403204729309272,30
2024-12-18,1.3.1241024,2024-10-25T14:30:17.1+00:00,108,5,1,0,109,4.403204729309272,30
2024-12-19,1.3.1241024,2024-10-25T14:30:17.1+00:00,108,5,1,0,109,4.403204729309272,30
2024-12-20,1.3.1241024,2024-10-25T14:30:17.1+00:00,109,5,1,0,109,4.403204729309272,30
2024-12-21,1.3.1241024,2024-10-25T14:30:17.1+00:00,110,5,1,0,109,4.403204729309272,31
