date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-11-26,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-11-27,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-11-28,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-11-29,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-11-30,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-12-01,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-12-02,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-12-03,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,29
2024-12-04,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,33
2024-12-05,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,36
2024-12-06,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,36
2024-12-07,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,36
2024-12-08,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,36
2024-12-09,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-10,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-11,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-12,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-13,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-14,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-15,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-16,1.0.12,2022-03-02T12:28:25.413+00:00,187,5,1,0,53,4.403204729309272,42
2024-12-17,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,42
2024-12-17,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,42
2024-12-18,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,42
2024-12-19,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,42
2024-12-20,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,42
2024-12-21,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,43
2024-12-22,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,43
2024-12-23,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,43
2024-12-24,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,43
2024-12-25,1.0.12,2022-03-02T12:28:25.413+00:00,188,5,1,0,53,4.403204729309272,43
2024-12-26,1.0.12,2022-03-02T12:28:25.413+00:00,189,5,1,0,53,4.403204729309272,43
2024-12-27,1.0.12,2022-03-02T12:28:25.413+00:00,189,5,1,0,53,4.403204729309272,43
2024-12-28,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2024-12-29,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2024-12-30,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2024-12-31,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-01,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-02,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-03,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-04,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-05,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-06,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-07,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-08,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-09,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-10,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-11,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-12,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-13,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-14,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,43
2025-01-15,1.0.12,2022-03-02T12:28:25.413+00:00,190,5,1,0,53,4.403204729309272,44
2025-01-16,1.0.12,2022-03-02T12:28:25.413+00:00,192,5,1,0,53,4.403204729309272,44
2025-01-17,1.0.12,2022-03-02T12:28:25.413+00:00,192,5,1,0,53,4.403204729309272,44
2025-01-18,1.0.12,2022-03-02T12:28:25.413+00:00,192,5,1,0,53,4.403204729309272,44
2025-01-19,1.0.12,2022-03-02T12:28:25.413+00:00,192,5,1,0,53,4.403204729309272,44
2025-01-20,1.0.12,2022-03-02T12:28:25.413+00:00,192,5,1,0,53,4.403204729309272,44
2025-01-21,1.0.12,2022-03-02T12:28:25.413+00:00,192,5,1,0,53,4.403204729309272,44
2025-01-22,1.0.12,2022-03-02T12:28:25.413+00:00,193,5,1,0,53,4.403204729309272,44
2025-01-23,1.0.12,2022-03-02T12:28:25.413+00:00,193,5,1,0,53,4.403204729309272,44
2025-01-24,1.0.12,2022-03-02T12:28:25.413+00:00,194,5,1,0,53,4.403204729309272,44
2025-01-25,1.0.12,2022-03-02T12:28:25.413+00:00,194,5,1,0,53,4.403204729309272,44
2025-01-26,1.0.12,2022-03-02T12:28:25.413+00:00,194,5,1,0,53,4.403204729309272,44
2025-01-27,1.0.12,2022-03-02T12:28:25.413+00:00,194,5,1,0,53,4.403204729309272,44
2025-01-28,1.0.12,2022-03-02T12:28:25.413+00:00,195,5,1,0,53,4.403204729309272,44
2025-01-29,1.0.12,2022-03-02T12:28:25.413+00:00,195,5,1,0,53,4.403204729309272,44
2025-01-30,1.0.12,2022-03-02T12:28:25.413+00:00,196,5,1,0,53,4.403204729309272,44
2025-01-31,1.0.12,2022-03-02T12:28:25.413+00:00,196,5,1,0,53,4.403204729309272,44
2025-02-01,1.0.12,2022-03-02T12:28:25.413+00:00,196,5,1,0,53,4.403204729309272,44
2025-02-02,1.0.12,2022-03-02T12:28:25.413+00:00,196,5,1,0,53,4.403204729309272,44
2025-02-03,1.0.12,2022-03-02T12:28:25.413+00:00,196,5,1,0,53,4.403204729309272,44
2025-02-04,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-05,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-06,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-07,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-08,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-09,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-10,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
2025-02-11,1.0.12,2022-03-02T12:28:25.413+00:00,197,5,1,0,53,4.403204729309272,45
