date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-05-14,0.1.1,2026-05-08T07:51:54.373+00:00,25,5,1,0,3,4.503986973383855,39
2026-05-15,0.1.1,2026-05-08T07:51:54.373+00:00,27,5,1,0,3,4.504005499448587,41
2026-05-16,0.1.1,2026-05-08T07:51:54.373+00:00,29,5,1,0,3,4.503929660986353,43
2026-05-17,0.1.1,2026-05-08T07:51:54.373+00:00,33,5,1,0,3,4.50379692580133,44
2026-05-18,0.1.1,2026-05-08T07:51:54.373+00:00,36,5,1,0,3,4.5037657738821775,45
2026-05-19,0.1.1,2026-05-08T07:51:54.373+00:00,43,5,1,0,3,4.5036424611732855,47
2026-05-20,0.1.1,2026-05-08T07:51:54.373+00:00,45,5,1,0,3,4.5036046416628395,49
2026-05-21,0.1.1,2026-05-08T07:51:54.373+00:00,48,5,1,0,3,4.503653120242159,51
2026-05-22,0.1.1,2026-05-08T07:51:54.373+00:00,48,5,1,0,3,4.503706038281658,53
2026-05-23,0.1.1,2026-05-08T07:51:54.373+00:00,52,5,1,0,3,4.503717060232235,55
2026-05-24,0.1.1,2026-05-08T07:51:54.373+00:00,52,5,1,0,3,4.5037974370392355,56
2026-05-25,0.1.1,2026-05-08T07:51:54.373+00:00,57,5,1,0,3,4.503837389563335,57
2026-05-26,0.1.1,2026-05-08T07:51:54.373+00:00,62,5,1,0,3,4.503854365659063,59
2026-05-27,0.1.1,2026-05-08T07:51:54.373+00:00,66,5,1,0,3,4.503873400590205,61
2026-05-28,0.1.1,2026-05-08T07:51:54.373+00:00,70,5,1,0,3,4.503863306586284,63
2026-05-29,0.1.1,2026-05-08T07:51:54.373+00:00,75,5,1,0,3,4.50382977099922,65
2026-05-30,0.1.1,2026-05-08T07:51:54.373+00:00,76,5,1,0,3,4.503845711673971,67
2026-05-31,0.1.1,2026-05-08T07:51:54.373+00:00,79,5,1,0,3,4.503839176191725,69
