date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.0,2024-03-15T13:53:29.383+00:00,321,5,1,0,7,4.403204729309272,15
2024-11-26,1.0.0,2024-03-15T13:53:29.383+00:00,321,5,1,0,7,4.403204729309272,15
2024-11-27,1.0.0,2024-03-15T13:53:29.383+00:00,322,5,1,0,7,4.403204729309272,15
2024-11-28,1.0.0,2024-03-15T13:53:29.383+00:00,323,5,1,0,581,4.403204729309272,15
2024-11-29,1.0.0,2024-03-15T13:53:29.383+00:00,325,5,1,0,7,4.403204729309272,15
2024-11-30,1.0.0,2024-03-15T13:53:29.383+00:00,325,5,1,0,7,4.403204729309272,15
2024-12-01,1.0.0,2024-03-15T13:53:29.383+00:00,325,5,1,0,7,4.403204729309272,15
2024-12-02,1.0.0,2024-03-15T13:53:29.383+00:00,325,5,1,0,7,4.403204729309272,15
2024-12-03,1.0.0,2024-03-15T13:53:29.383+00:00,326,5,1,0,7,4.403204729309272,15
2024-12-04,1.0.0,2024-03-15T13:53:29.383+00:00,329,5,1,0,7,4.403204729309272,15
2024-12-05,1.0.0,2024-03-15T13:53:29.383+00:00,329,5,1,0,7,4.403204729309272,15
2024-12-06,1.0.0,2024-03-15T13:53:29.383+00:00,330,5,1,0,7,4.403204729309272,15
2024-12-07,1.0.0,2024-03-15T13:53:29.383+00:00,331,5,1,0,7,4.403204729309272,16
2024-12-08,1.0.0,2024-03-15T13:53:29.383+00:00,331,5,1,0,7,4.403204729309272,16
2024-12-09,1.0.0,2024-03-15T13:53:29.383+00:00,331,5,1,0,7,4.403204729309272,16
2024-12-10,1.0.0,2024-03-15T13:53:29.383+00:00,333,5,1,0,66,4.403204729309272,16
2024-12-11,1.0.0,2024-03-15T13:53:29.383+00:00,333,5,1,0,66,4.403204729309272,16
2024-12-12,1.0.0,2024-03-15T13:53:29.383+00:00,335,5,1,0,7,4.403204729309272,16
2024-12-13,1.0.0,2024-03-15T13:53:29.383+00:00,339,5,1,0,38,4.403204729309272,16
2024-12-14,1.0.0,2024-03-15T13:53:29.383+00:00,342,5,1,0,6,4.403204729309272,16
2024-12-15,1.0.0,2024-03-15T13:53:29.383+00:00,342,5,1,0,6,4.403204729309272,16
2024-12-16,1.0.0,2024-03-15T13:53:29.383+00:00,342,5,1,0,6,4.403204729309272,16
2024-12-17,1.0.0,2024-03-15T13:53:29.383+00:00,345,5,1,0,6,4.403204729309272,16
2024-12-17,1.0.0,2024-03-15T13:53:29.383+00:00,346,5,1,0,6,4.403204729309272,16
2024-12-18,1.0.0,2024-03-15T13:53:29.383+00:00,346,5,1,0,6,4.403204729309272,16
2024-12-19,1.0.0,2024-03-15T13:53:29.383+00:00,347,5,1,0,6,4.403204729309272,16
2024-12-20,1.0.0,2024-03-15T13:53:29.383+00:00,348,5,1,0,6,4.403204729309272,16
2024-12-21,1.0.0,2024-03-15T13:53:29.383+00:00,349,5,1,0,6,4.403204729309272,17
2024-12-22,1.0.0,2024-03-15T13:53:29.383+00:00,351,5,1,0,6,4.403204729309272,17
2024-12-23,1.0.0,2024-03-15T13:53:29.383+00:00,352,5,1,0,6,4.403204729309272,18
2024-12-24,1.0.0,2024-03-15T13:53:29.383+00:00,353,5,1,0,6,4.403204729309272,18
2024-12-25,1.0.0,2024-03-15T13:53:29.383+00:00,353,5,1,0,6,4.403204729309272,18
2024-12-26,1.0.0,2024-03-15T13:53:29.383+00:00,354,5,1,0,6,4.403204729309272,18
2024-12-27,1.0.0,2024-03-15T13:53:29.383+00:00,356,5,1,0,6,4.403204729309272,18
2024-12-28,1.0.0,2024-03-15T13:53:29.383+00:00,358,5,1,0,6,4.403204729309272,18
2024-12-29,1.0.0,2024-03-15T13:53:29.383+00:00,358,5,1,0,6,4.403204729309272,18
2024-12-30,1.0.0,2024-03-15T13:53:29.383+00:00,358,5,1,0,6,4.403204729309272,18
2024-12-31,1.0.0,2024-03-15T13:53:29.383+00:00,358,5,1,0,6,4.403204729309272,18
2025-01-01,1.0.0,2024-03-15T13:53:29.383+00:00,359,5,1,0,6,4.403204729309272,18
2025-01-02,1.0.0,2024-03-15T13:53:29.383+00:00,360,5,1,0,6,4.403204729309272,18
2025-01-03,1.0.0,2024-03-15T13:53:29.383+00:00,361,5,1,0,6,4.403204729309272,18
2025-01-04,1.0.0,2024-03-15T13:53:29.383+00:00,363,5,2,0,17,4.403204729309272,18
2025-01-05,1.0.0,2024-03-15T13:53:29.383+00:00,365,5,2,0,17,4.403204729309272,18
2025-01-06,1.0.0,2024-03-15T13:53:29.383+00:00,365,5,2,0,17,4.403204729309272,18
2025-01-07,1.0.0,2024-03-15T13:53:29.383+00:00,365,5,2,0,17,4.403204729309272,18
2025-01-08,1.0.0,2024-03-15T13:53:29.383+00:00,367,5,2,0,17,4.403204729309272,18
2025-01-09,1.0.0,2024-03-15T13:53:29.383+00:00,369,5,2,0,17,4.403204729309272,18
2025-01-10,1.0.0,2024-03-15T13:53:29.383+00:00,371,5,2,0,272,4.403204729309272,18
2025-01-11,1.0.0,2024-03-15T13:53:29.383+00:00,373,5,2,0,273,4.403204729309272,18
2025-01-12,1.0.0,2024-03-15T13:53:29.383+00:00,376,5,2,0,273,4.403204729309272,18
2025-01-13,1.0.0,2024-03-15T13:53:29.383+00:00,376,5,2,0,273,4.403204729309272,18
2025-01-14,1.0.0,2024-03-15T13:53:29.383+00:00,376,5,2,0,273,4.403204729309272,18
2025-01-15,1.0.0,2024-03-15T13:53:29.383+00:00,378,5,2,0.2652519893899204,273,4.403204729309272,18
2025-01-16,1.0.0,2024-03-15T13:53:29.383+00:00,379,5,2,0,273,4.403204729309272,18
2025-01-17,1.0.0,2024-03-15T13:53:29.383+00:00,382,5,2,0,274,4.403204729309272,18
2025-01-18,1.0.0,2024-03-15T13:53:29.383+00:00,384,5,1,0,129,4.403204729309272,18
2025-01-19,1.0.0,2024-03-15T13:53:29.383+00:00,386,5,1,0,129,4.403204729309272,18
2025-01-20,1.0.0,2024-03-15T13:53:29.383+00:00,387,5,1,0,192,4.403204729309272,18
2025-01-21,1.0.0,2024-03-15T13:53:29.383+00:00,388,5,1,0,193,4.403204729309272,18
2025-01-22,1.0.0,2024-03-15T13:53:29.383+00:00,388,5,1,0,129,4.403204729309272,19
