date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-01-21,0.0.1,2026-01-09T12:39:03.213+00:00,27,5,1,0,2,4.503802851812713,22
2026-01-22,0.0.1,2026-01-09T12:39:03.213+00:00,33,5,1,0,68,4.503885976579818,23
2026-01-23,0.0.1,2026-01-09T12:39:03.213+00:00,34,5,1,0,16,4.503881801297982,23
2026-01-24,0.0.1,2026-01-09T12:39:03.213+00:00,38,5,1,0,5,4.503826965717209,25
2026-01-25,0.0.1,2026-01-09T12:39:03.213+00:00,39,5,1,0,82,4.503855592162713,26
2026-01-26,0.0.1,2026-01-09T12:39:03.213+00:00,41,5,1,0,1,4.503948246722814,27
2026-01-27,0.0.1,2026-01-09T12:39:03.213+00:00,43,5,1,0,4,4.504091367466014,27
2026-01-28,0.0.1,2026-01-09T12:39:03.213+00:00,43,5,1,0,4,4.5042665823301125,28
2026-01-29,0.0.3,2026-01-29T12:21:21.303+00:00,47,5,1,0,6,4.504304117878885,33
2026-01-30,0.0.3,2026-01-29T12:21:21.303+00:00,49,5,1,0,20,4.504311566811568,39
2026-01-31,0.0.3,2026-01-29T12:21:21.303+00:00,53,5,1,0,23,4.504388220077487,46
2026-02-01,0.0.4,2026-01-31T13:59:55.183+00:00,54,5,1,0,39,4.504332362847856,54
2026-02-02,0.0.6,2026-02-02T11:46:56.04+00:00,54,5,1,0,43,4.504442237927432,55
2026-02-03,0.0.6,2026-02-02T11:46:56.04+00:00,57,5,1,0,59,4.504475288623686,64
2026-02-04,0.0.6,2026-02-02T11:46:56.04+00:00,59,5,1,0,60,4.5044290767162405,65
2026-02-05,0.0.6,2026-02-02T11:46:56.04+00:00,59,5,1,0,63,4.5044375647427195,66
2026-02-06,0.0.7,2026-02-06T06:13:47.223+00:00,61,5,1,0,71,4.504391397796262,71
2026-02-07,0.0.8,2026-02-07T06:01:03.89+00:00,66,5,1,0,86,4.504352735538422,79
2026-02-08,0.0.8,2026-02-07T06:01:03.89+00:00,66,5,1,0,98,4.504294882924345,81
2026-02-09,0.0.8,2026-02-07T06:01:03.89+00:00,67,5,1,0,98,4.504211924706624,85
2026-02-10,0.0.8,2026-02-07T06:01:03.89+00:00,68,5,1,0,102,4.504316097556387,87
2026-02-11,0.1.0,2026-02-11T06:58:01.83+00:00,71,5,1,0,108,4.504255642994952,92
2026-02-12,0.1.0,2026-02-11T06:58:01.83+00:00,72,5,1,0,119,4.504308458488829,93
2026-02-13,0.1.0,2026-02-11T06:58:01.83+00:00,75,5,1,0,122,4.50424113237794,95
2026-02-14,0.1.0,2026-02-11T06:58:01.83+00:00,76,5,1,0,123,4.504240553769542,102
2026-02-15,0.1.0,2026-02-11T06:58:01.83+00:00,76,5,1,0,125,4.504289604018496,103
2026-02-16,0.1.0,2026-02-11T06:58:01.83+00:00,78,5,1,0,126,4.504301823391172,104
2026-02-17,0.1.1,2026-02-17T04:20:18.52+00:00,79,5,1,0,133,4.504344934877286,110
2026-02-18,0.1.1,2026-02-17T04:20:18.52+00:00,81,5,1,0,146,4.505085923846458,115
2026-02-19,0.1.1,2026-02-17T04:20:18.52+00:00,81,5,1,0,148,4.50499912563714,118
2026-02-20,0.1.1,2026-02-17T04:20:18.52+00:00,83,5,1,0,149,4.504902866629708,119
2026-02-21,0.1.1,2026-02-17T04:20:18.52+00:00,83,5,1,0,150,4.504863217606115,120
2026-02-22,0.1.1,2026-02-17T04:20:18.52+00:00,85,5,1,0,151,4.504961582546956,120
2026-02-23,0.1.1,2026-02-17T04:20:18.52+00:00,88,5,1,0,153,4.504838782470777,122
2026-02-24,0.1.1,2026-02-17T04:20:18.52+00:00,88,5,1,0,155,4.504902874001587,122
2026-02-25,0.1.1,2026-02-17T04:20:18.52+00:00,88,5,1,0,156,4.505027412938672,122
2026-02-26,0.1.1,2026-02-17T04:20:18.52+00:00,90,5,1,0,157,4.505022679292798,122
2026-02-27,0.1.1,2026-02-17T04:20:18.52+00:00,94,5,1,0,157,4.5050855308445,124
2026-02-28,0.1.1,2026-02-17T04:20:18.52+00:00,95,5,1,0,159,4.505145963005173,125
2026-03-01,0.1.1,2026-02-17T04:20:18.52+00:00,96,5,1,0,159,4.5053052450810025,125
2026-03-02,0.1.1,2026-02-17T04:20:18.52+00:00,99,5,1,0,159,4.5053159096601885,126
2026-03-03,0.1.1,2026-02-17T04:20:18.52+00:00,99,5,1,0,159,4.505382356563393,126
