date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.21,2024-11-05T08:23:38.667+00:00,132,5,2,0,152,4.502670607757727,58
2024-11-26,0.0.21,2024-11-05T08:23:38.667+00:00,133,5,2,0,152,4.502670607757727,58
2024-11-27,0.0.21,2024-11-05T08:23:38.667+00:00,137,5,3,0,152,4.502670607757727,58
2024-11-28,0.0.21,2024-11-05T08:23:38.667+00:00,138,5,3,0,152,4.540926714853287,58
2024-11-29,0.0.21,2024-11-05T08:23:38.667+00:00,141,5,3,0,152,4.540926714853287,58
2024-11-30,0.0.21,2024-11-05T08:23:38.667+00:00,144,5,3,0,152,4.540926714853287,58
2024-12-01,0.0.21,2024-11-05T08:23:38.667+00:00,145,5,3,0,152,4.540926714853287,58
2024-12-02,0.0.21,2024-11-05T08:23:38.667+00:00,146,5,3,0,152,4.540926714853287,58
2024-12-03,0.0.21,2024-11-05T08:23:38.667+00:00,147,5,3,0,152,4.540926714853287,58
2024-12-04,0.0.21,2024-11-05T08:23:38.667+00:00,149,5,4,0,153,4.573717663792337,58
2024-12-05,0.0.22,2024-12-04T17:46:35.713+00:00,154,5,4,0,177,4.573717663792337,60
2024-12-06,0.0.22,2024-12-04T17:46:35.713+00:00,154,5,4,0,181,4.573717663792337,60
2024-12-07,0.0.22,2024-12-04T17:46:35.713+00:00,159,5,4,0,185,4.573717663792337,60
2024-12-08,0.0.23,2024-12-07T21:41:21.413+00:00,160,5,4,0,197,4.573717663792337,75
2024-12-09,0.0.23,2024-12-07T21:41:21.413+00:00,163,5,4,0,207,4.573717663792337,76
2024-12-10,0.0.23,2024-12-07T21:41:21.413+00:00,165,5,4,0,219,4.573717663792337,78
2024-12-11,0.0.23,2024-12-07T21:41:21.413+00:00,172,5,4,0,228,4.573717663792337,78
2024-12-12,0.0.23,2024-12-07T21:41:21.413+00:00,178,5,4,0,236,4.573717663792337,78
2024-12-13,0.0.23,2024-12-07T21:41:21.413+00:00,178,5,4,0,240,4.573717663792337,78
2024-12-14,0.0.23,2024-12-07T21:41:21.413+00:00,178,5,4,0,243,4.573717663792337,78
2024-12-15,0.0.23,2024-12-07T21:41:21.413+00:00,178,5,4,0,244,4.573717663792337,78
2024-12-16,0.0.23,2024-12-07T21:41:21.413+00:00,180,5,4,0,244,4.573717663792337,78
2024-12-17,0.0.23,2024-12-07T21:41:21.413+00:00,180,5,4,0,245,4.573717663792337,78
2024-12-17,0.0.23,2024-12-07T21:41:21.413+00:00,180,5,4,0,246,4.573717663792337,78
