date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-11-03,1.0.0,2025-11-02T20:18:42.413+00:00,9,5,1,0,4,4.502157632074772,3
2025-11-04,1.0.0,2025-11-02T20:18:42.413+00:00,39,5,1,0,1,4.502318956030972,8
2025-11-05,1.0.0,2025-11-02T20:18:42.413+00:00,68,5,1,0,26,4.5024383899325695,8
2025-11-06,1.0.0,2025-11-02T20:18:42.413+00:00,94,5,1,0,69,4.502448507744154,8
2025-11-07,1.0.0,2025-11-02T20:18:42.413+00:00,133,5,1,0,6,4.5024782911989085,8
2025-11-08,1.0.0,2025-11-02T20:18:42.413+00:00,155,5,1,0,5,4.50241530796019,10
2025-11-09,1.0.0,2025-11-02T20:18:42.413+00:00,172,5,1,0.6024096385542169,10,4.502377318889101,11
2025-11-10,1.0.0,2025-11-02T20:18:42.413+00:00,202,5,1,0.5405405405405406,7,4.50243747090958,14
2025-11-11,1.0.0,2025-11-02T20:18:42.413+00:00,237,5,1,0.45662100456621,1,4.502442028603998,16
2025-11-12,1.0.0,2025-11-02T20:18:42.413+00:00,271,5,1,0,1,4.502495660054203,17
2025-11-13,1.0.0,2025-11-02T20:18:42.413+00:00,323,5,1,0.33444816053511706,1,4.502460598312295,19
2025-11-14,1.0.0,2025-11-02T20:18:42.413+00:00,355,5,1,0,1,4.502484641813522,19
2025-11-15,1.0.0,2025-11-02T20:18:42.413+00:00,380,5,1,0.5333333333333333,1,4.502566440806836,20
2025-11-16,1.0.0,2025-11-02T20:18:42.413+00:00,398,5,1,0,1,4.502458530063603,21
2025-11-17,1.0.0,2025-11-02T20:18:42.413+00:00,423,5,1,0,1,4.502432277727447,22
2025-11-18,1.0.0,2025-11-02T20:18:42.413+00:00,468,5,1,0,1,4.502486499027686,23
2025-11-19,1.0.0,2025-11-02T20:18:42.413+00:00,514,5,1,0,1,4.502377246788123,24
2025-11-20,1.0.0,2025-11-02T20:18:42.413+00:00,565,5,1,0.186219739292365,1,4.502188904669175,25
2025-11-21,1.0.0,2025-11-02T20:18:42.413+00:00,610,5,1,0,1,4.502095969420921,25
2025-11-22,1.0.0,2025-11-02T20:18:42.413+00:00,635,5,1,0,2,4.501957839403529,25
2025-11-23,1.0.0,2025-11-02T20:18:42.413+00:00,651,5,1,0,2,4.501879848149706,25
2025-11-24,1.0.0,2025-11-02T20:18:42.413+00:00,681,5,1,0.29985007496251875,2,4.501960870312095,25
2025-11-25,1.0.0,2025-11-02T20:18:42.413+00:00,719,5,1,0.14184397163120568,2,4.501936891791013,26
2025-11-26,1.0.0,2025-11-02T20:18:42.413+00:00,770,5,1,0,3,4.5020783235687905,27
2025-11-27,1.0.0,2025-11-02T20:18:42.413+00:00,798,5,1,0,3,4.5020352327826,27
2025-11-28,1.0.0,2025-11-02T20:18:42.413+00:00,831,5,1,0.12330456226880394,3,4.502289055973266,27
2025-11-29,1.0.0,2025-11-02T20:18:42.413+00:00,866,5,1,0,3,4.502360442948218,28
2025-11-30,1.0.0,2025-11-02T20:18:42.413+00:00,880,5,1,0,3,4.502282744636156,28
2025-12-01,1.0.0,2025-11-02T20:18:42.413+00:00,896,5,1,0,3,4.502300343534154,29
2025-12-02,1.0.0,2025-11-02T20:18:42.413+00:00,931,5,1,0.21905805038335158,3,4.502281221181381,29
2025-12-03,1.0.0,2025-11-02T20:18:42.413+00:00,985,5,1,0.10362694300518134,3,4.502312049702095,30
2025-12-04,1.0.0,2025-11-02T20:18:42.413+00:00,1026,5,1,0,3,4.502214722632356,32
2025-12-05,1.0.0,2025-11-02T20:18:42.413+00:00,1061,5,1,0,3,4.502443864413227,32
