date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-26,0.2.100,2025-06-25T14:30:25.22+00:00,86,5,1,0,632,4.403204729309272,929
2025-06-26,0.2.100,2025-06-25T14:30:25.22+00:00,86,5,1,0,632,4.403204729309272,929
2025-06-27,0.2.101,2025-06-26T14:57:46.313+00:00,89,5,1,0,658,4.403204729309272,939
2025-06-27,0.2.101,2025-06-26T14:57:46.313+00:00,89,5,7,0,658,4.403204729309272,939
2025-06-28,0.2.102,2025-06-28T06:19:59.857+00:00,91,5,1,0,674,4.403204729309272,944
2025-06-28,0.2.102,2025-06-28T06:19:59.857+00:00,91,5,1,0,674,4.403204729309272,944
2025-06-29,0.2.103,2025-06-28T15:34:02.55+00:00,92,5,1,0,697,4.403204729309272,951
2025-06-29,0.2.103,2025-06-28T15:34:02.55+00:00,92,5,1,0,697,4.403204729309272,951
2025-06-30,0.2.104,2025-06-30T11:53:56.817+00:00,93,5,1,0,711,4.403204729309272,955
2025-06-30,0.2.104,2025-06-30T11:53:56.817+00:00,93,5,1,0,711,4.403204729309272,955
2025-07-01,0.2.106,2025-07-01T08:50:46.677+00:00,96,5,1,0,755,4.403204729309272,966
2025-07-01,0.2.106,2025-07-01T08:50:46.677+00:00,96,5,1,0,755,4.403204729309272,966
2025-07-02,0.2.116,2025-07-02T06:53:37.137+00:00,98,5,1,0,840,4.403204729309272,999
2025-07-02,0.2.116,2025-07-02T06:53:37.137+00:00,98,5,1,0,840,4.403204729309272,999
2025-07-03,0.2.116,2025-07-02T06:53:37.137+00:00,103,5,1,0,856,4.403204729309272,1008
2025-07-03,0.2.116,2025-07-02T06:53:37.137+00:00,103,5,2,0,856,4.403204729309272,1008
2025-07-04,0.2.122,2025-07-04T11:35:08.023+00:00,105,5,1,0,907,4.403204729309272,1020
2025-07-04,0.2.122,2025-07-04T11:35:08.023+00:00,105,5,2,0,907,4.403204729309272,1020
2025-07-05,0.4.0,2025-07-05T08:19:27.803+00:00,107,5,1,0,937,4.403204729309272,1032
2025-07-05,0.4.0,2025-07-05T08:19:27.803+00:00,107,5,2,0,937,4.403204729309272,1032
2025-07-06,0.4.0,2025-07-05T08:19:27.803+00:00,115,5,2,0,952,4.403204729309272,1068
2025-07-06,0.4.0,2025-07-05T08:19:27.803+00:00,115,5,1,0,952,4.403204729309272,1068
2025-07-07,0.4.3,2025-07-07T11:36:42.677+00:00,126,5,1,0,973,4.403204729309272,1074
2025-07-07,0.4.3,2025-07-07T11:36:42.677+00:00,126,5,1,0,973,4.403204729309272,1074
2025-07-08,0.4.6,2025-07-08T12:28:10.403+00:00,135,5,1,0,1023,4.403204729309272,1092
2025-07-08,0.4.6,2025-07-08T12:28:10.403+00:00,135,5,1,0,1023,4.403204729309272,1092
2025-07-09,0.4.11,2025-07-09T11:03:28.257+00:00,142,4.800000190734863,5,0,1106,4.403204729309272,1112
2025-07-09,0.4.11,2025-07-09T11:03:28.257+00:00,142,5,1,0,1106,4.403204729309272,1112
2025-07-10,0.4.13,2025-07-10T09:27:03.983+00:00,149,5,3,0,1185,4.403204729309272,1129
2025-07-10,0.4.13,2025-07-10T09:27:03.983+00:00,149,5,3,0,1185,4.403204729309272,1129
2025-07-11,0.4.18,2025-07-11T10:21:43.19+00:00,154,5,1,0,1255,4.403204729309272,1158
2025-07-11,0.4.18,2025-07-11T10:21:43.19+00:00,154,5,8,0,1255,4.403204729309272,1158
2025-07-12,0.4.19,2025-07-12T10:06:23.287+00:00,159,5,1,0,1287,4.403204729309272,1176
2025-07-12,0.4.19,2025-07-12T10:06:23.287+00:00,159,5,8,0,1287,4.403204729309272,1176
2025-07-13,0.4.19,2025-07-12T10:06:23.287+00:00,163,5,1,0.6172839506172839,1309,4.403204729309272,1185
2025-07-13,0.4.19,2025-07-12T10:06:23.287+00:00,163,5,1,0.6172839506172839,1309,4.403204729309272,1185
2025-07-14,0.4.19,2025-07-12T10:06:23.287+00:00,167,5,1,0,1324,4.403204729309272,1191
2025-07-14,0.4.19,2025-07-12T10:06:23.287+00:00,167,5,5,0,1324,4.403204729309272,1191
2025-07-15,0.4.20,2025-07-14T13:24:13.897+00:00,169,5,1,0,1372,4.403204729309272,1197
2025-07-15,0.4.20,2025-07-14T13:24:13.897+00:00,169,5,5,0,1372,4.403204729309272,1197
2025-07-16,0.4.25,2025-07-16T11:11:43.68+00:00,170,5,1,0,1427,4.457579009800322,1209
2025-07-16,0.4.25,2025-07-16T11:11:43.68+00:00,170,5,5,0,1427,4.457579009800322,1209
2025-07-17,0.4.29,2025-07-17T08:55:42.897+00:00,173,5,1,0,1505,4.457495677945172,1232
2025-07-17,0.4.29,2025-07-17T08:55:42.897+00:00,173,5,5,0,1505,4.457495677945172,1232
2025-07-18,0.4.32,2025-07-18T07:36:56.847+00:00,177,5,1,0,1574,4.4576272381718045,1249
2025-07-18,0.4.32,2025-07-18T07:36:56.847+00:00,177,5,5,0,1574,4.4576272381718045,1249
2025-07-19,0.4.32,2025-07-18T07:36:56.847+00:00,181,5,1,0,1603,4.457726522958932,1271
2025-07-19,0.4.32,2025-07-18T07:36:56.847+00:00,181,5,2,0,1603,4.457726522958932,1271
2025-07-20,0.4.32,2025-07-18T07:36:56.847+00:00,186,5,2,0,1609,4.4577909951304076,1273
2025-07-20,0.4.32,2025-07-18T07:36:56.847+00:00,186,5,2,0,1609,4.4577909951304076,1273
2025-07-21,0.4.33,2025-07-21T10:49:42.58+00:00,188,5,2,0,1618,4.457829882271712,1273
2025-07-21,0.4.33,2025-07-21T10:49:42.58+00:00,188,5,2,0,1618,4.457829882271712,1273
2025-07-22,0.4.35,2025-07-22T12:00:29.873+00:00,192,5,1,0,1666,4.457674975355584,1287
2025-07-22,0.4.35,2025-07-22T12:00:29.873+00:00,192,5,1,0,1666,4.457674975355584,1287
2025-07-23,0.4.36,2025-07-23T01:18:19.22+00:00,197,5,1,0.5154639175257731,1725,4.4577087116253535,1302
2025-07-23,0.4.36,2025-07-23T01:18:19.22+00:00,197,5,1,0.5154639175257731,1725,4.4577087116253535,1302
2025-07-24,0.4.39,2025-07-24T08:55:13.103+00:00,203,5,2,0.5,1794,4.457541628268531,1317
2025-07-24,0.4.39,2025-07-24T08:55:13.103+00:00,203,5,1,0.5,1794,4.457541628268531,1317
2025-07-25,0.4.42,2025-07-25T08:15:44.7+00:00,216,5,1,0,1872,4.457681971042226,1333
2025-07-25,0.4.42,2025-07-25T08:15:44.7+00:00,216,5,1,0,1872,4.457681971042226,1333
2025-07-26,0.4.44,2025-07-26T03:10:10.347+00:00,221,5,12,0,1925,4.457387980522629,1353
2025-07-26,0.4.44,2025-07-26T03:10:10.347+00:00,221,5,1,0,1925,4.457387980522629,1353
2025-07-27,0.4.46,2025-07-27T06:44:08.25+00:00,228,4,4,0,1962,4.457345339102096,1364
2025-07-27,0.4.46,2025-07-27T06:44:08.25+00:00,228,5,1,0,1962,4.457345339102096,1364
2025-07-28,0.4.48,2025-07-28T09:26:24.59+00:00,233,5,1,0,2019,4.457094307561597,1381
2025-07-28,0.4.48,2025-07-28T09:26:24.59+00:00,233,5,2,0,2019,4.457094307561597,1381
2025-07-30,0.4.51,2025-07-30T11:08:45.74+00:00,247,5,2,0,2133,4.457146665170178,1402
2025-07-30,0.4.51,2025-07-30T11:08:45.74+00:00,247,4,1,0,2133,4.457146665170178,1402
2025-07-31,0.4.54,2025-07-31T07:55:10.08+00:00,249,5,2,0,2231,4.457257046697518,1426
2025-07-31,0.4.54,2025-07-31T07:55:10.08+00:00,249,5,2,0,2231,4.457257046697518,1426
2025-08-01,0.4.54,2025-07-31T07:55:10.08+00:00,254,5,2,0,2271,4.457290622788146,1433
2025-08-01,0.4.54,2025-07-31T07:55:10.08+00:00,254,5,2,0,2271,4.457290622788146,1433
2025-08-02,0.4.55,2025-08-01T13:25:18.42+00:00,259,5,2,0,2319,4.457275942983224,1444
2025-08-02,0.4.55,2025-08-01T13:25:18.42+00:00,259,5,2,0,2319,4.457275942983224,1444
2025-08-03,0.4.55,2025-08-01T13:25:18.42+00:00,261,5,2,0,2332,4.457285517202743,1445
2025-08-03,0.4.55,2025-08-01T13:25:18.42+00:00,261,4,2,0,2332,4.457285517202743,1445
2025-08-04,0.4.56,2025-08-04T04:38:11.32+00:00,263,5,2,0,2366,4.457214271711429,1449
2025-08-04,0.4.56,2025-08-04T04:38:11.32+00:00,263,4,2,0,2366,4.457214271711429,1449
2025-08-05,0.4.58,2025-08-05T10:34:04.51+00:00,272,5,1,0,2435,4.457010693091479,1456
2025-08-05,0.4.58,2025-08-05T10:34:04.51+00:00,272,5,1,0,2435,4.457010693091479,1456
2025-08-06,0.4.59,2025-08-06T05:08:23.193+00:00,277,5,3,0,2518,4.456822856183454,1465
2025-08-06,0.4.59,2025-08-06T05:08:23.193+00:00,277,5,2,0,2518,4.456822856183454,1465
2025-08-07,0.4.61,2025-08-07T10:23:09.3+00:00,279,5,16,0,2559,4.456780283167278,1476
2025-08-07,0.4.61,2025-08-07T10:23:09.3+00:00,279,5,2,0,2559,4.456780283167278,1476
