date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.4.7,2024-11-20T10:19:22.57+00:00,30506,5,6,0.006560603575528948,166587,4.627002955818295,535
2024-11-26,2.4.7,2024-11-20T10:19:22.57+00:00,30532,5,6,0.006560603575528948,166705,4.627002955818295,536
2024-11-27,2.4.7,2024-11-20T10:19:22.57+00:00,30587,5,6,0,167017,4.627002955818295,536
2024-11-28,2.5.0,2024-11-27T21:27:17.957+00:00,30650,5,6,0.006528906734567296,169457,4.627002955818295,538
2024-11-29,2.5.0,2024-11-27T21:27:17.957+00:00,30724,5,6,0.003257647327100368,170863,4.627002955818295,540
2024-11-30,2.5.0,2024-11-27T21:27:17.957+00:00,30766,5,6,0.0032511866831393455,171382,4.627002955818295,541
2024-12-01,2.5.0,2024-11-27T21:27:17.957+00:00,30797,5,6,0,171578,4.627002955818295,542
2024-12-02,2.5.0,2024-11-27T21:27:17.957+00:00,30843,5,6,0,172019,4.627002955818295,542
2024-12-03,2.5.0,2024-11-27T21:27:17.957+00:00,30918,5,6,0.0032369792509630013,172923,4.627002955818295,543
2024-12-04,2.5.0,2024-11-27T21:27:17.957+00:00,31002,5,6,0.006457862447529868,173473,4.627002955818295,543
2024-12-05,2.5.0,2024-11-27T21:27:17.957+00:00,31080,5,6,0.009659347028140898,173901,4.627002955818295,544
2024-12-06,2.5.0,2024-11-27T21:27:17.957+00:00,31160,5,6,0,174257,4.627002955818295,544
2024-12-07,2.5.0,2024-11-27T21:27:17.957+00:00,31225,5,6,0,174448,4.627002955818295,550
2024-12-08,2.5.0,2024-11-27T21:27:17.957+00:00,31269,5,6,0,174520,4.627002955818295,552
2024-12-09,2.5.0,2024-11-27T21:27:17.957+00:00,31300,5,6,0,174674,4.627002955818295,552
2024-12-10,2.5.0,2024-11-27T21:27:17.957+00:00,31391,5,6,0.006378161176132921,174931,4.627002955818295,555
2024-12-11,2.5.0,2024-11-27T21:27:17.957+00:00,31473,5,6,0.0031795491399319573,175174,4.627002955818295,555
2024-12-12,2.5.0,2024-11-27T21:27:17.957+00:00,31566,5,6,0.009515653249595586,175411,4.627002955818295,556
2024-12-13,2.5.0,2024-11-27T21:27:17.957+00:00,31660,5,6,0.00948316737790422,175571,4.627002955818295,556
2024-12-14,2.5.0,2024-11-27T21:27:17.957+00:00,31722,5,6,0.003153380423814329,175687,4.627002955818295,556
2024-12-15,2.5.0,2024-11-27T21:27:17.957+00:00,31756,5,6,0.00315000315000315,175737,4.627002955818295,556
2024-12-16,2.5.0,2024-11-27T21:27:17.957+00:00,31799,5,6,0.003147326346268845,175812,4.627002955818295,556
2024-12-17,2.5.0,2024-11-27T21:27:17.957+00:00,31843,5,6,0.003147326346268845,175908,4.627002955818295,557
2024-12-17,2.5.0,2024-11-27T21:27:17.957+00:00,31878,5,6,0.0031402103940964044,175955,4.627002955818295,558
2024-12-18,2.5.0,2024-11-27T21:27:17.957+00:00,31967,5,6,0.006260760682422915,176086,4.627002955818295,559
2024-12-19,2.5.0,2024-11-27T21:27:17.957+00:00,32060,5,6,0.009365341991071707,176217,4.627002955818295,560
2024-12-20,2.5.0,2024-11-27T21:27:17.957+00:00,32127,5,6,0.003114197626981408,176331,4.627002955818295,561
2024-12-21,2.5.0,2024-11-27T21:27:17.957+00:00,32174,5,6,0,176389,4.627002955818295,561
2024-12-22,2.5.0,2024-11-27T21:27:17.957+00:00,32200,5,6,0,176426,4.627002955818295,561
2024-12-23,2.5.0,2024-11-27T21:27:17.957+00:00,32231,5,6,0,176471,4.627002955818295,564
2024-12-24,2.5.0,2024-11-27T21:27:17.957+00:00,32284,5,6,0.006197898912268741,176541,4.627002955818295,564
2024-12-25,2.5.0,2024-11-27T21:27:17.957+00:00,32311,5,6,0.0030959752321981426,176563,4.627002955818295,564
2024-12-26,2.5.0,2024-11-27T21:27:17.957+00:00,32327,5,6,0,176589,4.627002955818295,564
2024-12-27,2.5.0,2024-11-27T21:27:17.957+00:00,32366,5,6,0.00309033035631509,176650,4.627002955818295,564
2024-12-28,2.5.0,2024-11-27T21:27:17.957+00:00,32401,5,6,0,176683,4.627002955818295,564
2024-12-29,2.5.0,2024-11-27T21:27:17.957+00:00,32426,5,6,0.0030850866909360153,176705,4.627002955818295,564
2024-12-30,2.5.0,2024-11-27T21:27:17.957+00:00,32454,5,6,0.0030824240182479503,176726,4.627002955818295,564
2024-12-31,2.5.0,2024-11-27T21:27:17.957+00:00,32508,5,6,0.0030780595912336863,176777,4.627002955818295,564
2025-01-01,2.5.0,2024-11-27T21:27:17.957+00:00,32539,5,6,0.0030739909624665704,176799,4.627002955818295,564
2025-01-02,2.5.0,2024-11-27T21:27:17.957+00:00,32570,5,6,0.0030714417347502917,176825,4.627002955818295,565
2025-01-03,2.5.0,2024-11-27T21:27:17.957+00:00,32629,5,6,0,176891,4.627002955818295,565
2025-01-04,2.6.0,2025-01-03T21:11:20+00:00,32684,5,6,0.00612126220426652,177237,4.627002955818295,567
2025-01-05,2.6.0,2025-01-03T21:11:20+00:00,32714,5,6,0,177396,4.627002955818295,569
2025-01-06,2.6.0,2025-01-03T21:11:20+00:00,32752,5,6,0,177704,4.627002955818295,569
2025-01-07,2.6.0,2025-01-03T21:11:20+00:00,32826,5,6,0.0030485016614334053,178168,4.627002955818295,571
2025-01-08,2.6.0,2025-01-03T21:11:20+00:00,32905,5,6,0.006085130982444397,178507,4.627002955818295,572
2025-01-09,2.6.0,2025-01-03T21:11:20+00:00,32982,5,6,0.01820554055284158,178777,4.627002955818295,573
2025-01-10,2.6.0,2025-01-03T21:11:20+00:00,33066,5,6,0.006053635207942369,178971,4.627002955818295,573
2025-01-11,2.6.0,2025-01-03T21:11:20+00:00,33128,5,6,0,179095,4.627002955818295,576
