date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.5,2024-10-27T11:58:40.237+00:00,1024,5,4,0,289,4.403204729309272,34
2024-11-26,0.0.5,2024-10-27T11:58:40.237+00:00,1025,5,1,0,290,4.403204729309272,34
2024-11-26,0.0.5,2024-10-27T11:58:40.237+00:00,1025,5,4,0,290,4.403204729309272,34
2024-11-27,0.0.5,2024-10-27T11:58:40.237+00:00,1028,5,1,0,291,4.403204729309272,34
2024-11-27,0.0.5,2024-10-27T11:58:40.237+00:00,1028,5,4,0,291,4.403204729309272,34
2024-11-28,0.0.5,2024-10-27T11:58:40.237+00:00,1030,5,1,0,294,4.403204729309272,34
2024-11-28,0.0.5,2024-10-27T11:58:40.237+00:00,1030,5,4,0,294,4.403204729309272,34
2024-11-29,0.0.5,2024-10-27T11:58:40.237+00:00,1031,5,1,0,297,4.403204729309272,34
2024-11-29,0.0.5,2024-10-27T11:58:40.237+00:00,1031,5,4,0,297,4.403204729309272,34
2024-11-30,0.0.5,2024-10-27T11:58:40.237+00:00,1031,5,1,0,300,4.403204729309272,34
2024-11-30,0.0.5,2024-10-27T11:58:40.237+00:00,1031,5,1,0,300,4.403204729309272,34
2024-12-01,0.0.5,2024-10-27T11:58:40.237+00:00,1034,5,1,0,301,4.403204729309272,34
2024-12-01,0.0.5,2024-10-27T11:58:40.237+00:00,1034,5,1,0,301,4.403204729309272,34
2024-12-02,0.0.5,2024-10-27T11:58:40.237+00:00,1035,5,1,0,303,4.403204729309272,34
2024-12-02,0.0.5,2024-10-27T11:58:40.237+00:00,1035,5,1,0,303,4.403204729309272,34
2024-12-03,0.0.5,2024-10-27T11:58:40.237+00:00,1036,5,1,0,304,4.403204729309272,34
2024-12-03,0.0.5,2024-10-27T11:58:40.237+00:00,1036,5,5,0,304,4.403204729309272,34
2024-12-04,0.0.5,2024-10-27T11:58:40.237+00:00,1037,5,1,0,309,4.403204729309272,34
2024-12-04,0.0.5,2024-10-27T11:58:40.237+00:00,1037,5,1,0,309,4.403204729309272,34
2024-12-05,0.0.5,2024-10-27T11:58:40.237+00:00,1038,5,1,0,311,4.403204729309272,34
2024-12-05,0.0.5,2024-10-27T11:58:40.237+00:00,1038,5,1,0,311,4.403204729309272,34
2024-12-06,0.0.5,2024-10-27T11:58:40.237+00:00,1039,5,1,0,314,4.403204729309272,34
2024-12-06,0.0.5,2024-10-27T11:58:40.237+00:00,1039,5,1,0,314,4.403204729309272,34
2024-12-07,0.0.5,2024-10-27T11:58:40.237+00:00,1040,5,1,0,315,4.403204729309272,34
2024-12-07,0.0.5,2024-10-27T11:58:40.237+00:00,1040,5,1,0,315,4.403204729309272,34
2024-12-08,0.0.5,2024-10-27T11:58:40.237+00:00,1040,5,1,0,316,4.403204729309272,34
2024-12-08,0.0.5,2024-10-27T11:58:40.237+00:00,1040,5,1,0,316,4.403204729309272,34
2024-12-09,0.0.5,2024-10-27T11:58:40.237+00:00,1042,5,1,0,317,4.403204729309272,39
2024-12-09,0.0.5,2024-10-27T11:58:40.237+00:00,1042,5,1,0,317,4.403204729309272,39
2024-12-10,0.0.5,2024-10-27T11:58:40.237+00:00,1043,5,1,0,318,4.403204729309272,39
2024-12-10,0.0.5,2024-10-27T11:58:40.237+00:00,1043,5,1,0,318,4.403204729309272,39
2024-12-11,0.0.5,2024-10-27T11:58:40.237+00:00,1046,5,1,0,322,4.403204729309272,39
2024-12-11,0.0.5,2024-10-27T11:58:40.237+00:00,1046,5,1,0,322,4.403204729309272,39
2024-12-12,0.0.5,2024-10-27T11:58:40.237+00:00,1047,5,1,0,322,4.403204729309272,39
