date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-07-20,2.2.0,2026-06-22T07:27:40.787+00:00,834,5,3,0.12106537530266344,573,4.577824300572082,511
2026-07-21,2.2.0,2026-06-22T07:27:40.787+00:00,855,5,3,0,574,4.577822433406348,512
2026-07-22,2.2.0,2026-06-22T07:27:40.787+00:00,871,5,3,0.11627906976744186,577,4.577889189560856,515
2026-07-23,2.2.0,2026-06-22T07:27:40.787+00:00,882,5,3,0,577,4.57794822090921,516
2026-07-24,2.2.0,2026-06-22T07:27:40.787+00:00,901,5,3,0.11210762331838565,577,4.578038295699747,517
2026-07-25,2.2.0,2026-06-22T07:27:40.787+00:00,914,5,3,0,577,4.5779336295137245,518
2026-07-26,2.2.0,2026-06-22T07:27:40.787+00:00,927,5,3,0,578,4.577952008045217,519
2026-07-27,2.2.0,2026-06-22T07:27:40.787+00:00,940,5,3,0,580,4.577923498692329,520
2026-07-28,2.2.0,2026-06-22T07:27:40.787+00:00,958,5,3,0.10548523206751054,580,4.577994296754883,522
2026-07-29,2.2.0,2026-06-22T07:27:40.787+00:00,976,5,3,0,582,4.578011450838018,528
2026-07-30,2.2.0,2026-06-22T07:27:40.787+00:00,994,5,3,0,584,4.577985704519772,530
2026-07-31,2.2.0,2026-06-22T07:27:40.787+00:00,1014,5,3,0,584,4.5779673026246055,532
2026-08-01,2.2.0,2026-06-22T07:27:40.787+00:00,1025,5,3,0,585,4.577940518918658,538
2026-08-02,2.2.0,2026-06-22T07:27:40.787+00:00,1039,5,3,0,586,4.578022562218972,539
2026-08-03,2.2.0,2026-06-22T07:27:40.787+00:00,1049,5,3,0.09578544061302681,586,4.578038466417275,541
2026-08-04,2.2.0,2026-06-22T07:27:40.787+00:00,1061,5,3,0,587,4.578053485732973,543
2026-08-05,2.2.0,2026-06-22T07:27:40.787+00:00,1072,5,3,0.09372071227741331,587,4.57809052002764,544
2026-08-06,2.2.0,2026-06-22T07:27:40.787+00:00,1091,5,3,0.09225092250922509,588,4.57809052002764,545
2026-08-07,2.2.0,2026-06-22T07:27:40.787+00:00,1101,5,3,0,589,4.578055274239484,549
2026-08-08,2.2.0,2026-06-22T07:27:40.787+00:00,1123,5,3,0.08936550491510277,589,4.578103333936215,550
2026-08-09,2.2.0,2026-06-22T07:27:40.787+00:00,1129,5,3,0,590,4.578145226199617,551
2026-08-10,2.2.0,2026-06-22T07:27:40.787+00:00,1150,5,3,0,591,4.577980996821376,552
2026-08-11,2.2.0,2026-06-22T07:27:40.787+00:00,1161,5,3,0,592,4.578097243315919,553
2026-08-12,2.2.0,2026-06-22T07:27:40.787+00:00,1174,5,3,0,592,4.578098154164945,558
2026-08-13,2.2.0,2026-06-22T07:27:40.787+00:00,1187,5,3,0.0846740050804403,592,4.578086528966807,559
2026-08-14,2.2.0,2026-06-22T07:27:40.787+00:00,1195,5,3,0,595,4.5780810298512025,560
2026-08-15,2.2.0,2026-06-22T07:27:40.787+00:00,1204,5,3,0.08340283569641367,596,4.578087175475707,561
2026-08-16,2.2.0,2026-06-22T07:27:40.787+00:00,1220,5,3,0,597,4.578123467119305,563
2026-08-17,2.2.0,2026-06-22T07:27:40.787+00:00,1228,5,3,0,598,4.578123467119305,563
2026-08-18,2.2.0,2026-06-22T07:27:40.787+00:00,1249,5,3,0,599,4.578116623952438,564
2026-08-19,2.2.0,2026-06-22T07:27:40.787+00:00,1261,5,3,0,600,4.578082777065681,565
2026-08-20,2.2.0,2026-06-22T07:27:40.787+00:00,1275,5,3,0.07855459544383347,600,4.578063421069419,566
2026-08-21,2.2.0,2026-06-22T07:27:40.787+00:00,1289,5,3,0.07776049766718507,600,4.578072699783938,567
2026-08-22,2.2.0,2026-06-22T07:27:40.787+00:00,1306,5,3,0,600,4.578049638936644,568
