date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-07-22,0.1.0,2025-07-22T09:33:07.567+00:00,1,5,1,0,1,4.457674975355584,3
2025-07-23,0.1.0,2025-07-22T09:33:07.567+00:00,4,5,1,0,1,4.4577087116253535,8
2025-07-24,0.1.2,2025-07-24T00:57:42.577+00:00,8,5,1,0,2,4.457541628268531,18
2025-07-25,0.1.2,2025-07-24T00:57:42.577+00:00,12,5,1,0,5,4.457681971042226,22
2025-07-26,0.1.2,2025-07-24T00:57:42.577+00:00,12,5,1,0,5,4.506716345929663,22
2025-07-27,0.1.2,2025-07-24T00:57:42.577+00:00,14,5,1,0,5,4.506677581001906,24
2025-07-28,0.1.2,2025-07-24T00:57:42.577+00:00,15,5,1,0,5,4.506449370510543,25
2025-07-30,0.1.2,2025-07-24T00:57:42.577+00:00,20,5,1,0,5,4.506496968336526,32
2025-07-31,0.1.2,2025-07-24T00:57:42.577+00:00,22,5,1,0,5,4.506597315179562,32
2025-08-01,0.1.2,2025-07-24T00:57:42.577+00:00,24,5,1,0,5,4.506627838898314,32
2025-08-02,0.1.2,2025-07-24T00:57:42.577+00:00,24,5,1,0,5,4.506614493621113,35
2025-08-03,0.1.2,2025-07-24T00:57:42.577+00:00,24,5,1,0,5,4.5066231974570385,37
2025-08-04,0.1.2,2025-07-24T00:57:42.577+00:00,26,5,1,0,5,4.506558428828571,38
2025-08-05,0.1.3,2025-08-05T12:31:36.013+00:00,27,5,1,0,5,4.506373357355889,38
2025-08-06,0.1.3,2025-08-05T12:31:36.013+00:00,29,5,1,0,12,4.506202596530413,44
2025-08-07,0.1.3,2025-08-05T12:31:36.013+00:00,30,5,1,0,13,4.506163893788434,46
2025-08-08,0.1.3,2025-08-05T12:31:36.013+00:00,30,5,1,0,14,4.505956060277832,47
2025-08-09,0.1.3,2025-08-05T12:31:36.013+00:00,31,5,1,0,14,4.505853068455659,49
2025-08-10,0.1.3,2025-08-05T12:31:36.013+00:00,32,5,1,0,14,4.505787951791932,49
2025-08-11,0.1.3,2025-08-05T12:31:36.013+00:00,33,5,1,0,15,4.50580937826833,49
2025-08-12,0.1.3,2025-08-05T12:31:36.013+00:00,34,5,1,0,16,4.505786680960249,50
2025-08-13,0.1.3,2025-08-05T12:31:36.013+00:00,35,5,1,0,17,4.505734519333794,50
2025-08-14,0.1.3,2025-08-05T12:31:36.013+00:00,35,5,1,0,17,4.505697302565006,50
2025-08-15,0.1.3,2025-08-05T12:31:36.013+00:00,36,5,1,0,18,4.50552836250403,51
2025-08-16,0.1.3,2025-08-05T12:31:36.013+00:00,37,5,1,0,18,4.50550139275766,52
2025-08-17,0.1.3,2025-08-05T12:31:36.013+00:00,37,5,1,0,18,4.5054302422723485,53
2025-08-18,0.1.3,2025-08-05T12:31:36.013+00:00,37,5,1,0,19,4.505399518833455,53
2025-08-19,0.1.3,2025-08-05T12:31:36.013+00:00,40,5,1,0,19,4.505447108093442,53
2025-08-20,0.1.3,2025-08-05T12:31:36.013+00:00,41,5,1,0,20,4.505292468543868,53
2025-08-21,0.1.3,2025-08-05T12:31:36.013+00:00,44,5,1,0,21,4.505224112103122,53
2025-08-22,0.1.3,2025-08-05T12:31:36.013+00:00,45,5,1,0,21,4.505045663268367,54
2025-08-23,0.1.3,2025-08-05T12:31:36.013+00:00,46,5,1,0,21,4.5050378787878795,55
2025-08-24,0.1.3,2025-08-05T12:31:36.013+00:00,47,5,1,0,21,4.5049509949641156,55
2025-08-25,0.1.3,2025-08-05T12:31:36.013+00:00,47,5,1,0,21,4.5050437045342555,57
2025-08-26,0.1.3,2025-08-05T12:31:36.013+00:00,47,5,1,0,21,4.504972162449199,57
2025-08-27,0.1.3,2025-08-05T12:31:36.013+00:00,50,5,1,0,21,4.505014221881524,57
2025-08-28,0.1.3,2025-08-05T12:31:36.013+00:00,51,5,1,0,21,4.505217437864772,57
2025-08-29,0.1.3,2025-08-05T12:31:36.013+00:00,52,5,1,0,21,4.505162985654945,57
2025-08-30,0.1.3,2025-08-05T12:31:36.013+00:00,56,5,1,0,21,4.505064698638318,58
2025-08-31,0.1.3,2025-08-05T12:31:36.013+00:00,58,5,1,0,21,4.50511768247531,59
2025-09-01,0.1.3,2025-08-05T12:31:36.013+00:00,58,5,1,0,21,4.5049876095953305,60
2025-09-02,0.1.3,2025-08-05T12:31:36.013+00:00,60,5,1,0,21,4.504922670690306,60
2025-09-03,0.1.3,2025-08-05T12:31:36.013+00:00,61,5,1,0,21,4.505083463315984,61
2025-09-04,0.1.3,2025-08-05T12:31:36.013+00:00,63,5,1,0,21,4.505082543828735,62
2025-09-05,0.1.3,2025-08-05T12:31:36.013+00:00,65,5,1,0,21,4.505061598851102,63
