date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-10,1.0.1,2024-09-10T11:49:51.44+00:00,21894,5,1,0.004577497024626934,3480,4.457458844826611,508
2025-06-11,1.0.1,2024-09-10T11:49:51.44+00:00,22002,5,1,0.00911743253099927,3481,4.457458844826611,510
2025-06-12,1.0.1,2024-09-10T11:49:51.44+00:00,22088,5,1,0.0045355587808417995,3481,4.457458844826611,510
2025-06-13,1.0.1,2024-09-10T11:49:51.44+00:00,22180,5,1,0.01807092839394624,3482,4.457458844826611,512
2025-06-14,1.0.1,2024-09-10T11:49:51.44+00:00,22242,5,1,0,3482,4.457458844826611,514
2025-06-15,1.0.1,2024-09-10T11:49:51.44+00:00,22305,5,1,0,3482,4.457458844826611,514
2025-06-16,1.0.1,2024-09-10T11:49:51.44+00:00,22386,5,1,0,3482,4.457458844826611,518
2025-06-17,1.0.1,2024-09-10T11:49:51.44+00:00,22474,5,1,0,3482,4.457458844826611,520
2025-06-18,1.0.1,2024-09-10T11:49:51.44+00:00,22551,5,1,0.013326226012793176,3484,4.457458844826611,521
2025-06-19,1.0.1,2024-09-10T11:49:51.44+00:00,22644,5,1,0.008850340738118419,3484,4.457458844826611,522
2025-06-20,1.0.1,2024-09-10T11:49:51.44+00:00,22735,5,1,0.004408393581378945,3484,4.457458844826611,522
2025-06-21,1.0.1,2024-09-10T11:49:51.44+00:00,22798,5,1,0.0043927081045464535,3485,4.457458844826611,525
2025-06-22,1.0.1,2024-09-10T11:49:51.44+00:00,22850,5,1,0.0043805852461888915,3486,4.457458844826611,526
2025-06-23,1.0.1,2024-09-10T11:49:51.44+00:00,22930,5,1,0.004369101712687871,3487,4.457458844826611,527
2025-06-24,1.0.1,2024-09-10T11:49:51.44+00:00,23016,5,1,0.00435464204842362,3487,4.457458844826611,529
2025-06-25,1.0.1,2024-09-10T11:49:51.44+00:00,23105,5,1,0.004337077677061196,3487,4.457458844826611,531
2025-06-26,1.0.1,2024-09-10T11:49:51.44+00:00,23199,5,1,0.012960082944530845,3487,4.457458844826611,531
2025-06-27,1.0.1,2024-09-10T11:49:51.44+00:00,23285,5,1,0.004302370606204018,3488,4.457458844826611,531
2025-06-28,1.0.1,2024-09-10T11:49:51.44+00:00,23343,5,1,0.012863390789812195,3489,4.457458844826611,533
2025-06-29,1.0.1,2024-09-10T11:49:51.44+00:00,23390,5,1,0.004279173263725448,3489,4.457458844826611,534
2025-06-30,1.0.1,2024-09-10T11:49:51.44+00:00,23471,5,1,0.008539345032236028,3489,4.457458844826611,535
2025-07-01,1.0.1,2024-09-10T11:49:51.44+00:00,23565,5,1,0.004251881457544964,3489,4.457458844826611,535
2025-07-02,1.0.1,2024-09-10T11:49:51.44+00:00,23674,5,1,0.01694053870913095,3489,4.457458844826611,536
2025-07-03,1.0.1,2024-09-10T11:49:51.44+00:00,23791,5,1,0.016847070715579327,3489,4.457458844826611,536
2025-07-04,1.0.1,2024-09-10T11:49:51.44+00:00,23919,5,1,0.020962602716753313,3489,4.457458844826611,536
2025-07-05,1.0.1,2024-09-10T11:49:51.44+00:00,24007,5,1,0.004172055571780216,3491,4.457458844826611,540
2025-07-06,1.0.1,2024-09-10T11:49:51.44+00:00,24077,5,1,0.0083166999334664,3491,4.457458844826611,540
2025-07-07,1.0.1,2024-09-10T11:49:51.44+00:00,24189,5,1,0.012436264146250466,3491,4.457458844826611,541
2025-07-08,1.0.1,2024-09-10T11:49:51.44+00:00,24300,5,1,0.01237981265216853,3491,4.457458844826611,541
2025-07-09,1.0.1,2024-09-10T11:49:51.44+00:00,24411,5,1,0,3491,4.457458844826611,544
2025-07-10,1.0.1,2024-09-10T11:49:51.44+00:00,24512,5,1,0.004089645018812368,3492,4.457458844826611,545
2025-07-11,1.0.1,2024-09-10T11:49:51.44+00:00,24622,5,1,0.008141664970486465,3492,4.457458844826611,546
2025-07-12,1.0.1,2024-09-10T11:49:51.44+00:00,24704,5,1,0.004053341980462892,3492,4.457458844826611,549
2025-07-13,1.0.1,2024-09-10T11:49:51.44+00:00,24757,5,1,0,3492,4.457458844826611,551
2025-07-14,1.0.1,2024-09-10T11:49:51.44+00:00,24841,5,1,0,3492,4.457458844826611,552
