date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-03-27,2.0.16,2026-02-16T13:04:25.123+00:00,542,5,2,0,22,4.546183681540274,247
2026-03-28,2.0.16,2026-02-16T13:04:25.123+00:00,549,5,2,0,22,4.546135483270747,248
2026-03-29,2.0.16,2026-02-16T13:04:25.123+00:00,557,5,2,0,22,4.546084337349398,249
2026-03-30,2.0.16,2026-02-16T13:04:25.123+00:00,569,5,2,0,22,4.546254924950619,250
2026-03-31,2.0.16,2026-02-16T13:04:25.123+00:00,582,5,2,0,22,4.54621146844404,250
2026-04-01,2.0.16,2026-02-16T13:04:25.123+00:00,597,5,2,0,22,4.546184192196148,251
2026-04-02,2.0.16,2026-02-16T13:04:25.123+00:00,607,5,2,0,22,4.54607161844004,252
2026-04-03,2.0.16,2026-02-16T13:04:25.123+00:00,625,5,2,0.16260162601626016,22,4.545819706870267,253
2026-04-04,2.0.16,2026-02-16T13:04:25.123+00:00,633,5,2,0.1579778830963665,22,4.5457989525044,255
2026-04-05,2.0.16,2026-02-16T13:04:25.123+00:00,641,5,2,0,22,4.545676242244204,255
2026-04-06,2.0.16,2026-02-16T13:04:25.123+00:00,649,5,2,0.1545595054095827,22,4.545729293031406,256
2026-04-07,2.0.16,2026-02-16T13:04:25.123+00:00,663,5,2,0,22,4.545731078355837,258
2026-04-08,2.0.16,2026-02-16T13:04:25.123+00:00,682,5,2,0,22,4.5457964355069125,260
2026-04-09,2.0.16,2026-02-16T13:04:25.123+00:00,693,5,2,0,22,4.5457704349947115,262
2026-04-10,2.0.16,2026-02-16T13:04:25.123+00:00,709,5,2,0,22,4.545667110138695,264
2026-04-11,2.0.16,2026-02-16T13:04:25.123+00:00,721,5,2,0,22,4.545624528607115,265
2026-04-12,2.0.16,2026-02-16T13:04:25.123+00:00,726,5,2,0,22,4.545643571842629,267
2026-04-13,2.0.16,2026-02-16T13:04:25.123+00:00,738,5,2,0.136986301369863,22,4.545684549117425,268
2026-04-16,2.0.16,2026-02-16T13:04:25.123+00:00,794,5,2,0.12674271229404308,22,4.545667039818205,273
2026-04-17,2.0.16,2026-02-16T13:04:25.123+00:00,813,5,2,0,22,4.545675993386851,275
2026-04-18,2.0.16,2026-02-16T13:04:25.123+00:00,823,5,2,0,22,4.545648258675211,277
2026-04-19,2.0.16,2026-02-16T13:04:25.123+00:00,838,5,2,0,22,4.545559686339525,280
2026-04-21,2.0.16,2026-02-16T13:04:25.123+00:00,872,5,2,0,22,4.545452168328658,282
2026-04-22,2.0.16,2026-02-16T13:04:25.123+00:00,888,5,2,0,22,4.545436011316659,285
2026-04-23,2.0.16,2026-02-16T13:04:25.123+00:00,909,5,2,0,22,4.544557001026333,287
2026-04-24,2.0.16,2026-02-16T13:04:25.123+00:00,924,5,2,0,22,4.5454246338390965,289
2026-04-25,2.0.16,2026-02-16T13:04:25.123+00:00,937,5,2,0,22,4.545371507073542,292
2026-04-26,2.0.16,2026-02-16T13:04:25.123+00:00,942,5,2,0,22,4.5454028386558125,293
2026-04-27,2.0.16,2026-02-16T13:04:25.123+00:00,953,5,2,0,22,4.545295672841168,294
