date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-02-13,1.0.0,2026-01-16T18:56:23.423+00:00,395,3,2,0.2557544757033248,36,4.454665245615735,39
2026-02-14,1.0.0,2026-01-16T18:56:23.423+00:00,406,5,1,0,146,4.454664609146495,39
2026-02-15,1.0.0,2026-01-16T18:56:23.423+00:00,407,5,1,0,14,4.454718564420346,40
2026-02-16,1.0.0,2026-01-16T18:56:23.423+00:00,414,5,1,0.24509803921568626,2,4.454732005730289,40
2026-02-17,1.0.0,2026-01-16T18:56:23.423+00:00,424,5,1,0,19,4.454779428365016,42
2026-02-18,1.0.0,2026-01-16T18:56:23.423+00:00,437,4,2,0,27,4.455594516231104,44
2026-02-19,1.0.0,2026-01-16T18:56:23.423+00:00,453,5,2,0,289,4.455499038200855,45
2026-02-20,1.0.0,2026-01-16T18:56:23.423+00:00,476,5,1,0,3,4.455393153292679,47
2026-02-21,1.0.0,2026-01-16T18:56:23.423+00:00,485,5,1,0,9,4.455349539366726,48
2026-02-22,1.0.0,2026-01-16T18:56:23.423+00:00,488,5,2,0,6,4.455457740801651,50
2026-02-23,1.0.0,2026-01-16T18:56:23.423+00:00,495,5,1,0,2275,4.455322660717854,52
2026-02-24,1.0.0,2026-01-16T18:56:23.423+00:00,506,5,1,0,1,4.455393161401745,53
2026-02-25,1.0.0,2026-01-16T18:56:23.423+00:00,517,5,2,0,401,4.45553015423254,53
2026-02-26,1.0.0,2026-01-16T18:56:23.423+00:00,531,5,1,0.1893939393939394,6,4.455524947222079,54
