date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.3,2017-05-24T15:30:14.41+00:00,35703,5,1,0.0028010419876193945,1043,4.457458844826611,106
2024-11-26,1.0.3,2017-05-24T15:30:14.41+00:00,35706,5,1,0.0028010419876193945,1043,4.457458844826611,106
2024-11-27,1.0.3,2017-05-24T15:30:14.41+00:00,35711,5,1,0,1043,4.457458844826611,106
2024-11-28,1.0.3,2017-05-24T15:30:14.41+00:00,35716,5,1,0,1043,4.457458844826611,106
2024-11-29,1.0.3,2017-05-24T15:30:14.41+00:00,35724,5,1,0,1043,4.457458844826611,106
2024-11-30,1.0.3,2017-05-24T15:30:14.41+00:00,35739,5,1,0,1043,4.457458844826611,106
2024-12-01,1.0.3,2017-05-24T15:30:14.41+00:00,35741,5,1,0,1043,4.457458844826611,106
2024-12-02,1.0.3,2017-05-24T15:30:14.41+00:00,35746,5,1,0,1043,4.457458844826611,106
2024-12-03,1.0.3,2017-05-24T15:30:14.41+00:00,35756,5,1,0,1043,4.457458844826611,106
2024-12-04,1.0.3,2017-05-24T15:30:14.41+00:00,35768,5,1,0,1043,4.457458844826611,106
2024-12-05,1.0.3,2017-05-24T15:30:14.41+00:00,35775,5,1,0.0027954043552399855,1043,4.457458844826611,106
2024-12-06,1.0.3,2017-05-24T15:30:14.41+00:00,35781,5,1,0,1043,4.457458844826611,106
2024-12-07,1.0.3,2017-05-24T15:30:14.41+00:00,35786,5,1,0,1043,4.457458844826611,109
2024-12-08,1.0.3,2017-05-24T15:30:14.41+00:00,35793,5,1,0,1043,4.457458844826611,109
2024-12-09,1.0.3,2017-05-24T15:30:14.41+00:00,35806,5,1,0,1043,4.457458844826611,109
2024-12-10,1.0.3,2017-05-24T15:30:14.41+00:00,35820,5,1,0,1043,4.457458844826611,109
2024-12-11,1.0.3,2017-05-24T15:30:14.41+00:00,35826,5,1,0,1043,4.457458844826611,109
2024-12-12,1.0.3,2017-05-24T15:30:14.41+00:00,35835,5,1,0,1043,4.457458844826611,109
2024-12-13,1.0.3,2017-05-24T15:30:14.41+00:00,35846,5,1,0,1043,4.457458844826611,109
2024-12-14,1.0.3,2017-05-24T15:30:14.41+00:00,35855,5,1,0,1043,4.457458844826611,109
2024-12-15,1.0.3,2017-05-24T15:30:14.41+00:00,35861,5,1,0.0027887001868429125,1043,4.457458844826611,109
2024-12-16,1.0.3,2017-05-24T15:30:14.41+00:00,35868,5,1,0,1043,4.457458844826611,109
2024-12-17,1.0.3,2017-05-24T15:30:14.41+00:00,35871,5,1,0,1043,4.457458844826611,109
2024-12-17,1.0.3,2017-05-24T15:30:14.41+00:00,35877,5,1,0,1043,4.457458844826611,109
2024-12-18,1.0.3,2017-05-24T15:30:14.41+00:00,35887,5,1,0,1043,4.457458844826611,109
2024-12-19,1.0.3,2017-05-24T15:30:14.41+00:00,35901,5,1,0,1043,4.457458844826611,109
2024-12-20,1.0.3,2017-05-24T15:30:14.41+00:00,35913,5,1,0,1043,4.457458844826611,109
2024-12-21,1.0.3,2017-05-24T15:30:14.41+00:00,35919,5,1,0,1043,4.457458844826611,109
2024-12-22,1.0.3,2017-05-24T15:30:14.41+00:00,35922,5,1,0,1043,4.457458844826611,109
2024-12-23,1.0.3,2017-05-24T15:30:14.41+00:00,35926,5,1,0,1043,4.457458844826611,109
2024-12-24,1.0.3,2017-05-24T15:30:14.41+00:00,35937,5,1,0.0027831120759232975,1043,4.457458844826611,109
2024-12-25,1.0.3,2017-05-24T15:30:14.41+00:00,35945,5,1,0,1043,4.457458844826611,109
2024-12-26,1.0.3,2017-05-24T15:30:14.41+00:00,35952,5,1,0,1043,4.457458844826611,109
2024-12-27,1.0.3,2017-05-24T15:30:14.41+00:00,35961,5,1,0,1043,4.457458844826611,109
2024-12-28,1.0.3,2017-05-24T15:30:14.41+00:00,35971,5,1,0,1044,4.457458844826611,109
2024-12-29,1.0.3,2017-05-24T15:30:14.41+00:00,35977,5,1,0,1044,4.457458844826611,109
2024-12-30,1.0.3,2017-05-24T15:30:14.41+00:00,35987,5,1,0,1044,4.457458844826611,109
2024-12-31,1.0.3,2017-05-24T15:30:14.41+00:00,35992,5,1,0,1044,4.457458844826611,109
2025-01-01,1.0.3,2017-05-24T15:30:14.41+00:00,36003,5,1,0,1044,4.457458844826611,109
2025-01-02,1.0.3,2017-05-24T15:30:14.41+00:00,36013,5,1,0,1044,4.457458844826611,109
2025-01-03,1.0.3,2017-05-24T15:30:14.41+00:00,36026,5,1,0,1044,4.457458844826611,109
2025-01-04,1.0.3,2017-05-24T15:30:14.41+00:00,36032,5,1,0,1044,4.457458844826611,111
2025-01-05,1.0.3,2017-05-24T15:30:14.41+00:00,36038,5,1,0,1044,4.457458844826611,111
2025-01-06,1.0.3,2017-05-24T15:30:14.41+00:00,36046,5,1,0,1044,4.457458844826611,111
2025-01-07,1.0.3,2017-05-24T15:30:14.41+00:00,36056,5,1,0,1044,4.457458844826611,111
2025-01-08,1.0.3,2017-05-24T15:30:14.41+00:00,36064,5,1,0,1044,4.457458844826611,112
2025-01-09,1.0.3,2017-05-24T15:30:14.41+00:00,36069,5,1,0,1044,4.457458844826611,112
2025-01-10,1.0.3,2017-05-24T15:30:14.41+00:00,36087,5,1,0,1044,4.457458844826611,112
2025-01-11,1.0.3,2017-05-24T15:30:14.41+00:00,36095,5,1,0.00277062034189455,1044,4.457458844826611,112
2025-01-12,1.0.3,2017-05-24T15:30:14.41+00:00,36105,5,1,0.0027700063710146532,1044,4.457458844826611,112
2025-01-13,1.0.3,2017-05-24T15:30:14.41+00:00,36110,5,1,0,1044,4.457458844826611,112
2025-01-14,1.0.3,2017-05-24T15:30:14.41+00:00,36121,5,1,0,1044,4.457458844826611,112
2025-01-15,1.0.3,2017-05-24T15:30:14.41+00:00,36134,5,1,0,1044,4.457458844826611,112
2025-01-16,1.0.3,2017-05-24T15:30:14.41+00:00,36149,5,1,0,1044,4.457458844826611,112
