date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.20240831,2024-09-07T02:40:43.103+00:00,451,5,2,0,122,4.403204729309272,50
2024-11-26,0.1.20240831,2024-09-07T02:40:43.103+00:00,451,5,2,0,122,4.403204729309272,50
2024-11-27,0.1.20240831,2024-09-07T02:40:43.103+00:00,452,5,2,0,122,4.403204729309272,50
2024-11-28,0.1.20240831,2024-09-07T02:40:43.103+00:00,454,5,2,0,122,4.403204729309272,50
2024-11-29,0.1.20240831,2024-09-07T02:40:43.103+00:00,455,5,2,0,122,4.403204729309272,50
2024-11-30,0.1.20240831,2024-09-07T02:40:43.103+00:00,456,5,2,0,122,4.403204729309272,50
2024-12-01,0.1.20240831,2024-09-07T02:40:43.103+00:00,457,5,2,0,122,4.403204729309272,50
2024-12-02,0.1.20240831,2024-09-07T02:40:43.103+00:00,457,5,2,0,122,4.403204729309272,50
2024-12-03,0.1.20240831,2024-09-07T02:40:43.103+00:00,457,5,2,0,122,4.403204729309272,50
2024-12-04,0.1.20240831,2024-09-07T02:40:43.103+00:00,459,5,2,0,122,4.403204729309272,50
2024-12-05,0.1.20240831,2024-09-07T02:40:43.103+00:00,460,5,2,0,122,4.403204729309272,50
2024-12-06,0.1.20240831,2024-09-07T02:40:43.103+00:00,462,5,2,0,122,4.403204729309272,50
2024-12-07,0.1.20240831,2024-09-07T02:40:43.103+00:00,462,5,1,0,122,4.403204729309272,50
2024-12-08,0.1.20240831,2024-09-07T02:40:43.103+00:00,463,5,2,0,122,4.403204729309272,50
2024-12-09,0.1.20240831,2024-09-07T02:40:43.103+00:00,463,5,2,0,122,4.403204729309272,50
2024-12-10,0.1.20240831,2024-09-07T02:40:43.103+00:00,465,5,2,0.21505376344086022,122,4.403204729309272,60
2024-12-11,0.1.20240831,2024-09-07T02:40:43.103+00:00,467,5,2,0,122,4.403204729309272,60
2024-12-12,0.1.20240831,2024-09-07T02:40:43.103+00:00,467,5,2,0,122,4.403204729309272,60
2024-12-13,0.1.20240831,2024-09-07T02:40:43.103+00:00,468,5,2,0,122,4.403204729309272,60
2024-12-14,0.1.20240831,2024-09-07T02:40:43.103+00:00,468,5,2,0,122,4.403204729309272,67
2024-12-15,0.1.20240831,2024-09-07T02:40:43.103+00:00,469,5,2,0,122,4.403204729309272,67
2024-12-16,0.1.20240831,2024-09-07T02:40:43.103+00:00,470,5,4,0,122,4.403204729309272,67
2024-12-17,0.1.20240831,2024-09-07T02:40:43.103+00:00,470,5,4,0,122,4.403204729309272,67
2024-12-17,0.1.20240831,2024-09-07T02:40:43.103+00:00,470,5,4,0,122,4.403204729309272,67
2024-12-18,0.1.20240831,2024-09-07T02:40:43.103+00:00,470,5,4,0,122,4.403204729309272,67
2024-12-19,0.1.20240831,2024-09-07T02:40:43.103+00:00,472,5,4,0,122,4.403204729309272,67
2024-12-20,0.1.20240831,2024-09-07T02:40:43.103+00:00,473,5,4,0,122,4.403204729309272,67
2024-12-21,0.1.20240831,2024-09-07T02:40:43.103+00:00,474,5,4,0,122,4.403204729309272,70
2024-12-22,0.1.20240831,2024-09-07T02:40:43.103+00:00,476,5,4,0,122,4.403204729309272,70
2024-12-23,0.1.20240831,2024-09-07T02:40:43.103+00:00,476,5,4,0,123,4.403204729309272,70
2024-12-24,0.1.20240831,2024-09-07T02:40:43.103+00:00,477,5,4,0,123,4.403204729309272,70
2024-12-25,0.1.20240831,2024-09-07T02:40:43.103+00:00,479,5,4,0,123,4.403204729309272,70
2024-12-26,0.1.20240831,2024-09-07T02:40:43.103+00:00,480,5,4,0,123,4.403204729309272,70
2024-12-27,0.1.20240831,2024-09-07T02:40:43.103+00:00,480,5,4,0,123,4.403204729309272,70
2024-12-28,0.1.20240831,2024-09-07T02:40:43.103+00:00,481,5,4,0,125,4.403204729309272,70
2024-12-29,0.1.20240831,2024-09-07T02:40:43.103+00:00,481,5,4,0,125,4.403204729309272,70
2024-12-30,0.1.20241228,2024-12-30T05:56:51.69+00:00,482,5,4,0,126,4.403204729309272,72
2024-12-31,0.1.20241228,2024-12-30T05:56:51.69+00:00,484,5,4,0,127,4.403204729309272,76
2025-01-01,0.1.20241228,2024-12-30T05:56:51.69+00:00,486,5,4,0,127,4.403204729309272,76
2025-01-02,0.1.20241228,2024-12-30T05:56:51.69+00:00,490,5,2,0,128,4.403204729309272,76
2025-01-03,0.1.20241228,2024-12-30T05:56:51.69+00:00,493,5,2,0,131,4.403204729309272,76
2025-01-04,0.1.20241228,2024-12-30T05:56:51.69+00:00,498,4,1,0,132,4.403204729309272,79
2025-01-05,0.2.0,2025-01-05T02:12:51.38+00:00,504,4,1,0,135,4.403204729309272,79
2025-01-06,0.2.0,2025-01-05T02:12:51.38+00:00,507,4,1,0,141,4.403204729309272,83
2025-01-07,0.2.0,2025-01-05T02:12:51.38+00:00,507,4,1,0,147,4.403204729309272,83
2025-01-08,0.2.0,2025-01-05T02:12:51.38+00:00,510,4,1,0,149,4.403204729309272,83
2025-01-09,0.2.0,2025-01-05T02:12:51.38+00:00,513,5,1,0,150,4.403204729309272,83
2025-01-10,0.2.0,2025-01-05T02:12:51.38+00:00,515,5,1,0,151,4.403204729309272,83
2025-01-11,0.2.0,2025-01-05T02:12:51.38+00:00,515,5,1,0,151,4.403204729309272,85
2025-01-12,0.2.0,2025-01-05T02:12:51.38+00:00,515,5,1,0,151,4.403204729309272,85
2025-01-13,0.2.0,2025-01-05T02:12:51.38+00:00,515,5,1,0,152,4.403204729309272,85
2025-01-14,0.2.0,2025-01-05T02:12:51.38+00:00,520,5,1,0.19342359767891684,155,4.403204729309272,85
2025-01-15,0.2.0,2025-01-05T02:12:51.38+00:00,524,5,1,0,155,4.403204729309272,85
2025-01-16,0.2.0,2025-01-05T02:12:51.38+00:00,524,5,1,0,155,4.403204729309272,85
2025-01-17,0.2.0,2025-01-05T02:12:51.38+00:00,524,5,1,0,155,4.403204729309272,85
2025-01-18,0.2.0,2025-01-05T02:12:51.38+00:00,528,5,1,0,155,4.403204729309272,85
2025-01-19,0.2.0,2025-01-05T02:12:51.38+00:00,529,5,1,0,155,4.403204729309272,85
2025-01-20,0.2.0,2025-01-05T02:12:51.38+00:00,530,5,1,0,155,4.403204729309272,85
2025-01-21,0.2.0,2025-01-05T02:12:51.38+00:00,531,5,1,0,157,4.403204729309272,104
2025-01-22,0.2.0,2025-01-05T02:12:51.38+00:00,532,5,1,0,157,4.403204729309272,104
2025-01-23,0.2.0,2025-01-05T02:12:51.38+00:00,535,5,1,0,158,4.403204729309272,104
2025-01-24,0.2.1,2025-01-24T05:23:05.99+00:00,537,5,1,0,160,4.403204729309272,104
2025-01-25,0.2.1,2025-01-24T05:23:05.99+00:00,539,5,1,0,162,4.403204729309272,107
2025-01-26,0.2.1,2025-01-24T05:23:05.99+00:00,539,5,1,0,164,4.403204729309272,108
2025-01-27,0.2.1,2025-01-24T05:23:05.99+00:00,540,5,1,0,167,4.403204729309272,108
2025-01-28,0.2.1,2025-01-24T05:23:05.99+00:00,543,5,3,0,169,4.403204729309272,108
2025-01-29,0.2.1,2025-01-24T05:23:05.99+00:00,546,5,3,0,169,4.403204729309272,108
2025-01-30,0.2.1,2025-01-24T05:23:05.99+00:00,548,5,3,0,170,4.403204729309272,108
2025-01-31,0.2.2,2025-01-31T03:44:29.107+00:00,550,5,3,0,172,4.403204729309272,110
2025-02-01,0.2.2,2025-01-31T03:44:29.107+00:00,550,5,3,0,177,4.403204729309272,116
2025-02-02,0.2.2,2025-01-31T03:44:29.107+00:00,550,5,3,0,179,4.403204729309272,116
2025-02-03,0.2.2,2025-01-31T03:44:29.107+00:00,551,5,3,0,179,4.403204729309272,117
2025-02-04,0.2.2,2025-01-31T03:44:29.107+00:00,554,5,3,0,182,4.403204729309272,117
2025-02-05,0.2.2,2025-01-31T03:44:29.107+00:00,555,1,1,0,183,4.403204729309272,117
2025-02-06,0.2.2,2025-01-31T03:44:29.107+00:00,555,5,3,0,183,4.403204729309272,117
2025-02-07,0.2.2,2025-01-31T03:44:29.107+00:00,556,5,3,0,185,4.403204729309272,117
2025-02-08,0.2.2,2025-01-31T03:44:29.107+00:00,558,5,3,0,185,4.403204729309272,117
2025-02-09,0.2.2,2025-01-31T03:44:29.107+00:00,562,5,4,0,186,4.403204729309272,117
2025-02-10,0.2.2,2025-01-31T03:44:29.107+00:00,565,5,4,0,187,4.403204729309272,117
2025-02-11,0.2.2,2025-01-31T03:44:29.107+00:00,566,5,4,0,187,4.403204729309272,117
2025-02-12,0.2.2,2025-01-31T03:44:29.107+00:00,566,5,4,0,187,4.403204729309272,117
2025-02-13,0.2.2,2025-01-31T03:44:29.107+00:00,566,5,4,0,187,4.403204729309272,117
2025-02-14,0.2.2,2025-01-31T03:44:29.107+00:00,566,5,4,0,187,4.403204729309272,117
2025-02-15,0.2.3,2025-02-15T06:46:13.617+00:00,571,5,2,0,189,4.403204729309272,117
2025-02-16,0.2.3,2025-02-15T06:46:13.617+00:00,571,5,4,0,189,4.403204729309272,123
2025-02-17,0.2.3,2025-02-15T06:46:13.617+00:00,572,5,2,0,190,4.403204729309272,123
2025-02-18,0.2.3,2025-02-15T06:46:13.617+00:00,573,5,2,0,191,4.403204729309272,147
2025-02-19,0.2.4,2025-02-19T05:46:20.023+00:00,576,5,2,0.1736111111111111,193,4.403204729309272,151
2025-02-20,0.2.4,2025-02-19T05:46:20.023+00:00,579,5,1,0,194,4.403204729309272,155
