date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.2,2023-08-05T00:44:43.387+00:00,325,5,1,0,8,4.457458844826611,26
2024-11-26,0.0.2,2023-08-05T00:44:43.387+00:00,325,5,1,0,8,4.457458844826611,26
2024-11-27,0.0.2,2023-08-05T00:44:43.387+00:00,325,5,1,0,8,4.457458844826611,26
2024-11-28,0.0.2,2023-08-05T00:44:43.387+00:00,328,5,1,0,8,4.457458844826611,26
2024-11-29,0.0.2,2023-08-05T00:44:43.387+00:00,328,5,1,0,8,4.457458844826611,26
2024-11-30,0.0.2,2023-08-05T00:44:43.387+00:00,328,5,1,0,8,4.457458844826611,26
2024-12-01,0.0.2,2023-08-05T00:44:43.387+00:00,328,5,1,0,8,4.457458844826611,26
2024-12-02,0.0.2,2023-08-05T00:44:43.387+00:00,328,5,1,0,8,4.457458844826611,26
2024-12-03,0.0.2,2023-08-05T00:44:43.387+00:00,329,5,1,0,8,4.457458844826611,26
2024-12-04,0.0.2,2023-08-05T00:44:43.387+00:00,331,5,1,0,8,4.457458844826611,26
2024-12-05,0.0.2,2023-08-05T00:44:43.387+00:00,332,5,1,0,8,4.457458844826611,26
2024-12-06,0.0.2,2023-08-05T00:44:43.387+00:00,334,5,1,0,8,4.457458844826611,32
2024-12-07,0.0.2,2023-08-05T00:44:43.387+00:00,334,5,1,0,8,4.457458844826611,35
2024-12-08,0.0.2,2023-08-05T00:44:43.387+00:00,334,5,1,0,8,4.457458844826611,47
2024-12-09,0.0.2,2023-08-05T00:44:43.387+00:00,335,5,1,0,8,4.457458844826611,56
2024-12-10,0.0.2,2023-08-05T00:44:43.387+00:00,335,5,1,0,8,4.457458844826611,56
2024-12-11,0.0.2,2023-08-05T00:44:43.387+00:00,335,5,1,0,8,4.457458844826611,56
2024-12-12,0.0.2,2023-08-05T00:44:43.387+00:00,335,5,1,0,8,4.457458844826611,56
2024-12-13,0.0.2,2023-08-05T00:44:43.387+00:00,336,5,1,0,8,4.457458844826611,56
2024-12-14,0.0.2,2023-08-05T00:44:43.387+00:00,336,5,1,0,8,4.457458844826611,62
2024-12-15,0.0.2,2023-08-05T00:44:43.387+00:00,336,5,1,0,8,4.457458844826611,62
2024-12-16,0.0.2,2023-08-05T00:44:43.387+00:00,336,5,1,0,8,4.457458844826611,62
2024-12-17,0.0.2,2023-08-05T00:44:43.387+00:00,336,5,1,0,8,4.457458844826611,62
2024-12-17,0.0.2,2023-08-05T00:44:43.387+00:00,336,5,1,0,8,4.457458844826611,62
2024-12-18,0.0.2,2023-08-05T00:44:43.387+00:00,337,5,1,0,8,4.457458844826611,62
2024-12-19,0.0.2,2023-08-05T00:44:43.387+00:00,339,5,1,0,8,4.457458844826611,62
2024-12-20,0.0.2,2023-08-05T00:44:43.387+00:00,339,5,1,0,8,4.457458844826611,62
2024-12-21,0.0.2,2023-08-05T00:44:43.387+00:00,340,5,1,0,8,4.457458844826611,65
2024-12-22,0.0.2,2023-08-05T00:44:43.387+00:00,341,5,1,0,8,4.457458844826611,65
2024-12-23,0.0.2,2023-08-05T00:44:43.387+00:00,341,5,1,0,8,4.457458844826611,65
2024-12-24,0.0.2,2023-08-05T00:44:43.387+00:00,342,5,1,0,8,4.457458844826611,65
2024-12-25,0.0.2,2023-08-05T00:44:43.387+00:00,342,5,1,0,8,4.457458844826611,65
2024-12-26,0.0.2,2023-08-05T00:44:43.387+00:00,342,5,1,0,8,4.457458844826611,65
2024-12-27,0.0.2,2023-08-05T00:44:43.387+00:00,343,5,1,0,8,4.457458844826611,65
2024-12-28,0.0.2,2023-08-05T00:44:43.387+00:00,343,5,1,0,8,4.457458844826611,65
2024-12-29,0.0.2,2023-08-05T00:44:43.387+00:00,343,5,1,0,8,4.457458844826611,65
2024-12-30,0.0.2,2023-08-05T00:44:43.387+00:00,343,5,1,0,8,4.457458844826611,65
2024-12-31,0.0.2,2023-08-05T00:44:43.387+00:00,343,5,1,0,8,4.457458844826611,65
2025-01-01,0.0.2,2023-08-05T00:44:43.387+00:00,343,5,1,0,8,4.457458844826611,65
2025-01-02,0.0.2,2023-08-05T00:44:43.387+00:00,344,5,1,0,8,4.457458844826611,65
2025-01-03,0.0.2,2023-08-05T00:44:43.387+00:00,344,5,1,0,8,4.457458844826611,65
2025-01-04,0.0.2,2023-08-05T00:44:43.387+00:00,346,5,1,0,8,4.457458844826611,65
2025-01-05,0.0.2,2023-08-05T00:44:43.387+00:00,346,5,1,0,8,4.457458844826611,65
2025-01-06,0.0.2,2023-08-05T00:44:43.387+00:00,346,5,1,0,8,4.457458844826611,65
2025-01-07,0.0.2,2023-08-05T00:44:43.387+00:00,346,5,1,0,8,4.457458844826611,65
2025-01-08,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-09,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-10,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-11,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-12,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-13,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-14,0.0.2,2023-08-05T00:44:43.387+00:00,347,5,1,0,8,4.457458844826611,65
2025-01-15,0.0.2,2023-08-05T00:44:43.387+00:00,348,5,1,0,8,4.457458844826611,65
2025-01-16,0.0.2,2023-08-05T00:44:43.387+00:00,349,5,1,0,8,4.457458844826611,65
2025-01-17,0.0.2,2023-08-05T00:44:43.387+00:00,351,5,1,0,8,4.457458844826611,65
2025-01-18,0.0.2,2023-08-05T00:44:43.387+00:00,351,5,1,0,8,4.457458844826611,65
2025-01-19,0.0.2,2023-08-05T00:44:43.387+00:00,351,5,1,0,8,4.457458844826611,65
2025-01-20,0.0.2,2023-08-05T00:44:43.387+00:00,351,5,1,0,8,4.457458844826611,65
2025-01-21,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,65
2025-01-22,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-23,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-24,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-25,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-26,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-27,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-28,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-29,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-30,0.0.2,2023-08-05T00:44:43.387+00:00,352,5,1,0,8,4.457458844826611,68
2025-01-31,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,68
2025-02-01,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,68
2025-02-02,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,68
2025-02-03,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,69
2025-02-04,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,69
2025-02-05,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,69
2025-02-06,0.0.2,2023-08-05T00:44:43.387+00:00,354,5,1,0,8,4.457458844826611,69
2025-02-07,0.0.2,2023-08-05T00:44:43.387+00:00,355,5,1,0,8,4.457458844826611,69
2025-02-08,0.0.2,2023-08-05T00:44:43.387+00:00,357,5,1,0,8,4.457458844826611,69
2025-02-09,0.0.2,2023-08-05T00:44:43.387+00:00,357,5,1,0,8,4.457458844826611,69
2025-02-10,0.0.2,2023-08-05T00:44:43.387+00:00,357,5,1,0,8,4.457458844826611,69
2025-02-11,0.0.2,2023-08-05T00:44:43.387+00:00,357,5,1,0,8,4.457458844826611,69
2025-02-12,0.0.2,2023-08-05T00:44:43.387+00:00,358,5,1,0,8,4.457458844826611,69
2025-02-13,0.0.2,2023-08-05T00:44:43.387+00:00,358,5,1,0,8,4.457458844826611,72
2025-02-14,0.0.2,2023-08-05T00:44:43.387+00:00,359,5,1,0,8,4.457458844826611,75
2025-02-15,0.0.2,2023-08-05T00:44:43.387+00:00,359,5,1,0,8,4.457458844826611,75
2025-02-16,0.0.2,2023-08-05T00:44:43.387+00:00,359,5,1,0,8,4.457458844826611,78
2025-02-17,0.0.2,2023-08-05T00:44:43.387+00:00,359,5,1,0,8,4.457458844826611,78
2025-02-18,0.0.2,2023-08-05T00:44:43.387+00:00,359,5,1,0,8,4.457458844826611,78
2025-02-19,0.0.2,2023-08-05T00:44:43.387+00:00,359,5,1,0,8,4.457458844826611,78
2025-02-20,0.0.2,2023-08-05T00:44:43.387+00:00,360,5,1,0,8,4.457458844826611,78
2025-02-21,0.0.2,2023-08-05T00:44:43.387+00:00,361,5,1,0,8,4.457458844826611,78
2025-02-22,0.0.2,2023-08-05T00:44:43.387+00:00,361,5,1,0,8,4.457458844826611,78
2025-02-23,0.0.2,2023-08-05T00:44:43.387+00:00,361,5,1,0,8,4.457458844826611,78
2025-02-24,0.0.2,2023-08-05T00:44:43.387+00:00,362,5,1,0,8,4.457458844826611,78
2025-02-25,0.0.2,2023-08-05T00:44:43.387+00:00,364,5,1,0,8,4.457458844826611,78
2025-02-26,0.0.2,2023-08-05T00:44:43.387+00:00,364,5,1,0,8,4.457458844826611,78
2025-02-27,0.0.2,2023-08-05T00:44:43.387+00:00,365,5,1,0,8,4.457458844826611,78
2025-02-28,0.0.2,2023-08-05T00:44:43.387+00:00,368,5,1,0,8,4.457458844826611,81
2025-03-01,0.0.2,2023-08-05T00:44:43.387+00:00,368,5,1,0,8,4.457458844826611,81
2025-03-02,0.0.2,2023-08-05T00:44:43.387+00:00,369,5,1,0,8,4.457458844826611,81
