date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-12-14,0.1.0,2024-12-13T12:53:25.667+00:00,7,5,1,0,1,4.403204729309272,9
2024-12-14,0.1.0,2024-12-13T12:53:25.667+00:00,7,5,1,0,1,4.403204729309272,9
2024-12-15,0.1.0,2024-12-13T12:53:25.667+00:00,8,5,1,0,1,4.403204729309272,9
2024-12-15,0.1.0,2024-12-13T12:53:25.667+00:00,8,5,1,0,3,4.403204729309272,9
2024-12-16,0.1.2,2024-12-16T07:46:00.78+00:00,13,5,1,0,1,4.403204729309272,13
2024-12-16,0.1.2,2024-12-16T07:46:00.78+00:00,13,5,2,0,2,4.403204729309272,13
2024-12-17,0.1.2,2024-12-16T07:46:00.78+00:00,14,5,1,0,1,4.403204729309272,14
2024-12-17,0.1.2,2024-12-16T07:46:00.78+00:00,14,5,2,0,6,4.403204729309272,14
2024-12-17,0.1.3,2024-12-17T08:13:07.28+00:00,18,5,1,0,1,4.403204729309272,20
2024-12-17,0.1.3,2024-12-17T08:13:07.28+00:00,18,5,1,0,1,4.403204729309272,20
2024-12-18,0.2.1,2024-12-18T11:13:25.51+00:00,24,5,1,0,2,4.403204729309272,23
2024-12-18,0.2.1,2024-12-18T11:13:25.51+00:00,24,5,1,0,2,4.403204729309272,23
2024-12-19,0.2.1,2024-12-18T11:13:25.51+00:00,31,5,1,0,4,4.403204729309272,31
2024-12-19,0.2.1,2024-12-18T11:13:25.51+00:00,31,5,1,0,4,4.403204729309272,31
2024-12-20,0.2.2,2024-12-20T09:47:25.017+00:00,41,5,1,0,4,4.403204729309272,32
2024-12-20,0.2.2,2024-12-20T09:47:25.017+00:00,41,5,1,0,4,4.403204729309272,32
2024-12-21,0.2.2,2024-12-20T09:47:25.017+00:00,44,5,1,0,4,4.403204729309272,35
2024-12-21,0.2.2,2024-12-20T09:47:25.017+00:00,44,5,1,0,4,4.403204729309272,35
2024-12-22,0.2.2,2024-12-20T09:47:25.017+00:00,46,5,2,0,4,4.403204729309272,40
2024-12-22,0.2.2,2024-12-20T09:47:25.017+00:00,46,5,2,0,4,4.403204729309272,40
2024-12-23,0.3.1,2024-12-23T10:34:53.313+00:00,56,5,2,0,6,4.403204729309272,40
2024-12-23,0.3.1,2024-12-23T10:34:53.313+00:00,56,5,1,0,6,4.403204729309272,40
2024-12-24,0.3.1,2024-12-23T10:34:53.313+00:00,57,5,2,0,8,4.403204729309272,43
2024-12-24,0.3.1,2024-12-23T10:34:53.313+00:00,57,5,1,0,8,4.403204729309272,43
2024-12-25,0.3.1,2024-12-23T10:34:53.313+00:00,59,5,2,0,8,4.403204729309272,43
2024-12-25,0.3.1,2024-12-23T10:34:53.313+00:00,59,5,2,0,8,4.403204729309272,43
2024-12-26,0.4.1,2024-12-26T05:33:28.557+00:00,61,5,2,0,9,4.403204729309272,46
2024-12-26,0.4.1,2024-12-26T05:33:28.557+00:00,61,5,2,0,9,4.403204729309272,46
2024-12-27,0.4.1,2024-12-26T05:33:28.557+00:00,63,5,2,0,11,4.403204729309272,47
2024-12-27,0.4.1,2024-12-26T05:33:28.557+00:00,63,5,2,0,11,4.403204729309272,47
2024-12-28,0.4.1,2024-12-26T05:33:28.557+00:00,63,5,2,0,11,4.403204729309272,49
2024-12-28,0.4.1,2024-12-26T05:33:28.557+00:00,63,5,2,0,11,4.403204729309272,49
2024-12-29,0.4.1,2024-12-26T05:33:28.557+00:00,63,5,2,0,11,4.403204729309272,49
2024-12-29,0.4.1,2024-12-26T05:33:28.557+00:00,63,5,2,0,11,4.403204729309272,49
2024-12-30,0.4.1,2024-12-26T05:33:28.557+00:00,64,5,2,0,11,4.403204729309272,49
2024-12-30,0.4.1,2024-12-26T05:33:28.557+00:00,64,5,6,0,11,4.403204729309272,49
2024-12-31,0.4.2,2024-12-31T09:44:02.54+00:00,65,5,2,0,11,4.403204729309272,50
2024-12-31,0.4.2,2024-12-31T09:44:02.54+00:00,65,5,1,0,11,4.403204729309272,50
2025-01-01,0.4.2,2024-12-31T09:44:02.54+00:00,67,5,2,0,11,4.403204729309272,52
2025-01-01,0.4.2,2024-12-31T09:44:02.54+00:00,67,5,1,0,11,4.403204729309272,52
2025-01-02,0.4.2,2024-12-31T09:44:02.54+00:00,70,5,2,0,11,4.403204729309272,53
2025-01-02,0.4.2,2024-12-31T09:44:02.54+00:00,70,5,1,0,11,4.403204729309272,53
2025-01-03,0.4.2,2024-12-31T09:44:02.54+00:00,75,5,2,0,11,4.403204729309272,53
2025-01-03,0.4.2,2024-12-31T09:44:02.54+00:00,75,5,1,0,11,4.403204729309272,53
2025-01-04,0.4.2,2024-12-31T09:44:02.54+00:00,75,5,2,0,11,4.403204729309272,53
2025-01-04,0.4.2,2024-12-31T09:44:02.54+00:00,75,5,1,0,11,4.403204729309272,53
2025-01-05,0.4.2,2024-12-31T09:44:02.54+00:00,75,5,2,0,11,4.403204729309272,53
2025-01-05,0.4.2,2024-12-31T09:44:02.54+00:00,75,5,1,0,11,4.403204729309272,53
2025-01-06,0.4.2,2024-12-31T09:44:02.54+00:00,76,5,2,0,11,4.403204729309272,53
