date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-09,3.0.1,2025-06-09T08:13:38.417+00:00,7,5,2,0,3,4.403204729309272,13
2025-06-10,3.0.1,2025-06-10T06:54:58.453+00:00,9,5,1,0,2,4.403204729309272,22
2025-06-11,3.0.1,2025-06-10T06:54:58.453+00:00,17,5,1,0,5,4.403204729309272,33
2025-06-12,3.0.1,2025-06-10T06:54:58.453+00:00,25,5,1,0,6,4.403204729309272,33
2025-06-13,3.0.1,2025-06-13T08:10:34.26+00:00,1,5,2,0,14,4.403204729309272,33
2025-06-14,3.0.1,2025-06-14T11:29:13.863+00:00,1,5,2,0,14,4.403204729309272,39
2025-06-15,3.0.1,2025-06-15T10:10:52.77+00:00,1,5,2,0,14,4.403204729309272,44
2025-06-16,3.0.1,2025-06-16T00:44:08.333+00:00,134,5,3,0,2,4.403204729309272,45
2025-06-17,3.0.2,2025-06-17T02:37:37.02+00:00,45,5,1,0,82,4.403204729309272,53
2025-06-18,3.0.312,2025-06-18T01:40:43.727+00:00,17,4.199999809265137,10,0,70,4.403204729309272,66
2025-06-19,3.0.312,2025-06-18T01:40:43.727+00:00,26,5,1,0,85,4.457458844826611,79
2025-06-20,3.0.312,2025-06-18T01:40:43.727+00:00,37,5,1,0,88,4.457458844826611,79
2025-06-21,3.0.312,2025-06-18T01:40:43.727+00:00,37,5,1,0,89,4.457458844826611,83
2025-06-22,3.0.312,2025-06-18T01:40:43.727+00:00,38,5,1,0,90,4.457458844826611,83
2025-06-23,3.0.312,2025-06-18T01:40:43.727+00:00,44,5,1,0,93,4.457458844826611,83
2025-06-24,3.0.312,2025-06-18T01:40:43.727+00:00,93,5,1,0,100,4.457458844826611,84
2025-06-25,3.0.312,2025-06-18T01:40:43.727+00:00,110,5,1,0,100,4.457458844826611,84
