date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-04-08,0.0.2,2025-04-08T04:40:33.727+00:00,3,5,1,0,2,4.403204729309272,4
2025-04-09,0.0.2,2025-04-08T04:40:33.727+00:00,3,5,1,0,2,4.403204729309272,13
2025-04-10,0.0.2,2025-04-08T04:40:33.727+00:00,4,5,1,0,2,4.403204729309272,13
2025-04-11,0.0.2,2025-04-08T04:40:33.727+00:00,4,5,1,0,2,4.403204729309272,13
2025-04-12,0.0.2,2025-04-08T04:40:33.727+00:00,4,5,1,0,2,4.403204729309272,16
2025-04-13,0.0.3,2025-04-12T23:01:46.883+00:00,4,5,1,0,4,4.403204729309272,16
2025-04-14,0.0.3,2025-04-12T23:01:46.883+00:00,5,5,1,0,4,4.403204729309272,21
2025-04-15,0.0.3,2025-04-12T23:01:46.883+00:00,5,5,1,0,4,4.403204729309272,25
2025-04-16,0.0.3,2025-04-12T23:01:46.883+00:00,5,5,1,0,4,4.403204729309272,27
2025-04-17,0.0.4,2025-04-17T02:19:23.18+00:00,6,5,1,0,6,4.403204729309272,29
2025-04-18,0.0.4,2025-04-17T02:19:23.18+00:00,6,5,1,0,7,4.403204729309272,31
2025-04-19,0.0.4,2025-04-17T02:19:23.18+00:00,6,5,1,0,7,4.403204729309272,36
2025-04-20,0.0.4,2025-04-17T02:19:23.18+00:00,7,5,1,0,7,4.403204729309272,38
2025-04-21,0.0.4,2025-04-17T02:19:23.18+00:00,7,5,1,0,7,4.403204729309272,39
2025-04-22,0.0.4,2025-04-17T02:19:23.18+00:00,7,5,1,0,7,4.403204729309272,41
2025-04-23,0.0.4,2025-04-17T02:19:23.18+00:00,7,5,1,0,7,4.403204729309272,41
2025-04-24,0.0.4,2025-04-17T02:19:23.18+00:00,7,5,1,0,8,4.403204729309272,43
2025-04-25,0.0.6,2025-04-25T03:46:23.483+00:00,7,5,1,0,12,4.403204729309272,50
2025-04-26,0.0.6,2025-04-25T03:46:23.483+00:00,7,5,1,0,14,4.403204729309272,57
2025-04-27,0.0.6,2025-04-25T03:46:23.483+00:00,7,5,1,0,14,4.403204729309272,59
2025-04-28,0.0.6,2025-04-25T03:46:23.483+00:00,7,5,1,0,14,4.403204729309272,63
2025-04-29,0.0.6,2025-04-25T03:46:23.483+00:00,7,5,1,0,14,4.403204729309272,64
2025-04-30,0.0.6,2025-04-25T03:46:23.483+00:00,7,5,1,0,14,4.403204729309272,65
2025-05-01,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,66
2025-05-02,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,67
2025-05-03,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,75
2025-05-04,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,77
2025-05-05,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,78
2025-05-06,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,3,0,14,4.403204729309272,79
2025-05-07,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,3,0,14,4.403204729309272,80
2025-05-08,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,80
2025-05-09,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,80
2025-05-10,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,81
2025-05-11,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,82
2025-05-12,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,84
2025-05-13,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,86
2025-05-14,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,87
2025-05-15,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,87
2025-05-16,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,88
2025-05-17,0.0.6,2025-04-25T03:46:23.483+00:00,8,5,1,0,14,4.403204729309272,88
2025-05-18,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,88
2025-05-19,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,89
2025-05-20,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,89
2025-05-21,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,89
2025-05-22,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,89
2025-05-23,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,92
2025-05-24,0.0.6,2025-04-25T03:46:23.483+00:00,9,5,1,0,14,4.403204729309272,93
2025-05-25,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,93
2025-05-26,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,94
2025-05-27,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,94
2025-05-28,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,94
2025-05-29,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,95
2025-05-31,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,95
2025-06-01,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,2,0,14,4.403204729309272,95
2025-06-02,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,95
2025-06-03,0.0.6,2025-04-25T03:46:23.483+00:00,10,5,1,0,14,4.403204729309272,95
2025-06-04,0.0.6,2025-04-25T03:46:23.483+00:00,11,5,1,0,14,4.403204729309272,96
2025-06-05,0.0.6,2025-04-25T03:46:23.483+00:00,11,5,1,0,14,4.403204729309272,97
2025-06-06,0.0.6,2025-04-25T03:46:23.483+00:00,11,5,1,0,14,4.403204729309272,97
2025-06-07,0.0.6,2025-04-25T03:46:23.483+00:00,11,5,1,0,14,4.403204729309272,98
2025-06-08,0.0.6,2025-04-25T03:46:23.483+00:00,11,5,1,0,14,4.403204729309272,99
2025-06-09,0.0.6,2025-04-25T03:46:23.483+00:00,11,5,1,0,14,4.403204729309272,101
2025-06-10,0.0.8,2025-06-10T00:59:31.823+00:00,13,5,1,0,17,4.403204729309272,107
2025-06-11,0.0.8,2025-06-10T00:59:31.823+00:00,13,5,1,0,17,4.403204729309272,114
2025-06-12,0.0.8,2025-06-10T00:59:31.823+00:00,13,5,1,0,17,4.403204729309272,115
2025-06-13,0.0.8,2025-06-10T00:59:31.823+00:00,13,5,1,0,17,4.403204729309272,116
2025-06-14,0.0.8,2025-06-10T00:59:31.823+00:00,13,5,1,0,19,4.403204729309272,118
2025-06-15,0.0.8,2025-06-10T00:59:31.823+00:00,13,5,1,0,19,4.403204729309272,119
