date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-06-03,0.0.3,2026-04-30T15:33:18.03+00:00,718,5,1,0.1422475106685633,6,4.454088321280197,83
2026-06-04,0.0.3,2026-04-30T15:33:18.03+00:00,749,5,1,0.40705563093622793,6,4.454084614485478,85
2026-06-05,0.0.3,2026-04-30T15:33:18.03+00:00,768,5,1,0.1314060446780552,6,4.4539657748618025,85
2026-06-06,0.0.3,2026-04-30T15:33:18.03+00:00,778,5,1,0.2574002574002574,6,4.453773352999017,85
2026-06-07,0.0.3,2026-04-30T15:33:18.03+00:00,789,5,1,0,6,4.453772993696317,85
2026-06-08,0.0.3,2026-04-30T15:33:18.03+00:00,812,4.75,4,0,7,4.45374584630882,85
2026-06-09,0.0.3,2026-04-30T15:33:18.03+00:00,823,5,1,0,7,4.453588622519159,85
2026-06-10,0.0.3,2026-04-30T15:33:18.03+00:00,842,4.5,2,0,7,4.453388165971028,87
2026-06-11,0.0.3,2026-04-30T15:33:18.03+00:00,867,5,2,0.11723329425556857,7,4.453020298961734,87
2026-06-12,0.0.3,2026-04-30T15:33:18.03+00:00,886,5,1,0.11402508551881414,7,4.453117428772963,88
2026-06-13,0.0.3,2026-04-30T15:33:18.03+00:00,890,5,1,0,7,4.4529220281627975,89
2026-06-14,0.0.3,2026-04-30T15:33:18.03+00:00,897,5,1,0,7,4.452845568316929,91
2026-06-15,0.0.3,2026-04-30T15:33:18.03+00:00,922,5,1,0,7,4.4528858994621485,92
2026-06-16,0.0.3,2026-04-30T15:33:18.03+00:00,951,5,1,0,7,4.452758895217098,93
2026-06-17,0.0.3,2026-04-30T15:33:18.03+00:00,973,5,1,0,7,4.452826953577093,94
2026-06-18,0.0.3,2026-04-30T15:33:18.03+00:00,998,4,1,0.10152284263959391,7,4.45282799404955,95
2026-06-19,0.0.3,2026-04-30T15:33:18.03+00:00,1030,5,2,0,7,4.4526559315498595,98
2026-06-20,0.0.3,2026-04-30T15:33:18.03+00:00,1045,5,1,0,7,4.452444613040791,99
2026-06-21,0.0.3,2026-04-30T15:33:18.03+00:00,1053,5,1,0,7,4.452423621517478,100
2026-06-22,0.0.3,2026-04-30T15:33:18.03+00:00,1081,5,1,0.0942507068803016,7,4.4522631504914045,101
2026-06-23,0.0.3,2026-04-30T15:33:18.03+00:00,1105,5,3,0,7,4.452128667771303,102
2026-06-24,0.0.3,2026-04-30T15:33:18.03+00:00,1117,5,3,0,7,4.452149995415788,103
2026-06-25,0.0.3,2026-04-30T15:33:18.03+00:00,1152,5,1,0,8,4.4521336396519695,104
2026-06-26,0.0.3,2026-04-30T15:33:18.03+00:00,1171,5,1,0,8,4.452177949331835,105
2026-06-27,0.0.3,2026-04-30T15:33:18.03+00:00,1182,5,3,0.1693480101608806,8,4.452105150673221,106
2026-06-28,0.0.3,2026-04-30T15:33:18.03+00:00,1188,5,3,0,8,4.451953363447687,107
2026-06-29,0.0.3,2026-04-30T15:33:18.03+00:00,1204,5,2,0.08368200836820083,8,4.452002123880843,109
2026-06-30,0.0.3,2026-04-30T15:33:18.03+00:00,1218,5,2,0,8,4.451831559937524,110
2026-07-01,0.0.3,2026-04-30T15:33:18.03+00:00,1246,5,1,0,8,4.45188067603091,111
2026-07-02,0.0.3,2026-04-30T15:33:18.03+00:00,1275,5,2,0.15810276679841898,8,4.451774515002469,113
2026-07-03,0.0.3,2026-04-30T15:33:18.03+00:00,1300,5,2,0,8,4.45166853549142,114
2026-07-04,0.0.3,2026-04-30T15:33:18.03+00:00,1308,5,2,0,8,4.451678150835573,115
2026-07-05,0.0.3,2026-04-30T15:33:18.03+00:00,1311,5,2,0.07627765064836003,8,4.451582051000889,116
2026-07-06,0.0.3,2026-04-30T15:33:18.03+00:00,1333,5,1,0.0758150113722517,8,4.451540803897686,117
2026-07-07,0.0.3,2026-04-30T15:33:18.03+00:00,1346,4,1,0.0746268656716418,8,4.451534743275986,119
2026-07-08,0.0.3,2026-04-30T15:33:18.03+00:00,1372,5,1,0,8,4.451487450398033,120
2026-07-09,0.0.3,2026-04-30T15:33:18.03+00:00,1401,5,1,0.14388489208633093,8,4.451488654825578,122
2026-07-10,0.0.3,2026-04-30T15:33:18.03+00:00,1423,5,1,0,8,4.451504792954114,123
2026-07-11,0.0.3,2026-04-30T15:33:18.03+00:00,1436,5,6,0,8,4.451515612173543,124
2026-07-12,0.0.3,2026-04-30T15:33:18.03+00:00,1438,5,1,0,8,4.4514054369498615,125
2026-07-13,0.0.3,2026-04-30T15:33:18.03+00:00,1454,4,1,0,8,4.451434509665696,126
2026-07-14,0.0.3,2026-04-30T15:33:18.03+00:00,1474,5,6,0,8,4.451424960966215,127
2026-07-15,0.0.3,2026-04-30T15:33:18.03+00:00,1494,5,2,0.06720430107526883,8,4.451437177750922,129
