date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.7.0,2022-08-09T09:55:44.64+00:00,60326,5,1,0,17506,4.457458844826611,816
2024-11-26,1.7.0,2022-08-09T09:55:44.64+00:00,60332,5,1,0,17506,4.457458844826611,816
2024-11-27,1.7.0,2022-08-09T09:55:44.64+00:00,60360,5,1,0,17506,4.457458844826611,816
2024-11-28,1.7.0,2022-08-09T09:55:44.64+00:00,60386,5,1,0,17506,4.457458844826611,817
2024-11-29,1.7.0,2022-08-09T09:55:44.64+00:00,60418,5,1,0.0016553276721126948,17507,4.457458844826611,817
2024-11-30,1.7.0,2022-08-09T09:55:44.64+00:00,60449,5,1,0,17507,4.457458844826611,824
2024-12-01,1.7.0,2022-08-09T09:55:44.64+00:00,60473,5,1,0,17508,4.457458844826611,824
2024-12-02,1.7.0,2022-08-09T09:55:44.64+00:00,60498,5,1,0.0016532478053135383,17511,4.457458844826611,824
2024-12-03,1.7.0,2022-08-09T09:55:44.64+00:00,60537,5,1,0.0033044742581455288,17511,4.457458844826611,827
2024-12-04,1.7.0,2022-08-09T09:55:44.64+00:00,60557,5,1,0.0033030553261767137,17512,4.457458844826611,831
2024-12-05,1.7.0,2022-08-09T09:55:44.64+00:00,60586,5,1,0,17512,4.457458844826611,833
2024-12-06,1.7.0,2022-08-09T09:55:44.64+00:00,60616,5,1,0,17513,4.457458844826611,833
2024-12-07,1.7.0,2022-08-09T09:55:44.64+00:00,60653,5,1,0.0016490493230652528,17514,4.457458844826611,833
2024-12-08,1.7.0,2022-08-09T09:55:44.64+00:00,60676,5,1,0,17515,4.457458844826611,852
2024-12-09,1.7.0,2022-08-09T09:55:44.64+00:00,60707,5,1,0,17515,4.457458844826611,852
2024-12-10,1.7.0,2022-08-09T09:55:44.64+00:00,60733,5,1,0.0016469038208168643,17517,4.457458844826611,852
2024-12-11,1.7.0,2022-08-09T09:55:44.64+00:00,60760,5,1,0.0016459821575534122,17518,4.457458844826611,853
2024-12-12,1.7.0,2022-08-09T09:55:44.64+00:00,60791,5,1,0.0016453863367118598,17518,4.457458844826611,853
2024-12-13,1.7.0,2022-08-09T09:55:44.64+00:00,60822,5,1,0,17518,4.457458844826611,853
2024-12-14,1.7.0,2022-08-09T09:55:44.64+00:00,60850,5,1,0,17518,4.457458844826611,853
2024-12-15,1.7.0,2022-08-09T09:55:44.64+00:00,60869,5,1,0,17518,4.457458844826611,855
2024-12-16,1.7.0,2022-08-09T09:55:44.64+00:00,60892,5,1,0.0016424676433874253,17520,4.457458844826611,855
2024-12-17,1.7.0,2022-08-09T09:55:44.64+00:00,60907,5,1,0.0016424676433874253,17520,4.457458844826611,856
2024-12-17,1.7.0,2022-08-09T09:55:44.64+00:00,60918,5,1,0.0016418204505155318,17520,4.457458844826611,856
