date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.5.1,2024-07-06T17:20:55.32+00:00,1642,5,1,0,1082,4.403204729309272,71
2024-11-26,1.5.1,2024-07-06T17:20:55.32+00:00,1642,5,1,0,1083,4.403204729309272,71
2024-11-27,1.5.1,2024-07-06T17:20:55.32+00:00,1645,5,1,0,1084,4.403204729309272,71
2024-11-28,1.5.1,2024-07-06T17:20:55.32+00:00,1646,5,1,0,1085,4.403204729309272,71
2024-11-29,1.5.1,2024-07-06T17:20:55.32+00:00,1649,5,1,0,1088,4.403204729309272,71
2024-11-30,1.5.1,2024-07-06T17:20:55.32+00:00,1653,5,1,0,1090,4.403204729309272,71
2024-12-01,1.5.1,2024-07-06T17:20:55.32+00:00,1655,5,1,0.060422960725075525,1092,4.403204729309272,71
2024-12-02,1.5.1,2024-07-06T17:20:55.32+00:00,1656,5,1,0,1094,4.403204729309272,71
2024-12-03,1.5.1,2024-07-06T17:20:55.32+00:00,1657,5,1,0,1096,4.403204729309272,71
2024-12-04,1.5.1,2024-07-06T17:20:55.32+00:00,1658,5,1,0.060313630880579006,1100,4.403204729309272,71
2024-12-05,1.5.1,2024-07-06T17:20:55.32+00:00,1658,5,1,0,1104,4.403204729309272,71
2024-12-06,1.5.1,2024-07-06T17:20:55.32+00:00,1658,5,4,0,1106,4.403204729309272,71
2024-12-07,1.5.1,2024-07-06T17:20:55.32+00:00,1661,5,4,0,1108,4.403204729309272,81
2024-12-08,1.5.1,2024-07-06T17:20:55.32+00:00,1661,5,4,0,1110,4.403204729309272,85
2024-12-09,1.5.1,2024-07-06T17:20:55.32+00:00,1661,5,4,0,1113,4.403204729309272,85
2024-12-10,1.5.1,2024-07-06T17:20:55.32+00:00,1663,5,4,0,1115,4.403204729309272,85
2024-12-11,1.5.1,2024-07-06T17:20:55.32+00:00,1664,5,4,0,1117,4.403204729309272,85
2024-12-12,1.5.1,2024-07-06T17:20:55.32+00:00,1664,5,4,0,1120,4.403204729309272,85
2024-12-13,1.5.1,2024-07-06T17:20:55.32+00:00,1664,5,4,0,1122,4.403204729309272,85
2024-12-14,1.5.1,2024-07-06T17:20:55.32+00:00,1665,5,1,0,1125,4.403204729309272,85
2024-12-15,1.5.1,2024-07-06T17:20:55.32+00:00,1669,5,1,0,1126,4.403204729309272,85
2024-12-16,1.5.1,2024-07-06T17:20:55.32+00:00,1669,5,1,0,1128,4.403204729309272,85
2024-12-17,1.5.1,2024-07-06T17:20:55.32+00:00,1670,5,1,0,1130,4.403204729309272,85
2024-12-17,1.5.1,2024-07-06T17:20:55.32+00:00,1671,5,1,0,1131,4.403204729309272,85
2024-12-18,1.5.1,2024-07-06T17:20:55.32+00:00,1674,5,1,0,1134,4.403204729309272,85
