date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.6.0,2024-09-26T01:49:16.023+00:00,144842,4.625,8,0.002762564488614781,86437,4.501780405171818,857
2024-11-26,2.6.0,2024-09-26T01:49:16.023+00:00,144864,4.625,8,0.002762564488614781,86453,4.501780405171818,857
2024-11-27,2.6.0,2024-09-26T01:49:16.023+00:00,144956,4.625,8,0.0020704505300353357,86491,4.501780405171818,857
2024-11-28,2.6.0,2024-09-26T01:49:16.023+00:00,145081,4.625,8,0.0006895172689600011,86535,4.501780405171818,858
2024-11-29,2.6.0,2024-09-26T01:49:16.023+00:00,145208,4.625,8,0.002755731922398589,86577,4.501780405171818,858
2024-11-30,2.6.0,2024-09-26T01:49:16.023+00:00,145325,4.625,8,0.0027532092094848058,86631,4.501780405171818,858
2024-12-01,2.6.0,2024-09-26T01:49:16.023+00:00,145407,4.625,8,0,86670,4.501780405171818,858
2024-12-02,2.6.0,2024-09-26T01:49:16.023+00:00,145511,4.625,8,0.0020624935547076412,86717,4.501780405171818,859
2024-12-03,2.6.0,2024-09-26T01:49:16.023+00:00,145617,4.625,8,0,86774,4.501780405171818,860
2024-12-04,2.6.0,2024-09-26T01:49:16.023+00:00,145722,4.625,8,0.0006864878594622055,86828,4.501780405171818,862
2024-12-05,2.6.0,2024-09-26T01:49:16.023+00:00,145821,4.625,8,0,86876,4.501780405171818,862
2024-12-06,2.6.0,2024-09-26T01:49:16.023+00:00,145911,4.625,8,0.002056484782012613,86914,4.501780405171818,864
2024-12-07,2.6.0,2024-09-26T01:49:16.023+00:00,145991,4.625,8,0.001370229033782997,86947,4.501780405171818,865
2024-12-08,2.6.0,2024-09-26T01:49:16.023+00:00,146047,4.625,8,0.002054442732408834,86975,4.501780405171818,874
2024-12-09,2.6.0,2024-09-26T01:49:16.023+00:00,146139,4.625,8,0,87014,4.501780405171818,874
2024-12-10,2.6.0,2024-09-26T01:49:16.023+00:00,146262,4.625,8,0.002735603884557516,87056,4.501780405171818,874
2024-12-11,2.6.0,2024-09-26T01:49:16.023+00:00,146382,4.625,8,0.0020501185651903534,87099,4.501780405171818,877
2024-12-12,2.6.0,2024-09-26T01:49:16.023+00:00,146473,4.625,8,0.0013658963011528166,87138,4.501780405171818,877
2024-12-13,2.6.0,2024-09-26T01:49:16.023+00:00,146580,4.625,8,0.002729686017865795,87177,4.501780405171818,878
2024-12-14,2.6.0,2024-09-26T01:49:16.023+00:00,146656,4.625,8,0.0006819933301052315,87223,4.501780405171818,878
2024-12-15,2.6.0,2024-09-26T01:49:16.023+00:00,146735,4.625,8,0.0013633822787571406,87254,4.501780405171818,878
2024-12-16,2.6.0,2024-09-26T01:49:16.023+00:00,146816,4.625,8,0.0006813010124133045,87284,4.501780405171818,880
2024-12-17,2.6.0,2024-09-26T01:49:16.023+00:00,146857,4.625,8,0.0006813010124133045,87305,4.501780405171818,881
2024-12-17,2.6.0,2024-09-26T01:49:16.023+00:00,146892,4.625,8,0.0027236638726414776,87321,4.501780405171818,881
2024-12-18,2.6.0,2024-09-26T01:49:16.023+00:00,146979,4.625,8,0,87361,4.501780405171818,881
2024-12-19,2.6.0,2024-09-26T01:49:16.023+00:00,147058,4.625,8,0.0027206442485580586,87395,4.501780405171818,881
2024-12-20,2.6.0,2024-09-26T01:49:16.023+00:00,147150,4.625,8,0.0006797542008809614,87431,4.501780405171818,881
2024-12-21,2.6.0,2024-09-26T01:49:16.023+00:00,147217,4.625,8,0,87467,4.501780405171818,881
2024-12-22,2.6.0,2024-09-26T01:49:16.023+00:00,147291,4.625,8,0.0006790110882510711,87496,4.501780405171818,883
2024-12-23,2.6.0,2024-09-26T01:49:16.023+00:00,147357,4.625,8,0,87521,4.501780405171818,883
2024-12-24,2.6.0,2024-09-26T01:49:16.023+00:00,147443,4.625,8,0.0020352229247510246,87555,4.501780405171818,883
2024-12-25,2.6.0,2024-09-26T01:49:16.023+00:00,147504,4.625,8,0.0006780902266855628,87576,4.501780405171818,883
2024-12-26,2.6.0,2024-09-26T01:49:16.023+00:00,147577,4.625,8,0.00135556459265284,87599,4.501780405171818,884
2024-12-27,2.6.0,2024-09-26T01:49:16.023+00:00,147659,4.625,8,0.0013548116134451506,87627,4.501780405171818,885
2024-12-28,2.6.0,2024-09-26T01:49:16.023+00:00,147726,4.625,8,0.001354059470291935,87650,4.501780405171818,885
2024-12-29,2.6.0,2024-09-26T01:49:16.023+00:00,147799,4.625,8,0,87674,4.501780405171818,885
2024-12-30,2.6.0,2024-09-26T01:49:16.023+00:00,147874,4.625,8,0.002029234505103525,87696,4.501780405171818,885
2024-12-31,2.6.0,2024-09-26T01:49:16.023+00:00,147963,4.625,8,0.0013520456450609774,87716,4.501780405171818,885
2025-01-01,2.6.0,2024-09-26T01:49:16.023+00:00,148021,4.625,8,0.0006757030690433397,87739,4.501780405171818,885
2025-01-02,2.6.0,2024-09-26T01:49:16.023+00:00,148091,4.625,8,0,87762,4.501780405171818,885
2025-01-03,2.6.0,2024-09-26T01:49:16.023+00:00,148165,4.625,8,0.0006750690258078889,87785,4.501780405171818,886
2025-01-04,2.6.0,2024-09-26T01:49:16.023+00:00,148234,4.625,8,0.0006747183051076175,87804,4.501780405171818,888
2025-01-05,2.6.0,2024-09-26T01:49:16.023+00:00,148283,4.625,8,0,87824,4.501780405171818,888
2025-01-06,2.6.0,2024-09-26T01:49:16.023+00:00,148339,4.625,8,0,87848,4.501780405171818,891
2025-01-07,2.6.0,2024-09-26T01:49:16.023+00:00,148424,4.625,8,0.0013478087998436542,87878,4.501780405171818,893
