date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.3,2021-08-23T13:40:51.077+00:00,16620,4.833333492279053,6,0,4331,4.56450301542294,121
2024-11-26,0.1.3,2021-08-23T13:40:51.077+00:00,16621,4.833333492279053,6,0,4331,4.56450301542294,121
2024-11-27,0.1.3,2021-08-23T13:40:51.077+00:00,16629,4.833333492279053,6,0,4331,4.56450301542294,121
2024-11-28,0.1.3,2021-08-23T13:40:51.077+00:00,16636,4.833333492279053,6,0,4331,4.56450301542294,121
2024-11-29,0.1.3,2021-08-23T13:40:51.077+00:00,16641,4.833333492279053,6,0,4331,4.56450301542294,121
2024-11-30,0.1.3,2021-08-23T13:40:51.077+00:00,16646,4.833333492279053,6,0,4331,4.56450301542294,121
2024-12-01,0.1.3,2021-08-23T13:40:51.077+00:00,16650,4.833333492279053,6,0,4331,4.56450301542294,121
2024-12-02,0.1.3,2021-08-23T13:40:51.077+00:00,16656,4.833333492279053,6,0,4331,4.56450301542294,121
2024-12-03,0.1.3,2021-08-23T13:40:51.077+00:00,16666,4.833333492279053,6,0,4331,4.56450301542294,121
2024-12-04,0.1.3,2021-08-23T13:40:51.077+00:00,16672,4.833333492279053,6,0,4331,4.56450301542294,122
2024-12-05,0.1.3,2021-08-23T13:40:51.077+00:00,16674,4.833333492279053,6,0,4331,4.56450301542294,122
2024-12-06,0.1.3,2021-08-23T13:40:51.077+00:00,16680,4.833333492279053,6,0,4331,4.56450301542294,132
2024-12-07,0.1.3,2021-08-23T13:40:51.077+00:00,16684,4.833333492279053,6,0,4331,4.56450301542294,138
2024-12-08,0.1.3,2021-08-23T13:40:51.077+00:00,16686,4.833333492279053,6,0,4331,4.56450301542294,153
2024-12-09,0.1.3,2021-08-23T13:40:51.077+00:00,16692,4.833333492279053,6,0,4331,4.56450301542294,163
2024-12-10,0.1.3,2021-08-23T13:40:51.077+00:00,16697,4.833333492279053,6,0,4331,4.56450301542294,163
2024-12-11,0.1.3,2021-08-23T13:40:51.077+00:00,16699,4.833333492279053,6,0,4331,4.56450301542294,163
2024-12-12,0.1.3,2021-08-23T13:40:51.077+00:00,16708,4.833333492279053,6,0,4331,4.56450301542294,163
2024-12-13,0.1.3,2021-08-23T13:40:51.077+00:00,16714,4.833333492279053,6,0,4331,4.56450301542294,163
2024-12-14,0.1.3,2021-08-23T13:40:51.077+00:00,16720,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-15,0.1.3,2021-08-23T13:40:51.077+00:00,16722,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-16,0.1.3,2021-08-23T13:40:51.077+00:00,16725,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-17,0.1.3,2021-08-23T13:40:51.077+00:00,16728,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-17,0.1.3,2021-08-23T13:40:51.077+00:00,16728,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-18,0.1.3,2021-08-23T13:40:51.077+00:00,16732,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-19,0.1.3,2021-08-23T13:40:51.077+00:00,16737,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-20,0.1.3,2021-08-23T13:40:51.077+00:00,16741,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-21,0.1.3,2021-08-23T13:40:51.077+00:00,16747,4.833333492279053,6,0,4331,4.56450301542294,168
2024-12-22,0.1.3,2021-08-23T13:40:51.077+00:00,16753,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-23,0.1.3,2021-08-23T13:40:51.077+00:00,16755,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-24,0.1.3,2021-08-23T13:40:51.077+00:00,16761,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-25,0.1.3,2021-08-23T13:40:51.077+00:00,16764,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-26,0.1.3,2021-08-23T13:40:51.077+00:00,16767,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-27,0.1.3,2021-08-23T13:40:51.077+00:00,16772,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-28,0.1.3,2021-08-23T13:40:51.077+00:00,16779,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-29,0.1.3,2021-08-23T13:40:51.077+00:00,16782,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-30,0.1.3,2021-08-23T13:40:51.077+00:00,16788,4.833333492279053,6,0,4331,4.56450301542294,173
2024-12-31,0.1.3,2021-08-23T13:40:51.077+00:00,16792,4.833333492279053,6,0,4331,4.56450301542294,173
2025-01-01,0.1.3,2021-08-23T13:40:51.077+00:00,16797,4.833333492279053,6,0,4331,4.56450301542294,173
2025-01-02,0.1.3,2021-08-23T13:40:51.077+00:00,16800,4.833333492279053,6,0,4331,4.56450301542294,173
2025-01-03,0.1.3,2021-08-23T13:40:51.077+00:00,16805,4.833333492279053,6,0,4331,4.56450301542294,173
2025-01-04,0.1.3,2021-08-23T13:40:51.077+00:00,16808,4.833333492279053,6,0,4331,4.56450301542294,176
2025-01-05,0.1.3,2021-08-23T13:40:51.077+00:00,16810,4.833333492279053,6,0,4331,4.56450301542294,176
2025-01-06,0.1.3,2021-08-23T13:40:51.077+00:00,16814,4.833333492279053,6,0,4331,4.56450301542294,176
2025-01-07,0.1.3,2021-08-23T13:40:51.077+00:00,16818,4.833333492279053,6,0,4331,4.56450301542294,176
2025-01-08,0.1.3,2021-08-23T13:40:51.077+00:00,16821,4.833333492279053,6,0,4331,4.56450301542294,177
2025-01-09,0.1.3,2021-08-23T13:40:51.077+00:00,16824,4.833333492279053,6,0,4331,4.56450301542294,177
2025-01-10,0.1.3,2021-08-23T13:40:51.077+00:00,16831,4.833333492279053,6,0,4331,4.56450301542294,177
2025-01-11,0.1.3,2021-08-23T13:40:51.077+00:00,16833,4.833333492279053,6,0,4331,4.56450301542294,178
2025-01-12,0.1.3,2021-08-23T13:40:51.077+00:00,16838,4.833333492279053,6,0,4331,4.56450301542294,179
2025-01-13,0.1.3,2021-08-23T13:40:51.077+00:00,16841,4.833333492279053,6,0,4331,4.56450301542294,179
2025-01-14,0.1.3,2021-08-23T13:40:51.077+00:00,16844,4.833333492279053,6,0,4331,4.56450301542294,180
2025-01-15,0.1.3,2021-08-23T13:40:51.077+00:00,16848,4.833333492279053,6,0,4331,4.56450301542294,180
2025-01-16,0.1.3,2021-08-23T13:40:51.077+00:00,16853,4.833333492279053,6,0,4331,4.56450301542294,181
2025-01-17,0.1.3,2021-08-23T13:40:51.077+00:00,16855,4.833333492279053,6,0,4331,4.56450301542294,184
2025-01-18,0.1.3,2021-08-23T13:40:51.077+00:00,16856,4.833333492279053,6,0,4331,4.56450301542294,187
2025-01-19,0.1.3,2021-08-23T13:40:51.077+00:00,16861,4.833333492279053,6,0,4331,4.56450301542294,187
2025-01-20,0.1.3,2021-08-23T13:40:51.077+00:00,16864,4.833333492279053,6,0,4331,4.56450301542294,187
2025-01-21,0.1.3,2021-08-23T13:40:51.077+00:00,16865,4.833333492279053,6,0,4331,4.56450301542294,187
2025-01-22,0.1.3,2021-08-23T13:40:51.077+00:00,16869,4.833333492279053,6,0.00592838510789661,4331,4.56450301542294,187
2025-01-23,0.1.3,2021-08-23T13:40:51.077+00:00,16876,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-24,0.1.3,2021-08-23T13:40:51.077+00:00,16881,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-25,0.1.3,2021-08-23T13:40:51.077+00:00,16888,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-26,0.1.3,2021-08-23T13:40:51.077+00:00,16891,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-27,0.1.3,2021-08-23T13:40:51.077+00:00,16894,4.833333492279053,6,0.005919261276192731,4331,4.56450301542294,196
2025-01-28,0.1.3,2021-08-23T13:40:51.077+00:00,16900,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-29,0.1.3,2021-08-23T13:40:51.077+00:00,16904,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-30,0.1.3,2021-08-23T13:40:51.077+00:00,16907,4.833333492279053,6,0,4331,4.56450301542294,196
2025-01-31,0.1.3,2021-08-23T13:40:51.077+00:00,16910,4.833333492279053,6,0,4331,4.56450301542294,197
2025-02-01,0.1.3,2021-08-23T13:40:51.077+00:00,16913,4.833333492279053,6,0,4331,4.56450301542294,197
2025-02-02,0.1.3,2021-08-23T13:40:51.077+00:00,16915,4.833333492279053,6,0,4331,4.56450301542294,198
2025-02-03,0.1.3,2021-08-23T13:40:51.077+00:00,16922,4.833333492279053,6,0,4332,4.56450301542294,199
2025-02-04,0.1.3,2021-08-23T13:40:51.077+00:00,16928,4.833333492279053,6,0,4332,4.56450301542294,201
2025-02-05,0.1.3,2021-08-23T13:40:51.077+00:00,16936,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-06,0.1.3,2021-08-23T13:40:51.077+00:00,16944,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-07,0.1.3,2021-08-23T13:40:51.077+00:00,16946,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-08,0.1.3,2021-08-23T13:40:51.077+00:00,16950,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-09,0.1.3,2021-08-23T13:40:51.077+00:00,16955,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-10,0.1.3,2021-08-23T13:40:51.077+00:00,16959,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-11,0.1.3,2021-08-23T13:40:51.077+00:00,16964,4.833333492279053,6,0,4332,4.56450301542294,202
2025-02-12,0.1.3,2021-08-23T13:40:51.077+00:00,16967,4.833333492279053,6,0,4332,4.56450301542294,208
2025-02-13,0.1.3,2021-08-23T13:40:51.077+00:00,16975,4.833333492279053,6,0.011783420727037058,4332,4.56450301542294,214
2025-02-14,0.1.3,2021-08-23T13:40:51.077+00:00,16980,4.833333492279053,6,0,4332,4.56450301542294,222
2025-02-15,0.1.3,2021-08-23T13:40:51.077+00:00,16983,4.833333492279053,6,0.005888241182358829,4332,4.56450301542294,229
2025-02-16,0.1.3,2021-08-23T13:40:51.077+00:00,16985,4.833333492279053,6,0,4332,4.56450301542294,229
2025-02-17,0.1.3,2021-08-23T13:40:51.077+00:00,16988,4.833333492279053,6,0,4332,4.56450301542294,229
2025-02-18,0.1.3,2021-08-23T13:40:51.077+00:00,16990,4.833333492279053,6,0,4332,4.56450301542294,229
2025-02-19,0.1.3,2021-08-23T13:40:51.077+00:00,16992,4.833333492279053,6,0.005885122410546139,4332,4.56450301542294,229
2025-02-20,0.1.3,2021-08-23T13:40:51.077+00:00,16993,4.833333492279053,6,0,4332,4.56450301542294,229
