date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.1.0,2024-04-13T01:59:08.64+00:00,807,5,3,0,55,4.540926714853287,39
2024-11-26,1.1.0,2024-04-13T01:59:08.64+00:00,809,5,3,0,55,4.540926714853287,39
2024-11-27,1.1.0,2024-04-13T01:59:08.64+00:00,812,5,3,0.12315270935960591,55,4.540926714853287,39
2024-11-28,1.1.0,2024-04-13T01:59:08.64+00:00,814,5,3,0,55,4.540926714853287,39
2024-11-29,1.1.0,2024-04-13T01:59:08.64+00:00,817,5,3,0,55,4.540926714853287,39
2024-11-30,1.1.0,2024-04-13T01:59:08.64+00:00,821,5,3,0,55,4.540926714853287,39
2024-12-01,1.1.0,2024-04-13T01:59:08.64+00:00,826,5,3,0.12121212121212122,55,4.540926714853287,39
2024-12-02,1.1.0,2024-04-13T01:59:08.64+00:00,830,5,3,0,55,4.540926714853287,39
2024-12-03,1.1.0,2024-04-13T01:59:08.64+00:00,839,5,3,0.11976047904191617,55,4.540926714853287,39
2024-12-04,1.1.0,2024-04-13T01:59:08.64+00:00,843,5,3,0,55,4.540926714853287,39
2024-12-05,1.1.0,2024-04-13T01:59:08.64+00:00,844,5,3,0,55,4.540926714853287,39
2024-12-06,1.1.0,2024-04-13T01:59:08.64+00:00,846,5,3,0.1183431952662722,55,4.540926714853287,44
2024-12-07,1.1.0,2024-04-13T01:59:08.64+00:00,851,5,3,0,55,4.540926714853287,47
2024-12-08,1.1.0,2024-04-13T01:59:08.64+00:00,852,5,3,0,55,4.540926714853287,47
2024-12-09,1.1.0,2024-04-13T01:59:08.64+00:00,858,5,3,0,55,4.540926714853287,47
2024-12-10,1.1.0,2024-04-13T01:59:08.64+00:00,863,5,3,0,55,4.540926714853287,47
2024-12-11,1.1.0,2024-04-13T01:59:08.64+00:00,866,5,3,0,55,4.540926714853287,47
2024-12-12,1.1.0,2024-04-13T01:59:08.64+00:00,866,5,3,0,55,4.540926714853287,49
2024-12-13,1.1.0,2024-04-13T01:59:08.64+00:00,866,5,3,0,55,4.540926714853287,49
2024-12-14,1.1.0,2024-04-13T01:59:08.64+00:00,867,5,3,0,55,4.540926714853287,49
