date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.4,2017-10-06T14:09:12.863+00:00,72314,5,1,0,770,4.457458844826611,345
2024-11-26,0.0.4,2017-10-06T14:09:12.863+00:00,72317,5,1,0,770,4.457458844826611,345
2024-11-27,0.0.4,2017-10-06T14:09:12.863+00:00,72341,5,1,0,770,4.457458844826611,345
2024-11-28,0.0.4,2017-10-06T14:09:12.863+00:00,72366,5,1,0,770,4.457458844826611,345
2024-11-29,0.0.4,2017-10-06T14:09:12.863+00:00,72393,5,1,0.001381520778072502,770,4.457458844826611,345
2024-11-30,0.0.4,2017-10-06T14:09:12.863+00:00,72424,5,1,0,770,4.457458844826611,345
2024-12-01,0.0.4,2017-10-06T14:09:12.863+00:00,72436,5,1,0.0013806243183167428,770,4.457458844826611,345
2024-12-02,0.0.4,2017-10-06T14:09:12.863+00:00,72450,5,1,0,771,4.457458844826611,345
2024-12-03,0.0.4,2017-10-06T14:09:12.863+00:00,72467,5,1,0,771,4.457458844826611,345
2024-12-04,0.0.4,2017-10-06T14:09:12.863+00:00,72489,5,1,0.0013796338451774897,771,4.457458844826611,345
