date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-03-27,0.3.0,2025-03-26T14:46:17.993+00:00,3,5,1,0,1,4.403204729309272,6
2025-03-28,0.3.0,2025-03-26T14:46:17.993+00:00,10,5,5,0,5,4.403204729309272,9
2025-03-29,0.3.0,2025-03-26T14:46:17.993+00:00,10,5,6,0,6,4.627002955818295,14
2025-03-30,0.3.0,2025-03-26T14:46:17.993+00:00,11,5,6,0,6,4.627002955818295,16
2025-03-31,0.3.0,2025-03-26T14:46:17.993+00:00,11,5,6,0,6,4.627002955818295,17
2025-04-01,0.3.0,2025-03-26T14:46:17.993+00:00,12,5,6,0,6,4.627002955818295,21
2025-04-02,0.3.0,2025-03-26T14:46:17.993+00:00,12,5,6,0,5,4.627002955818295,25
2025-04-03,0.3.0,2025-03-26T14:46:17.993+00:00,13,5,6,0,3,4.627002955818295,25
2025-04-04,0.3.0,2025-03-26T14:46:17.993+00:00,14,5,6,0,6,4.627002955818295,27
2025-04-05,0.3.0,2025-03-26T14:46:17.993+00:00,15,5,6,0,2,4.627002955818295,29
2025-04-06,0.3.0,2025-03-26T14:46:17.993+00:00,15,5,6,0,2,4.627002955818295,30
