date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-08-14,1.0.0,2025-08-14T03:40:51.993+00:00,1,5,2,0,2,4.456267032821507,5
2025-08-15,1.0.0,2025-08-14T03:40:51.993+00:00,1,5,1,0,2,4.456081198754433,13
2025-08-16,1.0.0,2025-08-14T03:40:51.993+00:00,1,5,1,0,2,4.456051532033426,15
2025-08-17,1.0.0,2025-08-14T03:40:51.993+00:00,1,5,1,0,1,4.455973266499583,15
2025-08-18,1.0.0,2025-08-14T03:40:51.993+00:00,2,5,1,0,1,4.455939470716801,16
2025-08-19,1.0.0,2025-08-14T03:40:51.993+00:00,3,5,1,0,1,4.4559918189027865,18
2025-08-20,1.0.0,2025-08-14T03:40:51.993+00:00,4,5,1,0,1,4.455821715398255,19
2025-08-21,1.0.0,2025-08-14T03:40:51.993+00:00,4,5,1,0,1,4.455746523313433,19
2025-08-22,1.0.0,2025-08-14T03:40:51.993+00:00,5,5,1,0,2,4.455550229595204,19
2025-08-23,1.0.2,2025-08-23T04:23:17.667+00:00,5,5,1,0,2,4.455541666666667,27
2025-08-24,1.0.2,2025-08-23T04:23:17.667+00:00,5,5,1,0,2,4.455446094460528,31
2025-08-25,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,1,0,3,4.45554807498768,36
2025-08-26,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,2,0,3,4.4554693786941195,36
2025-08-27,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,2,0,3,4.455515644069677,37
2025-08-28,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,2,0,3,4.455739181651249,37
2025-08-29,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,1,0,4,4.45567928422044,37
2025-08-30,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,1,0,5,4.455571168502149,39
2025-08-31,1.0.2,2025-08-23T04:23:17.667+00:00,7,5,1,0,5,4.455629450722842,39
2025-09-01,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455486370554864,39
2025-09-02,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455414937759336,41
2025-09-03,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455591809647583,41
2025-09-04,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455590798211608,42
2025-09-05,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455567758736211,43
2025-09-06,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455665960047231,45
2025-09-07,1.0.2,2025-08-23T04:23:17.667+00:00,8,5,1,0,5,4.455663783403171,45
