date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,2.0.0,2023-11-07T15:21:51.68+00:00,8174,5,7,0,1332,4.403204729309272,82
2024-11-26,2.0.0,2023-11-07T15:21:51.68+00:00,8175,5,7,0,1332,4.403204729309272,82
2024-11-27,2.0.0,2023-11-07T15:21:51.68+00:00,8187,3,1,0,1332,4.403204729309272,82
2024-11-28,2.0.0,2023-11-07T15:21:51.68+00:00,8195,3,1,0.02441108263151471,1332,4.403204729309272,82
2024-11-29,2.0.0,2023-11-07T15:21:51.68+00:00,8210,5,4,0,1332,4.403204729309272,82
2024-11-30,2.0.0,2023-11-07T15:21:51.68+00:00,8218,3,1,0,1332,4.403204729309272,82
2024-12-01,2.0.0,2023-11-07T15:21:51.68+00:00,8226,3,1,0,1332,4.403204729309272,82
2024-12-02,2.0.0,2023-11-07T15:21:51.68+00:00,8241,3,1,0.012147716229348881,1332,4.403204729309272,82
2024-12-03,2.0.0,2023-11-07T15:21:51.68+00:00,8254,3,1,0,1332,4.403204729309272,82
2024-12-04,2.0.0,2023-11-07T15:21:51.68+00:00,8263,3,1,0,1332,4.403204729309272,82
2024-12-05,2.0.0,2023-11-07T15:21:51.68+00:00,8286,3,1,0,1333,4.403204729309272,82
2024-12-06,2.0.0,2023-11-07T15:21:51.68+00:00,8308,3,1,0.012046741356463078,1333,4.403204729309272,83
2024-12-07,2.0.0,2023-11-07T15:21:51.68+00:00,8335,3,1,0,1333,4.403204729309272,83
2024-12-08,2.0.0,2023-11-07T15:21:51.68+00:00,8349,3,1,0,1333,4.403204729309272,83
2024-12-09,2.0.0,2023-11-07T15:21:51.68+00:00,8365,5,10,0,1333,4.403204729309272,118
2024-12-10,2.0.0,2023-11-07T15:21:51.68+00:00,8384,5,10,0.011938872970391595,1333,4.403204729309272,118
2024-12-11,2.0.0,2023-11-07T15:21:51.68+00:00,8404,5,10,0,1333,4.403204729309272,118
2024-12-12,2.0.0,2023-11-07T15:21:51.68+00:00,8423,3,1,0.011886366337810532,1333,4.403204729309272,118
2024-12-13,2.0.0,2023-11-07T15:21:51.68+00:00,8443,3,1,0,1333,4.403204729309272,118
2024-12-14,2.0.0,2023-11-07T15:21:51.68+00:00,8450,3,1,0,1333,4.403204729309272,118
2024-12-15,2.0.0,2023-11-07T15:21:51.68+00:00,8467,3,1,0,1333,4.403204729309272,118
2024-12-16,2.0.0,2023-11-07T15:21:51.68+00:00,8476,3,1,0,1333,4.403204729309272,119
2024-12-17,2.0.0,2023-11-07T15:21:51.68+00:00,8479,3,1,0,1333,4.403204729309272,119
2024-12-17,2.0.0,2023-11-07T15:21:51.68+00:00,8484,3,1,0,1333,4.403204729309272,119
2024-12-18,2.0.0,2023-11-07T15:21:51.68+00:00,8496,3,1,0,1333,4.403204729309272,120
2024-12-19,2.0.0,2023-11-07T15:21:51.68+00:00,8532,3,1,0,1333,4.403204729309272,121
2024-12-20,2.0.0,2023-11-07T15:21:51.68+00:00,8563,3,1,0,1333,4.403204729309272,121
2024-12-21,2.0.0,2023-11-07T15:21:51.68+00:00,8580,3,1,0.011659088259298123,1333,4.403204729309272,129
2024-12-22,2.0.0,2023-11-07T15:21:51.68+00:00,8594,3,1,0,1333,4.403204729309272,129
2024-12-23,2.0.0,2023-11-07T15:21:51.68+00:00,8612,3,1,0,1333,4.403204729309272,129
2024-12-24,2.0.0,2023-11-07T15:21:51.68+00:00,8631,3,1,0,1333,4.403204729309272,129
2024-12-25,2.0.0,2023-11-07T15:21:51.68+00:00,8650,3,1,0,1333,4.403204729309272,129
2024-12-26,2.0.0,2023-11-07T15:21:51.68+00:00,8668,3,1,0.011548677676406051,1333,4.403204729309272,129
2024-12-27,2.0.0,2023-11-07T15:21:51.68+00:00,8682,3,1,0,1333,4.403204729309272,129
2024-12-28,2.0.0,2023-11-07T15:21:51.68+00:00,8695,3,1,0,1333,4.403204729309272,131
2024-12-29,2.0.0,2023-11-07T15:21:51.68+00:00,8711,3,1,0,1333,4.403204729309272,131
2024-12-30,2.0.0,2023-11-07T15:21:51.68+00:00,8725,5,1,0,1333,4.403204729309272,131
2024-12-31,2.0.0,2023-11-07T15:21:51.68+00:00,8740,5,1,0,1333,4.403204729309272,131
