date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-08-25,1.0.0,2025-08-25T12:18:32.93+00:00,0,0,0,0,0,0,0
2025-08-26,1.0.2,2025-08-26T08:37:22.247+00:00,3,5,1,0,1,4.4554693786941195,12
2025-08-27,1.0.2,2025-08-26T08:37:22.247+00:00,3,5,1,0,1,4.455515644069677,17
2025-08-28,1.0.2,2025-08-26T08:37:22.247+00:00,4,5,1,0,2,4.455739181651249,20
2025-08-29,1.0.2,2025-08-26T08:37:22.247+00:00,6,5,1,0,8,4.45567928422044,20
2025-08-30,1.0.2,2025-08-26T08:37:22.247+00:00,6,5,1,0,8,4.455571168502149,23
2025-08-31,1.0.2,2025-08-26T08:37:22.247+00:00,7,5,1,0,1,4.455629450722842,25
2025-09-01,1.0.2,2025-08-26T08:37:22.247+00:00,8,5,1,0,7,4.455486370554864,26
2025-09-02,1.0.2,2025-08-26T08:37:22.247+00:00,8,5,1,0,7,4.455414937759336,26
2025-09-03,1.0.2,2025-08-26T08:37:22.247+00:00,10,5,1,0,34,4.455591809647583,28
2025-09-04,1.0.2,2025-08-26T08:37:22.247+00:00,10,5,1,0,34,4.455590798211608,29
2025-09-05,1.1.2,2025-09-05T11:02:24.04+00:00,10,5,1,0,2,4.455567758736211,34
2025-09-06,1.1.3,2025-09-06T03:37:12.387+00:00,10,5,1,0,3,4.455665960047231,52
2025-09-07,1.1.3,2025-09-06T03:37:12.387+00:00,10,5,1,0,3,4.455663783403171,53
2025-09-08,1.1.3,2025-09-06T03:37:12.387+00:00,10,5,1,0,4,4.455598269067519,55
2025-09-09,1.2.1,2025-09-09T10:52:51.32+00:00,10,5,1,0,5,4.455695067264574,60
2025-09-10,1.2.2,2025-09-09T13:38:30.973+00:00,10,5,1,0,8,4.455711478122953,70
2025-09-11,1.2.2,2025-09-09T13:38:30.973+00:00,10,5,1,0,8,4.455640797645389,75
2025-09-12,1.2.2,2025-09-09T13:38:30.973+00:00,10,5,1,0,8,4.455289312551226,77
2025-09-13,1.2.2,2025-09-09T13:38:30.973+00:00,10,5,1,0,8,4.4552288639070365,82
2025-09-14,1.2.2,2025-09-09T13:38:30.973+00:00,10,5,1,0,8,4.454242928452579,82
2025-09-15,1.2.2,2025-09-09T13:38:30.973+00:00,10,5,1,0,8,4.4551271466314395,83
2025-09-16,1.2.3,2025-09-16T07:38:33.247+00:00,10,5,1,0,8,4.455069314556057,86
2025-09-17,1.2.3,2025-09-16T07:38:33.247+00:00,10,5,1,0,9,4.455058458027755,89
2025-09-18,1.2.3,2025-09-16T07:38:33.247+00:00,10,5,1,0,9,4.455029508557138,89
2025-09-19,1.2.3,2025-09-16T07:38:33.247+00:00,11,5,1,0,9,4.454980014010797,92
2025-09-20,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,9,4.454992378572115,97
2025-09-21,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,9,4.45512516903139,105
2025-09-22,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,10,4.455145625737736,105
2025-09-23,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.455230280535412,107
2025-09-24,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.455210012000686,107
2025-09-25,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.454936769594571,108
2025-09-26,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.454640743176586,109
2025-09-27,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.454490673532554,110
2025-09-28,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.454505004038827,110
2025-09-29,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.454455235474885,111
2025-09-30,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.45433647813802,112
2025-10-01,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.453834319122021,113
2025-10-02,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.453612193288223,114
2025-10-03,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.453395995710177,115
2025-10-04,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.453127773757015,116
2025-10-05,1.2.4,2025-09-20T06:12:54.9+00:00,11,5,1,0,11,4.453018462273487,116
