date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.1.1,2020-04-05T19:19:01.997+00:00,39550,5,5,0,974,4.602136486206181,363
2024-11-26,1.1.1,2020-04-05T19:19:01.997+00:00,39555,5,5,0,974,4.602136486206181,363
2024-11-27,1.1.1,2020-04-05T19:19:01.997+00:00,39572,5,5,0.002527614184970806,974,4.602136486206181,363
2024-11-28,1.1.1,2020-04-05T19:19:01.997+00:00,39599,5,5,0,974,4.602136486206181,363
2024-11-29,1.1.1,2020-04-05T19:19:01.997+00:00,39617,5,5,0,974,4.602136486206181,363
2024-11-30,1.1.1,2020-04-05T19:19:01.997+00:00,39631,5,5,0,974,4.602136486206181,363
2024-12-01,1.1.1,2020-04-05T19:19:01.997+00:00,39651,5,5,0,975,4.602136486206181,363
2024-12-02,1.1.1,2020-04-05T19:19:01.997+00:00,39664,5,5,0.0025214321734745334,975,4.602136486206181,363
2024-12-03,1.1.1,2020-04-05T19:19:01.997+00:00,39689,5,5,0,975,4.602136486206181,363
2024-12-04,1.1.1,2020-04-05T19:19:01.997+00:00,39707,5,5,0.0025187647977431868,975,4.602136486206181,363
2024-12-05,1.1.1,2020-04-05T19:19:01.997+00:00,39729,5,5,0,975,4.602136486206181,363
2024-12-06,1.1.1,2020-04-05T19:19:01.997+00:00,39745,5,5,0,975,4.602136486206181,363
2024-12-07,1.1.1,2020-04-05T19:19:01.997+00:00,39762,5,5,0,975,4.602136486206181,363
2024-12-08,1.1.1,2020-04-05T19:19:01.997+00:00,39771,5,5,0,975,4.602136486206181,366
2024-12-09,1.1.1,2020-04-05T19:19:01.997+00:00,39789,5,5,0.0025138260432378077,976,4.602136486206181,366
2024-12-10,1.1.1,2020-04-05T19:19:01.997+00:00,39811,5,5,0,976,4.602136486206181,366
2024-12-11,1.1.1,2020-04-05T19:19:01.997+00:00,39825,5,5,0,976,4.602136486206181,366
2024-12-12,1.1.1,2020-04-05T19:19:01.997+00:00,39841,5,5,0,976,4.602136486206181,366
2024-12-13,1.1.1,2020-04-05T19:19:01.997+00:00,39858,5,5,0.005018316856526321,976,4.602136486206181,366
2024-12-14,1.1.1,2020-04-05T19:19:01.997+00:00,39875,5,5,0.0025084031505543574,976,4.602136486206181,366
