date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.15,2024-11-09T12:43:28.957+00:00,38521,5,6,0,7220,4.627002955818295,438
2024-11-26,0.0.15,2024-11-09T12:43:28.957+00:00,38527,5,6,0,7231,4.627002955818295,438
2024-11-27,0.0.15,2024-11-09T12:43:28.957+00:00,38548,5,6,0,7268,4.627002955818295,438
2024-11-28,0.0.15,2024-11-09T12:43:28.957+00:00,38568,5,6,0,7308,4.627002955818295,439
2024-11-29,0.0.15,2024-11-09T12:43:28.957+00:00,38598,5,6,0.00518295843267337,7343,4.627002955818295,439
2024-11-30,0.0.15,2024-11-09T12:43:28.957+00:00,38611,5,6,0,7367,4.627002955818295,439
2024-12-01,0.0.15,2024-11-09T12:43:28.957+00:00,38632,5,6,0,7399,4.627002955818295,440
2024-12-02,0.0.15,2024-11-09T12:43:28.957+00:00,38650,5,6,0,7430,4.627002955818295,440
2024-12-03,0.0.15,2024-11-09T12:43:28.957+00:00,38670,5,6,0,7461,4.627002955818295,440
2024-12-04,0.0.15,2024-11-09T12:43:28.957+00:00,38692,5,6,0.002585181738276201,7497,4.627002955818295,440
2024-12-05,0.0.15,2024-11-09T12:43:28.957+00:00,38713,5,6,0.0025833785424578264,7522,4.627002955818295,440
2024-12-06,0.0.15,2024-11-09T12:43:28.957+00:00,38733,5,6,0,7546,4.627002955818295,440
2024-12-07,0.0.15,2024-11-09T12:43:28.957+00:00,38750,5,6,0.002580911577969339,7569,4.627002955818295,440
