date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-07-02,0.0.1,2025-04-30T13:48:00.77+00:00,109,5,1,0.9345794392523363,1,4.457458844826611,50
2025-07-03,0.0.1,2025-04-30T13:48:00.77+00:00,113,5,1,0,1,4.457458844826611,51
2025-07-04,0.0.1,2025-04-30T13:48:00.77+00:00,114,5,1,0,1,4.457458844826611,51
2025-07-05,0.0.1,2025-04-30T13:48:00.77+00:00,117,5,1,0,1,4.457458844826611,52
2025-07-06,0.0.1,2025-04-30T13:48:00.77+00:00,119,5,1,0,1,4.457458844826611,53
2025-07-07,0.0.1,2025-04-30T13:48:00.77+00:00,124,5,1,0,1,4.457458844826611,53
2025-07-08,0.0.1,2025-04-30T13:48:00.77+00:00,125,5,1,0,1,4.457458844826611,54
2025-07-09,0.0.1,2025-04-30T13:48:00.77+00:00,125,5,1,0,1,4.457458844826611,55
2025-07-10,0.0.1,2025-04-30T13:48:00.77+00:00,128,5,1,0,1,4.457458844826611,57
2025-07-11,0.0.1,2025-04-30T13:48:00.77+00:00,133,5,1,0,1,4.457458844826611,57
2025-07-12,0.0.1,2025-04-30T13:48:00.77+00:00,136,5,1,0,1,4.457458844826611,59
2025-07-13,0.0.1,2025-04-30T13:48:00.77+00:00,137,5,1,0,1,4.457458844826611,60
2025-07-14,0.0.1,2025-04-30T13:48:00.77+00:00,139,5,1,0,1,4.457458844826611,61
2025-07-15,0.0.1,2025-04-30T13:48:00.77+00:00,140,5,1,0,1,4.457458844826611,62
2025-07-16,0.0.1,2025-04-30T13:48:00.77+00:00,144,5,1,0,1,4.506890008909384,62
2025-07-17,0.0.1,2025-04-30T13:48:00.77+00:00,144,5,1,0,1,4.5068142526774295,63
2025-07-18,0.0.1,2025-04-30T13:48:00.77+00:00,145,5,1,0,1,4.506933852883458,65
2025-07-19,0.0.1,2025-04-30T13:48:00.77+00:00,145,5,1,0,1,4.507024111780847,65
2025-07-20,0.0.1,2025-04-30T13:48:00.77+00:00,146,5,1,0,1,4.507082722845825,66
2025-07-21,0.0.1,2025-04-30T13:48:00.77+00:00,147,5,1,0,1,4.507118074792466,66
2025-07-22,0.0.1,2025-04-30T13:48:00.77+00:00,149,5,1,0,1,4.506977250323258,66
2025-07-23,0.0.1,2025-04-30T13:48:00.77+00:00,149,5,1,0,1,4.5070079196594115,68
2025-07-24,0.0.1,2025-04-30T13:48:00.77+00:00,153,5,1,0,1,4.506856025698665,69
2025-07-25,0.0.1,2025-04-30T13:48:00.77+00:00,157,5,1,0,1,4.506983610038388,71
2025-07-26,0.0.1,2025-04-30T13:48:00.77+00:00,159,5,1,0,1,4.506716345929663,72
2025-07-27,0.0.1,2025-04-30T13:48:00.77+00:00,160,5,1,0,1,4.506677581001906,74
2025-07-28,0.0.1,2025-04-30T13:48:00.77+00:00,163,5,1,0,1,4.506449370510543,74
2025-07-30,0.0.1,2025-04-30T13:48:00.77+00:00,170,5,1,0,1,4.506496968336526,75
2025-07-31,0.0.1,2025-04-30T13:48:00.77+00:00,171,5,1,0,1,4.506597315179562,75
2025-08-01,0.0.1,2025-04-30T13:48:00.77+00:00,171,5,1,0,1,4.506627838898314,75
2025-08-02,0.0.1,2025-04-30T13:48:00.77+00:00,172,5,1,0,1,4.506614493621113,75
2025-08-03,0.0.1,2025-04-30T13:48:00.77+00:00,178,5,1,0,1,4.5066231974570385,75
2025-08-04,0.0.1,2025-04-30T13:48:00.77+00:00,181,5,1,0,1,4.506558428828571,76
2025-08-05,0.0.1,2025-04-30T13:48:00.77+00:00,181,5,1,0,1,4.506373357355889,77
2025-08-06,0.0.1,2025-04-30T13:48:00.77+00:00,182,5,1,0,1,4.506202596530413,77
2025-08-07,0.0.1,2025-04-30T13:48:00.77+00:00,184,5,1,0,1,4.506163893788434,78
2025-08-08,0.0.1,2025-04-30T13:48:00.77+00:00,185,5,1,0,1,4.505956060277832,80
2025-08-09,0.0.1,2025-04-30T13:48:00.77+00:00,187,5,1,0,1,4.505853068455659,82
2025-08-10,0.0.1,2025-04-30T13:48:00.77+00:00,189,5,1,0,1,4.505787951791932,84
2025-08-11,0.0.1,2025-04-30T13:48:00.77+00:00,192,5,1,0,1,4.50580937826833,84
2025-08-12,0.0.1,2025-04-30T13:48:00.77+00:00,193,5,1,0,1,4.505786680960249,85
2025-08-13,0.0.1,2025-04-30T13:48:00.77+00:00,198,5,1,0,1,4.505734519333794,85
2025-08-14,0.0.1,2025-04-30T13:48:00.77+00:00,202,5,1,0,1,4.505697302565006,85
2025-08-15,0.0.1,2025-04-30T13:48:00.77+00:00,203,5,1,0,1,4.50552836250403,86
2025-08-16,0.0.1,2025-04-30T13:48:00.77+00:00,205,5,1,0,1,4.50550139275766,86
2025-08-17,0.0.1,2025-04-30T13:48:00.77+00:00,207,5,1,0,1,4.5054302422723485,87
2025-08-18,0.0.1,2025-04-30T13:48:00.77+00:00,207,5,1,0,1,4.505399518833455,87
2025-08-19,0.0.1,2025-04-30T13:48:00.77+00:00,210,5,1,0,1,4.505447108093442,87
2025-08-20,0.0.1,2025-04-30T13:48:00.77+00:00,212,5,1,0,1,4.505292468543868,87
2025-08-21,0.0.1,2025-04-30T13:48:00.77+00:00,215,5,1,0,1,4.505224112103122,88
2025-08-22,0.0.1,2025-04-30T13:48:00.77+00:00,220,5,1,0,1,4.505045663268367,88
2025-08-23,0.0.1,2025-04-30T13:48:00.77+00:00,221,5,1,0,1,4.5050378787878795,88
2025-08-24,0.0.1,2025-04-30T13:48:00.77+00:00,223,5,1,0,1,4.5049509949641156,89
2025-08-25,0.0.1,2025-04-30T13:48:00.77+00:00,227,5,1,0,1,4.5050437045342555,90
2025-08-26,0.0.1,2025-04-30T13:48:00.77+00:00,230,5,1,0,1,4.504972162449199,91
2025-08-27,0.0.1,2025-04-30T13:48:00.77+00:00,234,5,1,0,1,4.505014221881524,92
2025-08-28,0.0.1,2025-04-30T13:48:00.77+00:00,235,3,2,0,1,4.213115984709374,94
2025-08-29,0.0.1,2025-04-30T13:48:00.77+00:00,235,3,2,0,1,4.2130660701837,95
2025-08-30,0.0.1,2025-04-30T13:48:00.77+00:00,236,3,2,0,1,4.2129759737517904,96
2025-08-31,0.0.1,2025-04-30T13:48:00.77+00:00,237,3,2,0,1,4.213024542269036,96
2025-09-01,0.0.1,2025-04-30T13:48:00.77+00:00,239,3,2,0,1,4.21290530879572,97
2025-09-02,0.0.1,2025-04-30T13:48:00.77+00:00,240,3,2,0,1,4.212845781466114,98
2025-09-03,0.0.1,2025-04-30T13:48:00.77+00:00,240,3,2,0,1,4.21299317470632,99
2025-09-04,0.0.1,2025-04-30T13:48:00.77+00:00,241,3,2,0,1,4.212992331843006,101
2025-09-05,0.0.1,2025-04-30T13:48:00.77+00:00,242,3,2,0,1,4.212973132280176,101
2025-09-06,0.0.1,2025-04-30T13:48:00.77+00:00,243,3,2,0,1,4.213054966706026,101
2025-09-07,0.0.1,2025-04-30T13:48:00.77+00:00,245,3,2,0,1,4.213053152835976,101
2025-09-08,0.0.1,2025-04-30T13:48:00.77+00:00,245,3,2,0,1,4.212998557556266,102
2025-09-09,0.0.1,2025-04-30T13:48:00.77+00:00,248,3,2,0,1,4.213079222720479,103
2025-09-10,0.0.1,2025-04-30T13:48:00.77+00:00,249,3,2,0,1,4.213092898435795,104
