date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.6.1,2024-11-19T06:52:44.813+00:00,14395,5,1,0.006954102920723227,3144,4.457458844826611,54
2024-11-26,1.6.1,2024-11-19T06:52:44.813+00:00,14399,5,1,0.006954102920723227,3147,4.457458844826611,54
2024-11-27,1.6.1,2024-11-19T06:52:44.813+00:00,14427,5,1,0.006938662225922843,3156,4.457458844826611,54
2024-11-28,1.6.1,2024-11-19T06:52:44.813+00:00,14475,5,1,0,3160,4.457458844826611,56
2024-11-29,1.6.1,2024-11-19T06:52:44.813+00:00,15465,5,1,0.006897978892184589,3167,4.457458844826611,57
2024-11-30,1.6.1,2024-11-19T06:52:44.813+00:00,17522,5,1,0.00594883997620464,3170,4.457458844826611,57
2024-12-01,1.6.1,2024-11-19T06:52:44.813+00:00,17548,5,1,0,3174,4.457458844826611,57
2024-12-02,1.6.1,2024-11-19T06:52:44.813+00:00,17584,5,1,0,3179,4.457458844826611,57
2024-12-03,1.6.1,2024-11-19T06:52:44.813+00:00,17633,5,1,0.011350093638272517,3182,4.457458844826611,58
2024-12-04,1.6.1,2024-11-19T06:52:44.813+00:00,17675,5,1,0.016978889580621426,3188,4.457458844826611,60
2024-12-05,1.6.1,2024-11-19T06:52:44.813+00:00,17717,5,1,0,3192,4.457458844826611,60
2024-12-06,1.6.1,2024-11-19T06:52:44.813+00:00,17760,5,1,0.011273957158962795,3192,4.457458844826611,63
2024-12-07,1.6.1,2024-11-19T06:52:44.813+00:00,17794,5,1,0,3196,4.457458844826611,63
2024-12-08,1.6.1,2024-11-19T06:52:44.813+00:00,17819,5,1,0,3197,4.457458844826611,63
2024-12-09,1.6.1,2024-11-19T06:52:44.813+00:00,17847,5,1,0,3200,4.457458844826611,63
2024-12-10,1.6.1,2024-11-19T06:52:44.813+00:00,17903,5,1,0.011184431271669836,3200,4.457458844826611,63
2024-12-11,1.6.1,2024-11-19T06:52:44.813+00:00,17937,5,1,0.005578178167010655,3200,4.457458844826611,63
2024-12-12,1.6.1,2024-11-19T06:52:44.813+00:00,17988,5,1,0.0055629728526924785,3203,4.457458844826611,63
2024-12-13,1.6.1,2024-11-19T06:52:44.813+00:00,18027,5,1,0,3208,4.457458844826611,64
2024-12-14,1.6.1,2024-11-19T06:52:44.813+00:00,18064,5,1,0,3212,4.457458844826611,65
2024-12-15,1.6.1,2024-11-19T06:52:44.813+00:00,18095,5,1,0.005530361685654242,3213,4.457458844826611,72
2024-12-16,1.6.1,2024-11-19T06:52:44.813+00:00,18131,5,1,0,3214,4.457458844826611,72
2024-12-17,1.6.1,2024-11-19T06:52:44.813+00:00,18161,5,1,0,3215,4.457458844826611,72
2024-12-17,1.6.1,2024-11-19T06:52:44.813+00:00,18181,5,1,0.005505698397841766,3215,4.457458844826611,73
2024-12-18,1.6.1,2024-11-19T06:52:44.813+00:00,18225,5,1,0,3215,4.457458844826611,73
2024-12-19,1.6.1,2024-11-19T06:52:44.813+00:00,18259,5,1,0.010964311167150922,3217,4.457458844826611,73
2024-12-20,1.6.1,2024-11-19T06:52:44.813+00:00,18296,5,1,0.005469561888092764,3219,4.457458844826611,73
2024-12-21,1.6.1,2024-11-19T06:52:44.813+00:00,18329,5,1,0,3220,4.457458844826611,74
2024-12-22,1.6.1,2024-11-19T06:52:44.813+00:00,18355,5,1,0.005449888277290316,3222,4.457458844826611,74
2024-12-23,1.6.1,2024-11-19T06:52:44.813+00:00,18396,5,1,0,3223,4.457458844826611,74
2024-12-24,1.6.1,2024-11-19T06:52:44.813+00:00,18432,5,1,0.005428586938819825,3224,4.457458844826611,75
2024-12-25,1.6.1,2024-11-19T06:52:44.813+00:00,18464,5,1,0.005418879375745096,3225,4.457458844826611,75
2024-12-26,1.6.1,2024-11-19T06:52:44.813+00:00,18506,5,1,0.0054089138900908695,3226,4.457458844826611,75
2024-12-27,1.6.1,2024-11-19T06:52:44.813+00:00,18542,5,1,0.010791560999298549,3226,4.457458844826611,75
2024-12-28,1.6.1,2024-11-19T06:52:44.813+00:00,18568,5,1,0,3227,4.457458844826611,75
2024-12-29,1.6.1,2024-11-19T06:52:44.813+00:00,18598,5,1,0,3227,4.457458844826611,75
2024-12-30,1.6.1,2024-11-19T06:52:44.813+00:00,18623,5,1,0.005372300419039433,3228,4.457458844826611,76
2024-12-31,1.6.1,2024-11-19T06:52:44.813+00:00,18648,5,1,0,3230,4.457458844826611,76
2025-01-01,1.6.1,2024-11-19T06:52:44.813+00:00,18668,5,1,0,3231,4.457458844826611,77
2025-01-02,1.6.1,2024-11-19T06:52:44.813+00:00,18705,5,1,0.005350454788657036,3233,4.457458844826611,79
2025-01-03,1.6.1,2024-11-19T06:52:44.813+00:00,18754,5,1,0,3235,4.457458844826611,79
2025-01-04,1.6.1,2024-11-19T06:52:44.813+00:00,18797,5,1,0.015971889474524836,3237,4.457458844826611,81
2025-01-05,1.6.1,2024-11-19T06:52:44.813+00:00,18832,5,1,0,3237,4.457458844826611,81
2025-01-06,1.6.1,2024-11-19T06:52:44.813+00:00,18862,5,1,0,3237,4.457458844826611,81
2025-01-07,1.6.1,2024-11-19T06:52:44.813+00:00,18897,5,1,0.005297171310520182,3237,4.457458844826611,81
2025-01-08,1.6.1,2024-11-19T06:52:44.813+00:00,18939,5,1,0,3237,4.457458844826611,82
2025-01-09,1.6.1,2024-11-19T06:52:44.813+00:00,18980,5,1,0.010546854400674998,3238,4.457458844826611,82
2025-01-10,1.6.1,2024-11-19T06:52:44.813+00:00,19019,5,1,0,3238,4.457458844826611,82
2025-01-11,1.6.1,2024-11-19T06:52:44.813+00:00,19063,5,1,0,3239,4.457458844826611,83
2025-01-12,1.6.1,2024-11-19T06:52:44.813+00:00,19101,5,1,0,3242,4.457458844826611,84
2025-01-13,1.6.1,2024-11-19T06:52:44.813+00:00,19146,5,1,0.005229305025362129,3244,4.457458844826611,84
2025-01-14,1.6.1,2024-11-19T06:52:44.813+00:00,19189,5,1,0.01043133573254055,3247,4.457458844826611,85
2025-01-15,1.6.1,2024-11-19T06:52:44.813+00:00,19230,5,1,0.005204538357447695,3248,4.457458844826611,86
