date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.3,2022-05-31T02:39:07.21+00:00,531,5,1,0,20,4.403204729309272,18
2024-11-26,0.0.3,2022-05-31T02:39:07.21+00:00,531,5,1,0,20,4.403204729309272,18
2024-11-27,0.0.3,2022-05-31T02:39:07.21+00:00,531,5,1,0,20,4.403204729309272,18
2024-11-28,0.0.3,2022-05-31T02:39:07.21+00:00,532,5,1,0,20,4.403204729309272,18
2024-11-29,0.0.3,2022-05-31T02:39:07.21+00:00,532,5,1,0,20,4.403204729309272,18
2024-11-30,0.0.3,2022-05-31T02:39:07.21+00:00,532,5,1,0,20,4.403204729309272,18
2024-12-01,0.0.3,2022-05-31T02:39:07.21+00:00,532,5,1,0,20,4.403204729309272,18
2024-12-02,0.0.3,2022-05-31T02:39:07.21+00:00,533,5,2,0,180,4.403204729309272,18
2024-12-03,0.0.3,2022-05-31T02:39:07.21+00:00,533,5,2,0,182,4.403204729309272,18
2024-12-04,0.0.3,2022-05-31T02:39:07.21+00:00,534,5,2,0,187,4.403204729309272,21
2024-12-05,0.0.3,2022-05-31T02:39:07.21+00:00,536,5,2,0,1,4.403204729309272,21
2024-12-06,0.0.3,2022-05-31T02:39:07.21+00:00,536,5,2,0,1,4.403204729309272,21
2024-12-07,0.0.3,2022-05-31T02:39:07.21+00:00,536,5,1,0,5,4.403204729309272,21
2024-12-08,0.0.3,2022-05-31T02:39:07.21+00:00,536,5,2,0,5,4.403204729309272,21
2024-12-09,0.0.3,2022-05-31T02:39:07.21+00:00,536,5,2,0,4437,4.403204729309272,24
2024-12-10,0.0.3,2022-05-31T02:39:07.21+00:00,537,5,2,0,4437,4.403204729309272,24
2024-12-11,0.0.3,2022-05-31T02:39:07.21+00:00,537,5,2,0,4437,4.403204729309272,24
2024-12-12,0.0.3,2022-05-31T02:39:07.21+00:00,538,5,2,0,4437,4.403204729309272,24
2024-12-13,0.0.3,2022-05-31T02:39:07.21+00:00,538,5,2,0,4438,4.403204729309272,24
2024-12-14,0.0.3,2022-05-31T02:39:07.21+00:00,538,5,2,0,5,4.403204729309272,24
2024-12-15,0.0.3,2022-05-31T02:39:07.21+00:00,538,5,2,0,4439,4.403204729309272,24
2024-12-16,0.0.3,2022-05-31T02:39:07.21+00:00,538,5,2,0,4439,4.403204729309272,24
