date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-01-22,2.3.0,2026-01-22T09:13:33.827+00:00,1,5,1,0,1,4.454274574237801,13
2026-01-23,2.4.0,2026-01-23T11:32:48.067+00:00,1,5,1,0,1,4.45426998142778,37
2026-01-24,2.6.0,2026-01-24T08:17:08.687+00:00,1,5,1,0,2,4.454209662288931,60
2026-01-27,3.3.0,2026-01-27T05:34:08.77+00:00,1,5,1,0,2,4.454500504212615,92
2026-01-28,3.3.0,2026-01-27T05:34:08.77+00:00,1,5,1,0,3,4.454693240563124,101
2026-05-08,33.0.5,2026-05-08T11:37:07.453+00:00,65,5,1,0,496,4.504069471016868,3069
2026-05-09,33.0.5,2026-05-08T11:37:07.453+00:00,65,5,1,0,505,4.503942976749448,3096
2026-05-26,42.0.1,2026-05-26T07:25:34.927+00:00,68,5,1,0,639,4.503854365659063,4137
2026-05-27,42.0.1,2026-05-26T07:25:34.927+00:00,69,5,1,0,643,4.503873400590205,4156
2026-05-28,42.0.1,2026-05-26T07:25:34.927+00:00,70,5,1,0,644,4.503863306586284,4164
2026-05-29,43.0.0,2026-05-29T06:26:39.457+00:00,70,5,1,0,651,4.50382977099922,4332
2026-05-30,43.0.0,2026-05-29T06:26:39.457+00:00,71,5,1,0,654,4.503845711673971,4343
2026-05-31,43.0.0,2026-05-29T06:26:39.457+00:00,71,5,1,0,659,4.503839176191725,4349
2026-06-01,43.0.0,2026-05-29T06:26:39.457+00:00,71,5,1,0,661,4.503862242482144,4353
2026-06-02,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,662,4.503781509546583,4373
2026-06-03,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,663,4.503716655709269,4375
2026-06-04,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,664,4.5037132858958895,4376
2026-06-05,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,664,4.503605249874365,4537
2026-06-06,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,664,4.503430320908198,4540
2026-06-07,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,664,4.5034299942693785,4540
2026-06-08,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,664,4.5034053148262,4541
2026-06-09,43.0.0,2026-05-29T06:26:39.457+00:00,72,5,1,0,664,4.503262384108327,4558
2026-06-10,43.0.0,2026-05-29T06:26:39.457+00:00,73,5,1,0,665,4.503080150882752,4559
2026-06-11,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,665,4.502745726328849,4738
2026-06-12,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,665,4.502834026157238,4739
2026-06-13,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,665,4.502656389238906,4739
2026-06-14,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,665,4.502586880288117,4741
2026-06-15,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,666,4.502623544965589,4743
2026-06-16,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,667,4.502508086560997,4744
2026-06-17,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,668,4.502569957797357,4745
2026-06-18,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,669,4.502570903681409,4746
2026-06-19,43.0.0,2026-05-29T06:26:39.457+00:00,74,5,1,0,670,4.502414483227145,4748
2026-06-20,43.0.0,2026-05-29T06:26:39.457+00:00,75,5,1,0,670,4.502222375491629,4749
2026-06-21,43.0.0,2026-05-29T06:26:39.457+00:00,75,5,1,0,670,4.502203292288616,4750
2026-06-22,43.0.0,2026-05-29T06:26:39.457+00:00,75,5,1,0,670,4.50205740953764,4751
2026-06-23,43.0.0,2026-05-29T06:26:39.457+00:00,75,5,1,0,670,4.501935152519366,4752
2026-06-24,43.0.0,2026-05-29T06:26:39.457+00:00,75,5,1,0,671,4.5019545412870805,4753
2026-06-25,43.0.0,2026-05-29T06:26:39.457+00:00,76,5,1,0,671,4.501939672410881,4754
2026-06-26,43.0.0,2026-05-29T06:26:39.457+00:00,76,5,1,0,671,4.501979953938031,4755
2026-06-27,43.0.0,2026-05-29T06:26:39.457+00:00,76,5,1,0,671,4.501913773339291,4756
2026-06-28,43.0.0,2026-05-29T06:26:39.457+00:00,76,5,1,0,671,4.501775784952443,4757
2026-06-29,43.0.0,2026-05-29T06:26:39.457+00:00,76,5,1,0,672,4.501820112618947,4759
2026-06-30,43.0.0,2026-05-29T06:26:39.457+00:00,77,5,1,0,672,4.501665054488658,4760
2026-07-01,43.0.0,2026-05-29T06:26:39.457+00:00,77,5,1,0,673,4.5017097054826465,4761
2026-07-02,43.0.0,2026-05-29T06:26:39.457+00:00,77,5,1,0,673,4.501613195456789,4808
2026-07-03,43.0.0,2026-05-29T06:26:39.457+00:00,78,5,1,0,674,4.501516850446745,4809
2026-07-04,43.0.0,2026-05-29T06:26:39.457+00:00,78,5,1,0,674,4.5015255916687025,4810
2026-07-05,43.0.0,2026-05-29T06:26:39.457+00:00,79,5,1,0,674,4.501438228182627,4811
