date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.0.0,2024-01-02T22:03:03.513+00:00,381,5,1,0,2,4.403204729309272,16
2024-11-26,1.0.0,2024-01-02T22:03:03.513+00:00,381,5,1,0,2,4.403204729309272,16
2024-11-27,1.0.0,2024-01-02T22:03:03.513+00:00,381,5,1,0,2,4.403204729309272,16
2024-11-28,1.0.0,2024-01-02T22:03:03.513+00:00,381,5,1,0,2,4.403204729309272,16
2024-11-29,1.0.0,2024-01-02T22:03:03.513+00:00,383,5,1,0,2,4.403204729309272,16
2024-11-30,1.0.0,2024-01-02T22:03:03.513+00:00,384,5,1,0,2,4.403204729309272,16
2024-12-01,1.0.0,2024-01-02T22:03:03.513+00:00,386,5,1,0,2,4.403204729309272,16
2024-12-02,1.0.0,2024-01-02T22:03:03.513+00:00,387,5,1,0,2,4.403204729309272,16
2024-12-03,1.0.0,2024-01-02T22:03:03.513+00:00,388,5,1,0,2,4.403204729309272,16
2024-12-04,1.0.0,2024-01-02T22:03:03.513+00:00,391,5,1,0,2,4.403204729309272,16
2024-12-05,1.0.0,2024-01-02T22:03:03.513+00:00,393,5,1,0,2,4.403204729309272,16
2024-12-06,1.0.0,2024-01-02T22:03:03.513+00:00,393,5,1,0,2,4.403204729309272,16
2024-12-07,1.0.0,2024-01-02T22:03:03.513+00:00,393,5,1,0,2,4.403204729309272,22
2024-12-08,1.0.0,2024-01-02T22:03:03.513+00:00,395,5,1,0,2,4.403204729309272,24
2024-12-09,1.0.0,2024-01-02T22:03:03.513+00:00,395,5,1,0,2,4.403204729309272,26
2024-12-10,1.0.0,2024-01-02T22:03:03.513+00:00,395,5,1,0,2,4.403204729309272,26
2024-12-11,1.0.0,2024-01-02T22:03:03.513+00:00,396,5,1,0,2,4.403204729309272,26
2024-12-12,1.0.0,2024-01-02T22:03:03.513+00:00,398,5,1,0,2,4.403204729309272,26
2024-12-13,1.0.0,2024-01-02T22:03:03.513+00:00,398,5,1,0,2,4.403204729309272,26
2024-12-14,1.0.0,2024-01-02T22:03:03.513+00:00,399,5,1,0,2,4.403204729309272,26
