date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.2.6,2024-01-31T15:20:41.2+00:00,2093,5,1,0,1520,4.457458844826611,71
2024-11-26,1.2.6,2024-01-31T15:20:41.2+00:00,2095,5,1,0,1520,4.457458844826611,72
2024-11-27,1.2.6,2024-01-31T15:20:41.2+00:00,2097,5,1,0,1520,4.457458844826611,72
2024-11-28,1.2.6,2024-01-31T15:20:41.2+00:00,2099,5,1,0.04764173415912339,1520,4.457458844826611,72
2024-11-29,1.2.6,2024-01-31T15:20:41.2+00:00,2100,5,1,0,1520,4.457458844826611,72
2024-11-30,1.2.6,2024-01-31T15:20:41.2+00:00,2101,5,1,0,1521,4.457458844826611,72
2024-12-01,1.2.6,2024-01-31T15:20:41.2+00:00,2102,5,1,0,1521,4.457458844826611,72
2024-12-02,1.2.6,2024-01-31T15:20:41.2+00:00,2102,5,1,0,1522,4.457458844826611,72
2024-12-03,1.2.6,2024-01-31T15:20:41.2+00:00,2102,5,1,0,1522,4.457458844826611,72
2024-12-04,1.2.6,2024-01-31T15:20:41.2+00:00,2102,5,1,0,1522,4.457458844826611,72
2024-12-05,1.2.6,2024-01-31T15:20:41.2+00:00,2104,5,1,0,1522,4.457458844826611,72
2024-12-06,1.2.6,2024-01-31T15:20:41.2+00:00,2105,5,1,0,1522,4.457458844826611,72
2024-12-07,1.2.6,2024-01-31T15:20:41.2+00:00,2105,5,1,0,1522,4.457458844826611,72
2024-12-08,1.2.6,2024-01-31T15:20:41.2+00:00,2105,5,1,0,1523,4.457458844826611,82
2024-12-09,1.2.6,2024-01-31T15:20:41.2+00:00,2107,5,1,0,1523,4.457458844826611,82
2024-12-10,1.2.6,2024-01-31T15:20:41.2+00:00,2109,5,1,0,1523,4.457458844826611,82
2024-12-11,1.2.6,2024-01-31T15:20:41.2+00:00,2112,5,1,0,1523,4.457458844826611,82
2024-12-12,1.2.6,2024-01-31T15:20:41.2+00:00,2113,5,1,0,1523,4.457458844826611,82
2024-12-13,1.2.6,2024-01-31T15:20:41.2+00:00,2114,5,1,0,1523,4.457458844826611,82
2024-12-14,1.2.6,2024-01-31T15:20:41.2+00:00,2114,5,1,0,1523,4.457458844826611,87
2024-12-15,1.2.6,2024-01-31T15:20:41.2+00:00,2115,5,1,0,1523,4.457458844826611,87
2024-12-16,1.2.6,2024-01-31T15:20:41.2+00:00,2115,5,1,0,1523,4.457458844826611,87
2024-12-17,1.2.6,2024-01-31T15:20:41.2+00:00,2115,5,1,0,1523,4.457458844826611,87
2024-12-17,1.2.6,2024-01-31T15:20:41.2+00:00,2116,5,1,0,1523,4.457458844826611,87
2024-12-18,1.2.6,2024-01-31T15:20:41.2+00:00,2117,5,1,0,1523,4.457458844826611,87
2024-12-19,1.2.6,2024-01-31T15:20:41.2+00:00,2118,5,1,0,1523,4.457458844826611,87
2024-12-20,1.2.6,2024-01-31T15:20:41.2+00:00,2118,5,1,0,1523,4.457458844826611,87
