date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.89.0,2019-09-21T22:21:43.653+00:00,32911,4.375,16,0,35862,4.385847972811259,326
2024-11-26,0.89.0,2019-09-21T22:21:43.653+00:00,32914,4.375,16,0,35862,4.385847972811259,326
2024-11-27,0.89.0,2019-09-21T22:21:43.653+00:00,32922,4.375,16,0,35862,4.385847972811259,327
2024-11-28,0.89.0,2019-09-21T22:21:43.653+00:00,32932,4.375,16,0,35862,4.385847972811259,328
2024-11-29,0.89.0,2019-09-21T22:21:43.653+00:00,32936,4.375,16,0,35862,4.385847972811259,328
2024-11-30,0.89.0,2019-09-21T22:21:43.653+00:00,32940,4.375,16,0,35862,4.385847972811259,328
2024-12-01,0.89.0,2019-09-21T22:21:43.653+00:00,32943,4.375,16,0,35862,4.385847972811259,328
2024-12-02,0.89.0,2019-09-21T22:21:43.653+00:00,32949,4.375,16,0,35862,4.385847972811259,328
2024-12-03,0.89.0,2019-09-21T22:21:43.653+00:00,32958,4.375,16,0,35862,4.385847972811259,328
2024-12-04,0.89.0,2019-09-21T22:21:43.653+00:00,32961,4.375,16,0,35862,4.385847972811259,328
2024-12-05,0.89.0,2019-09-21T22:21:43.653+00:00,32968,4.375,16,0,35862,4.385847972811259,329
2024-12-06,0.89.0,2019-09-21T22:21:43.653+00:00,32975,4.375,16,0,35862,4.385847972811259,329
2024-12-07,0.89.0,2019-09-21T22:21:43.653+00:00,32977,4.375,16,0,35862,4.385847972811259,329
2024-12-08,0.89.0,2019-09-21T22:21:43.653+00:00,32980,4.375,16,0,35862,4.385847972811259,329
2024-12-09,0.89.0,2019-09-21T22:21:43.653+00:00,32983,4.375,16,0,35862,4.385847972811259,338
2024-12-10,0.89.0,2019-09-21T22:21:43.653+00:00,32993,4.375,16,0,35862,4.385847972811259,338
2024-12-11,0.89.0,2019-09-21T22:21:43.653+00:00,33003,4.375,16,0,35862,4.385847972811259,338
2024-12-12,0.89.0,2019-09-21T22:21:43.653+00:00,33018,4.375,16,0,35862,4.385847972811259,338
2024-12-13,0.89.0,2019-09-21T22:21:43.653+00:00,33024,4.375,16,0,35862,4.385847972811259,338
2024-12-14,0.89.0,2019-09-21T22:21:43.653+00:00,33035,4.375,16,0,35862,4.385847972811259,339
2024-12-15,0.89.0,2019-09-21T22:21:43.653+00:00,33039,4.375,16,0,35862,4.385847972811259,339
2024-12-16,0.89.0,2019-09-21T22:21:43.653+00:00,33047,4.375,16,0.006052719184093454,35862,4.385847972811259,339
2024-12-17,0.89.0,2019-09-21T22:21:43.653+00:00,33055,4.375,16,0.006052719184093454,35862,4.385847972811259,339
2024-12-17,0.89.0,2019-09-21T22:21:43.653+00:00,33058,4.375,16,0,35862,4.385847972811259,339
2024-12-18,0.89.0,2019-09-21T22:21:43.653+00:00,33067,4.375,16,0,35862,4.385847972811259,339
2024-12-19,0.89.0,2019-09-21T22:21:43.653+00:00,33075,4.375,16,0,35862,4.385847972811259,339
2024-12-20,0.89.0,2019-09-21T22:21:43.653+00:00,33091,4.375,16,0,35862,4.385847972811259,339
2024-12-21,0.89.0,2019-09-21T22:21:43.653+00:00,33095,4.375,16,0,35862,4.385847972811259,340
2024-12-22,0.89.0,2019-09-21T22:21:43.653+00:00,33100,4.375,16,0,35862,4.385847972811259,340
2024-12-23,0.89.0,2019-09-21T22:21:43.653+00:00,33108,4.375,16,0,35862,4.385847972811259,340
2024-12-24,0.89.0,2019-09-21T22:21:43.653+00:00,33116,4.375,16,0,35862,4.385847972811259,340
2024-12-25,0.89.0,2019-09-21T22:21:43.653+00:00,33120,4.375,16,0,35862,4.385847972811259,340
2024-12-26,0.89.0,2019-09-21T22:21:43.653+00:00,33130,4.375,16,0,35862,4.385847972811259,340
2024-12-27,0.89.0,2019-09-21T22:21:43.653+00:00,33134,4.375,16,0,35862,4.385847972811259,340
2024-12-28,0.89.0,2019-09-21T22:21:43.653+00:00,33142,4.375,16,0,35865,4.385847972811259,340
2024-12-29,0.89.0,2019-09-21T22:21:43.653+00:00,33143,4.375,16,0,35865,4.385847972811259,340
2024-12-30,0.89.0,2019-09-21T22:21:43.653+00:00,33145,4.375,16,0.003017046311660884,35865,4.385847972811259,340
2024-12-31,0.89.0,2019-09-21T22:21:43.653+00:00,33147,4.375,16,0,35865,4.385847972811259,340
2025-01-01,0.89.0,2019-09-21T22:21:43.653+00:00,33149,4.375,16,0,35865,4.385847972811259,340
2025-01-02,0.89.0,2019-09-21T22:21:43.653+00:00,33155,4.375,16,0,35865,4.385847972811259,340
2025-01-03,0.89.0,2019-09-21T22:21:43.653+00:00,33160,4.375,16,0,35865,4.385847972811259,340
2025-01-04,0.89.0,2019-09-21T22:21:43.653+00:00,33165,4.375,16,0,35865,4.385847972811259,342
2025-01-05,0.89.0,2019-09-21T22:21:43.653+00:00,33172,4.375,16,0,35865,4.385847972811259,342
2025-01-06,0.89.0,2019-09-21T22:21:43.653+00:00,33177,4.375,16,0,35865,4.385847972811259,342
2025-01-07,0.89.0,2019-09-21T22:21:43.653+00:00,33184,4.375,16,0,35865,4.385847972811259,342
2025-01-08,0.89.0,2019-09-21T22:21:43.653+00:00,33193,4.375,16,0,35865,4.385847972811259,343
2025-01-09,0.89.0,2019-09-21T22:21:43.653+00:00,33200,4.375,16,0,35865,4.385847972811259,343
2025-01-10,0.89.0,2019-09-21T22:21:43.653+00:00,33210,4.375,16,0,35865,4.385847972811259,343
2025-01-11,0.89.0,2019-09-21T22:21:43.653+00:00,33214,4.375,16,0,35865,4.385847972811259,343
2025-01-12,0.89.0,2019-09-21T22:21:43.653+00:00,33217,4.375,16,0,35865,4.385847972811259,343
2025-01-13,0.89.0,2019-09-21T22:21:43.653+00:00,33229,4.375,16,0,35865,4.385847972811259,343
2025-01-14,0.89.0,2019-09-21T22:21:43.653+00:00,33238,4.375,16,0,35865,4.385847972811259,343
2025-01-15,0.89.0,2019-09-21T22:21:43.653+00:00,33242,4.375,16,0,35865,4.385847972811259,343
2025-01-16,0.89.0,2019-09-21T22:21:43.653+00:00,33257,4.375,16,0,35865,4.385847972811259,343
2025-01-17,0.89.0,2019-09-21T22:21:43.653+00:00,33269,4.375,16,0,35865,4.385847972811259,343
2025-01-18,0.89.0,2019-09-21T22:21:43.653+00:00,33272,4.375,16,0,35865,4.385847972811259,343
2025-01-19,0.89.0,2019-09-21T22:21:43.653+00:00,33281,4.375,16,0.00300507858280494,35865,4.385847972811259,343
2025-01-20,0.89.0,2019-09-21T22:21:43.653+00:00,33290,4.375,16,0,35865,4.385847972811259,343
2025-01-21,0.89.0,2019-09-21T22:21:43.653+00:00,33302,4.375,16,0.006006366748753679,35865,4.385847972811259,343
2025-01-22,0.89.0,2019-09-21T22:21:43.653+00:00,33313,4.375,16,0,35866,4.385847972811259,343
2025-01-23,0.89.0,2019-09-21T22:21:43.653+00:00,33322,4.375,16,0,35866,4.385847972811259,472
2025-01-24,0.89.0,2019-09-21T22:21:43.653+00:00,33334,4.375,16,0,35866,4.385847972811259,472
2025-01-25,0.89.0,2019-09-21T22:21:43.653+00:00,33342,4.375,16,0,35866,4.385847972811259,472
2025-01-26,0.89.0,2019-09-21T22:21:43.653+00:00,33344,4.375,16,0,35866,4.385847972811259,472
2025-01-27,0.89.0,2019-09-21T22:21:43.653+00:00,33348,4.375,16,0,35866,4.385847972811259,472
2025-01-28,0.89.0,2019-09-21T22:21:43.653+00:00,33354,4.375,16,0,35866,4.385847972811259,472
2025-01-29,0.89.0,2019-09-21T22:21:43.653+00:00,33374,4.375,16,0,35866,4.385847972811259,472
2025-01-30,0.89.0,2019-09-21T22:21:43.653+00:00,33380,4.375,16,0.0029958058717795086,35866,4.385847972811259,472
2025-01-31,0.89.0,2019-09-21T22:21:43.653+00:00,33388,4.375,16,0,35866,4.385847972811259,472
2025-02-01,0.89.0,2019-09-21T22:21:43.653+00:00,33391,4.375,16,0,35866,4.385847972811259,472
2025-02-02,0.89.0,2019-09-21T22:21:43.653+00:00,33396,4.375,16,0,35866,4.385847972811259,472
