date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-06-15,0.0.1,2025-06-14T22:33:42.62+00:00,1,5,1,0,8,4.403204729309272,3
2025-06-16,0.0.1,2025-06-14T22:33:42.62+00:00,1,5,1,0,8,4.403204729309272,7
2025-06-17,0.0.1,2025-06-14T22:33:42.62+00:00,1,5,1,0,8,4.403204729309272,9
2025-06-18,0.0.2,2025-06-17T20:08:46.703+00:00,1,5,1,0,8,4.403204729309272,12
2025-06-19,0.0.3,2025-06-18T18:42:50.957+00:00,1,5,1,0,1,4.403204729309272,17
2025-06-20,0.0.3,2025-06-18T18:42:50.957+00:00,1,5,1,0,2,4.403204729309272,23
2025-06-21,0.0.3,2025-06-18T18:42:50.957+00:00,1,5,1,0,2,4.403204729309272,26
2025-06-22,0.0.3,2025-06-18T18:42:50.957+00:00,1,5,1,0,2,4.403204729309272,27
2025-06-23,0.0.3,2025-06-18T18:42:50.957+00:00,1,5,1,0,2,4.403204729309272,28
2025-06-24,0.0.3,2025-06-18T18:42:50.957+00:00,3,5,1,0,2,4.403204729309272,29
2025-06-25,0.0.3,2025-06-18T18:42:50.957+00:00,3,5,1,0,2,4.403204729309272,30
2025-06-26,0.0.3,2025-06-18T18:42:50.957+00:00,4,5,1,0,2,4.403204729309272,31
2025-06-27,0.0.3,2025-06-18T18:42:50.957+00:00,5,5,1,0,2,4.403204729309272,31
2025-06-28,0.0.3,2025-06-18T18:42:50.957+00:00,5,5,1,0,2,4.403204729309272,32
2025-06-29,0.0.3,2025-06-18T18:42:50.957+00:00,5,5,1,0,2,4.403204729309272,33
2025-06-30,0.0.3,2025-06-18T18:42:50.957+00:00,5,5,2,0,2,4.403204729309272,34
2025-07-01,0.0.3,2025-06-18T18:42:50.957+00:00,5,5,2,0,2,4.403204729309272,35
2025-07-02,0.0.3,2025-06-18T18:42:50.957+00:00,6,5,2,0,2,4.403204729309272,36
2025-07-03,0.0.3,2025-06-18T18:42:50.957+00:00,6,5,1,0,2,4.403204729309272,36
2025-07-04,0.0.3,2025-06-18T18:42:50.957+00:00,6,5,1,0,2,4.403204729309272,37
