date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,1.6.606,2023-01-13T01:17:11.117+00:00,54453,5,2,0,138277,4.502670607757727,814
2024-11-26,1.6.606,2023-01-13T01:17:11.117+00:00,54454,5,2,0,138277,4.502670607757727,814
2024-11-27,1.6.606,2023-01-13T01:17:11.117+00:00,54478,5,2,0,138278,4.502670607757727,815
2024-11-28,1.6.606,2023-01-13T01:17:11.117+00:00,54506,5,2,0,138278,4.502670607757727,815
2024-11-29,1.6.606,2023-01-13T01:17:11.117+00:00,54528,5,2,0,138281,4.502670607757727,817
2024-11-30,1.6.606,2023-01-13T01:17:11.117+00:00,54543,5,2,0.001833583923136162,138283,4.502670607757727,817
2024-12-01,1.6.606,2023-01-13T01:17:11.117+00:00,54555,5,2,0,138283,4.502670607757727,817
2024-12-02,1.6.606,2023-01-13T01:17:11.117+00:00,54585,5,2,0.003665084571826495,138284,4.502670607757727,817
2024-12-03,1.6.606,2023-01-13T01:17:11.117+00:00,54619,5,2,0,138285,4.502670607757727,817
2024-12-04,1.6.606,2023-01-13T01:17:11.117+00:00,54645,5,2,0.0018303285439736432,138285,4.502670607757727,819
2024-12-05,1.6.606,2023-01-13T01:17:11.117+00:00,54669,5,2,0,138285,4.502670607757727,819
2024-12-06,1.6.606,2023-01-13T01:17:11.117+00:00,54689,5,2,0,138285,4.502670607757727,819
2024-12-07,1.6.606,2023-01-13T01:17:11.117+00:00,54704,5,2,0,138285,4.502670607757727,829
2024-12-08,1.6.606,2023-01-13T01:17:11.117+00:00,54721,5,2,0,138288,4.502670607757727,829
2024-12-09,1.6.606,2023-01-13T01:17:11.117+00:00,54737,5,2,0.003654369712583822,138288,4.502670607757727,830
2024-12-10,1.6.606,2023-01-13T01:17:11.117+00:00,54756,5,2,0,138288,4.502670607757727,830
2024-12-11,1.6.606,2023-01-13T01:17:11.117+00:00,54778,5,2,0,138288,4.502670607757727,830
2024-12-12,1.6.606,2023-01-13T01:17:11.117+00:00,54807,5,2,0,138288,4.502670607757727,830
2024-12-13,1.6.606,2023-01-13T01:17:11.117+00:00,54847,5,2,0.0018238856058947982,138288,4.502670607757727,830
2024-12-14,1.6.606,2023-01-13T01:17:11.117+00:00,54865,5,2,0.0018229214138578487,138288,4.502670607757727,830
2024-12-15,1.6.606,2023-01-13T01:17:11.117+00:00,54881,5,2,0,138288,4.502670607757727,830
2024-12-16,1.6.606,2023-01-13T01:17:11.117+00:00,54910,5,2,0,138288,4.502670607757727,830
2024-12-17,1.6.606,2023-01-13T01:17:11.117+00:00,54919,5,2,0,138288,4.502670607757727,830
2024-12-17,1.6.606,2023-01-13T01:17:11.117+00:00,54935,5,2,0.0054622919777138484,138288,4.502670607757727,830
2024-12-18,1.6.606,2023-01-13T01:17:11.117+00:00,54961,5,2,0.0018200018200018198,138288,4.502670607757727,830
2024-12-19,1.6.606,2023-01-13T01:17:11.117+00:00,54989,5,2,0,138289,4.502670607757727,832
2024-12-20,1.6.606,2023-01-13T01:17:11.117+00:00,55010,5,2,0,138289,4.502670607757727,832
2024-12-21,1.6.606,2023-01-13T01:17:11.117+00:00,55021,5,2,0,138290,4.502670607757727,832
2024-12-22,1.6.606,2023-01-13T01:17:11.117+00:00,55036,5,2,0.0018171576020788284,138290,4.502670607757727,832
2024-12-23,1.6.606,2023-01-13T01:17:11.117+00:00,55053,5,2,0.001816860465116279,138292,4.502670607757727,832
2024-12-24,1.6.606,2023-01-13T01:17:11.117+00:00,55071,5,2,0.0018161345392466673,138293,4.502670607757727,832
2024-12-25,1.6.606,2023-01-13T01:17:11.117+00:00,55087,5,2,0,138295,4.502670607757727,832
2024-12-26,1.6.606,2023-01-13T01:17:11.117+00:00,55103,5,2,0,138295,4.502670607757727,832
2024-12-27,1.6.606,2023-01-13T01:17:11.117+00:00,55120,5,2,0,138296,4.502670607757727,832
2024-12-28,1.6.606,2023-01-13T01:17:11.117+00:00,55137,5,2,0,138296,4.502670607757727,832
2024-12-29,1.6.606,2023-01-13T01:17:11.117+00:00,55154,5,2,0,138297,4.502670607757727,833
2024-12-30,1.6.606,2023-01-13T01:17:11.117+00:00,55169,5,2,0,138297,4.502670607757727,833
2024-12-31,1.6.606,2023-01-13T01:17:11.117+00:00,55190,5,2,0,138297,4.502670607757727,833
2025-01-01,1.6.606,2023-01-13T01:17:11.117+00:00,55204,5,2,0,138297,4.502670607757727,833
2025-01-02,1.6.606,2023-01-13T01:17:11.117+00:00,55220,5,2,0,138298,4.502670607757727,834
2025-01-03,1.6.606,2023-01-13T01:17:11.117+00:00,55236,5,2,0,138299,4.502670607757727,834
2025-01-04,1.6.606,2023-01-13T01:17:11.117+00:00,55249,5,2,0,138299,4.502670607757727,836
2025-01-05,1.6.606,2023-01-13T01:17:11.117+00:00,55255,5,2,0,138301,4.502670607757727,836
2025-01-06,1.6.606,2023-01-13T01:17:11.117+00:00,55267,5,2,0.0018094962362478284,138301,4.502670607757727,836
2025-01-07,1.6.606,2023-01-13T01:17:11.117+00:00,55295,5,2,0.0018088416178279432,138303,4.502670607757727,837
2025-01-08,1.6.606,2023-01-13T01:17:11.117+00:00,55324,5,2,0,138303,4.502670607757727,838
2025-01-09,1.6.606,2023-01-13T01:17:11.117+00:00,55347,5,2,0.0018070438569544082,138303,4.502670607757727,839
2025-01-10,1.6.606,2023-01-13T01:17:11.117+00:00,55375,5,2,0.0036129125494517404,138303,4.502670607757727,840
2025-01-11,1.6.606,2023-01-13T01:17:11.117+00:00,55393,5,2,0.0018055104177951105,138303,4.502670607757727,841
2025-01-12,1.6.606,2023-01-13T01:17:11.117+00:00,55402,5,2,0,138303,4.502670607757727,841
2025-01-13,1.6.606,2023-01-13T01:17:11.117+00:00,55424,5,2,0.0018046958185197887,138304,4.502670607757727,841
2025-01-14,1.6.606,2023-01-13T01:17:11.117+00:00,55447,5,2,0.0018037518037518038,138304,4.502670607757727,843
2025-01-15,1.6.606,2023-01-13T01:17:11.117+00:00,55469,5,2,0.0018031663601283856,138304,4.502670607757727,843
2025-01-16,1.6.606,2023-01-13T01:17:11.117+00:00,55485,5,2,0,138305,4.502670607757727,843
