date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.0.24,2024-11-18T15:29:32.92+00:00,103,5,1,0,211,4.457458844826611,50
2024-11-26,0.0.24,2024-11-18T15:29:32.92+00:00,103,5,1,0,211,4.457458844826611,50
2024-11-27,0.0.24,2024-11-18T15:29:32.92+00:00,103,5,1,0,211,4.457458844826611,50
2024-11-28,0.0.24,2024-11-18T15:29:32.92+00:00,103,5,1,0,211,4.457458844826611,50
2024-11-29,0.0.24,2024-11-18T15:29:32.92+00:00,104,5,1,0,211,4.457458844826611,50
2024-11-30,0.0.24,2024-11-18T15:29:32.92+00:00,104,5,1,0,211,4.457458844826611,50
2024-12-01,0.0.25,2024-11-30T20:34:05.35+00:00,104,5,1,0,218,4.457458844826611,50
2024-12-02,0.0.25,2024-11-30T20:34:05.35+00:00,104,5,1,0,224,4.457458844826611,50
2024-12-03,0.0.25,2024-11-30T20:34:05.35+00:00,104,5,1,0,230,4.457458844826611,52
2024-12-04,0.0.25,2024-11-30T20:34:05.35+00:00,105,5,1,0,235,4.457458844826611,52
2024-12-05,0.0.25,2024-11-30T20:34:05.35+00:00,105,5,1,0,236,4.457458844826611,52
2024-12-06,0.0.25,2024-11-30T20:34:05.35+00:00,105,5,1,0,236,4.457458844826611,52
2024-12-07,0.0.25,2024-11-30T20:34:05.35+00:00,106,5,1,0,238,4.457458844826611,52
2024-12-08,0.0.25,2024-11-30T20:34:05.35+00:00,107,5,1,0,238,4.457458844826611,52
2024-12-09,0.0.25,2024-11-30T20:34:05.35+00:00,107,5,1,0,238,4.457458844826611,52
2024-12-10,0.0.25,2024-11-30T20:34:05.35+00:00,110,5,1,0,239,4.457458844826611,52
2024-12-11,0.0.25,2024-11-30T20:34:05.35+00:00,110,5,1,0,241,4.457458844826611,52
2024-12-12,0.0.25,2024-11-30T20:34:05.35+00:00,110,5,1,0,241,4.457458844826611,52
2024-12-13,0.0.25,2024-11-30T20:34:05.35+00:00,110,5,1,0,243,4.457458844826611,52
2024-12-14,0.0.25,2024-11-30T20:34:05.35+00:00,111,5,1,0,243,4.457458844826611,52
2024-12-15,0.0.25,2024-11-30T20:34:05.35+00:00,112,5,1,0,243,4.457458844826611,52
2024-12-16,0.0.25,2024-11-30T20:34:05.35+00:00,113,5,1,0,244,4.457458844826611,52
2024-12-17,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,244,4.457458844826611,52
2024-12-17,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,244,4.457458844826611,52
2024-12-18,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,244,4.457458844826611,52
2024-12-19,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,246,4.457458844826611,52
2024-12-20,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,246,4.457458844826611,52
2024-12-21,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,247,4.457458844826611,58
2024-12-22,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,247,4.457458844826611,58
2024-12-23,0.0.25,2024-11-30T20:34:05.35+00:00,114,5,1,0,247,4.457458844826611,58
2024-12-24,0.0.25,2024-11-30T20:34:05.35+00:00,115,5,1,0,247,4.457458844826611,58
2024-12-25,0.0.25,2024-11-30T20:34:05.35+00:00,115,5,1,0,247,4.457458844826611,58
2024-12-26,0.0.25,2024-11-30T20:34:05.35+00:00,115,5,1,0,247,4.457458844826611,58
2024-12-27,0.0.25,2024-11-30T20:34:05.35+00:00,115,5,1,0,247,4.457458844826611,58
