date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,3.2.0,2024-06-02T17:34:38.703+00:00,1825,5,3,0,1583,4.540926714853287,54
2024-11-26,3.2.0,2024-06-02T17:34:38.703+00:00,1826,5,3,0,1583,4.540926714853287,54
2024-11-27,3.2.0,2024-06-02T17:34:38.703+00:00,1828,5,3,0,1584,4.540926714853287,54
2024-11-28,3.2.0,2024-06-02T17:34:38.703+00:00,1834,5,3,0.05455537370430987,1584,4.540926714853287,54
2024-11-29,3.2.0,2024-06-02T17:34:38.703+00:00,1837,5,3,0,1585,4.540926714853287,54
2024-11-30,3.2.0,2024-06-02T17:34:38.703+00:00,1839,5,3,0,1585,4.540926714853287,54
2024-12-01,3.2.0,2024-06-02T17:34:38.703+00:00,1840,5,3,0,1585,4.540926714853287,54
2024-12-02,3.2.0,2024-06-02T17:34:38.703+00:00,1845,5,3,0,1585,4.540926714853287,54
2024-12-03,3.2.0,2024-06-02T17:34:38.703+00:00,1852,5,3,0.05399568034557236,1585,4.540926714853287,54
2024-12-04,3.2.0,2024-06-02T17:34:38.703+00:00,1858,5,3,0,1586,4.540926714853287,54
2024-12-05,3.2.0,2024-06-02T17:34:38.703+00:00,1859,5,3,0,1588,4.540926714853287,54
2024-12-06,3.3.0,2024-12-05T12:55:54.613+00:00,1865,5,3,0,1809,4.540926714853287,58
2024-12-07,3.3.0,2024-12-05T12:55:54.613+00:00,1868,5,3,0,1853,4.540926714853287,58
2024-12-08,3.3.0,2024-12-05T12:55:54.613+00:00,1874,5,3,0,1873,4.540926714853287,58
2024-12-09,3.3.0,2024-12-05T12:55:54.613+00:00,1877,5,3,0,1909,4.540926714853287,63
2024-12-10,3.3.0,2024-12-05T12:55:54.613+00:00,1879,5,3,0,1936,4.540926714853287,63
2024-12-11,3.3.0,2024-12-05T12:55:54.613+00:00,1880,5,3,0,1951,4.540926714853287,63
2024-12-12,3.3.0,2024-12-05T12:55:54.613+00:00,1882,5,3,0,1970,4.540926714853287,63
2024-12-13,3.3.0,2024-12-05T12:55:54.613+00:00,1884,5,3,0,1980,4.540926714853287,63
2024-12-14,3.3.0,2024-12-05T12:55:54.613+00:00,1886,5,3,0,1984,4.540926714853287,63
2024-12-15,3.3.0,2024-12-05T12:55:54.613+00:00,1889,5,3,0.05296610169491525,1986,4.540926714853287,63
2024-12-16,3.3.0,2024-12-05T12:55:54.613+00:00,1892,5,3,0,1996,4.540926714853287,63
2024-12-17,3.3.0,2024-12-05T12:55:54.613+00:00,1893,5,3,0,1999,4.540926714853287,63
2024-12-17,3.3.0,2024-12-05T12:55:54.613+00:00,1895,5,3,0,1999,4.540926714853287,63
2024-12-18,3.3.0,2024-12-05T12:55:54.613+00:00,1896,5,3,0.05274261603375527,2007,4.540926714853287,63
2024-12-19,3.3.0,2024-12-05T12:55:54.613+00:00,1899,5,3,0.0526592943654555,2012,4.540926714853287,63
2024-12-20,3.3.0,2024-12-05T12:55:54.613+00:00,1902,5,3,0.052603892688058915,2016,4.540926714853287,63
2024-12-21,3.3.0,2024-12-05T12:55:54.613+00:00,1904,5,3,0,2018,4.540926714853287,64
2024-12-22,3.3.0,2024-12-05T12:55:54.613+00:00,1906,5,3,0,2019,4.540926714853287,64
2024-12-23,3.3.0,2024-12-05T12:55:54.613+00:00,1911,5,3,0,2020,4.540926714853287,64
2024-12-24,3.3.0,2024-12-05T12:55:54.613+00:00,1915,5,3,0,2023,4.540926714853287,64
2024-12-25,3.3.0,2024-12-05T12:55:54.613+00:00,1919,5,3,0,2025,4.540926714853287,64
2024-12-26,3.3.0,2024-12-05T12:55:54.613+00:00,1919,5,3,0,2027,4.540926714853287,64
2024-12-27,3.3.0,2024-12-05T12:55:54.613+00:00,1921,5,3,0,2028,4.540926714853287,64
2024-12-28,3.3.0,2024-12-05T12:55:54.613+00:00,1922,5,3,0.052029136316337155,2032,4.540926714853287,64
2024-12-29,3.3.0,2024-12-05T12:55:54.613+00:00,1924,5,3,0,2036,4.540926714853287,64
2024-12-30,3.3.0,2024-12-05T12:55:54.613+00:00,1928,5,3,0,2036,4.540926714853287,64
2024-12-31,3.3.0,2024-12-05T12:55:54.613+00:00,1931,5,3,0,2039,4.540926714853287,64
2025-01-01,3.3.0,2024-12-05T12:55:54.613+00:00,1931,5,3,0,2039,4.540926714853287,64
2025-01-02,3.3.0,2024-12-05T12:55:54.613+00:00,1934,5,3,0,2040,4.540926714853287,64
2025-01-03,3.3.0,2024-12-05T12:55:54.613+00:00,1938,5,3,0,2042,4.540926714853287,64
2025-01-04,3.3.0,2024-12-05T12:55:54.613+00:00,1940,5,3,0,2044,4.540926714853287,66
2025-01-05,3.3.0,2024-12-05T12:55:54.613+00:00,1943,5,3,0,2045,4.540926714853287,66
2025-01-06,3.3.0,2024-12-05T12:55:54.613+00:00,1948,5,3,0,2047,4.540926714853287,66
2025-01-07,3.3.0,2024-12-05T12:55:54.613+00:00,1951,5,3,0,2049,4.540926714853287,66
2025-01-08,3.3.0,2024-12-05T12:55:54.613+00:00,1955,5,3,0,2053,4.540926714853287,66
2025-01-09,3.3.0,2024-12-05T12:55:54.613+00:00,1961,5,3,0,2055,4.540926714853287,66
2025-01-10,3.3.0,2024-12-05T12:55:54.613+00:00,1967,5,3,0,2059,4.540926714853287,66
2025-01-11,3.3.0,2024-12-05T12:55:54.613+00:00,1969,5,3,0,2059,4.540926714853287,66
2025-01-12,3.3.0,2024-12-05T12:55:54.613+00:00,1972,5,3,0,2059,4.540926714853287,66
2025-01-13,3.3.0,2024-12-05T12:55:54.613+00:00,1976,5,3,0,2060,4.540926714853287,66
2025-01-14,3.3.0,2024-12-05T12:55:54.613+00:00,1986,5,3,0,2063,4.540926714853287,66
2025-01-15,3.3.0,2024-12-05T12:55:54.613+00:00,1990,5,3,0,2065,4.540926714853287,66
2025-01-16,3.3.0,2024-12-05T12:55:54.613+00:00,1993,5,3,0,2069,4.540926714853287,66
2025-01-17,3.3.0,2024-12-05T12:55:54.613+00:00,2001,5,3,0,2069,4.540926714853287,66
2025-01-18,3.3.0,2024-12-05T12:55:54.613+00:00,2006,5,3,0,2071,4.540926714853287,66
2025-01-19,3.3.0,2024-12-05T12:55:54.613+00:00,2010,5,3,0,2072,4.540926714853287,66
2025-01-20,3.3.0,2024-12-05T12:55:54.613+00:00,2013,5,3,0,2073,4.540926714853287,66
2025-01-21,3.3.0,2024-12-05T12:55:54.613+00:00,2017,5,3,0,2075,4.540926714853287,66
2025-01-22,3.3.0,2024-12-05T12:55:54.613+00:00,2020,5,3,0,2078,4.540926714853287,66
2025-01-23,3.3.0,2024-12-05T12:55:54.613+00:00,2024,5,3,0,2078,4.540926714853287,66
2025-01-24,3.3.0,2024-12-05T12:55:54.613+00:00,2029,5,3,0.04930966469428008,2079,4.540926714853287,66
2025-01-25,3.3.0,2024-12-05T12:55:54.613+00:00,2034,5,3,0.04918839153959665,2079,4.540926714853287,66
2025-01-26,3.3.0,2024-12-05T12:55:54.613+00:00,2037,5,3,0,2079,4.540926714853287,66
2025-01-27,3.3.0,2024-12-05T12:55:54.613+00:00,2040,5,3,0,2079,4.540926714853287,66
2025-01-28,3.3.0,2024-12-05T12:55:54.613+00:00,2046,5,3,0,2080,4.540926714853287,66
2025-01-29,3.3.0,2024-12-05T12:55:54.613+00:00,2048,5,3,0,2080,4.540926714853287,66
2025-01-30,3.3.0,2024-12-05T12:55:54.613+00:00,2053,5,3,0,2082,4.540926714853287,66
2025-01-31,3.3.0,2024-12-05T12:55:54.613+00:00,2057,5,3,0,2085,4.540926714853287,66
2025-02-01,3.3.0,2024-12-05T12:55:54.613+00:00,2058,5,3,0,2085,4.540926714853287,66
2025-02-02,3.3.0,2024-12-05T12:55:54.613+00:00,2063,5,3,0,2085,4.540926714853287,66
2025-02-03,3.3.0,2024-12-05T12:55:54.613+00:00,2065,5,3,0,2085,4.540926714853287,66
2025-02-04,3.3.0,2024-12-05T12:55:54.613+00:00,2067,5,3,0,2085,4.540926714853287,66
2025-02-05,3.3.0,2024-12-05T12:55:54.613+00:00,2069,5,3,0,2086,4.540926714853287,66
2025-02-06,3.3.0,2024-12-05T12:55:54.613+00:00,2072,5,3,0,2086,4.540926714853287,66
2025-02-07,3.3.0,2024-12-05T12:55:54.613+00:00,2075,5,3,0,2087,4.540926714853287,66
2025-02-08,3.3.0,2024-12-05T12:55:54.613+00:00,2078,5,3,0,2087,4.540926714853287,66
2025-02-09,3.3.0,2024-12-05T12:55:54.613+00:00,2079,5,3,0,2089,4.540926714853287,66
2025-02-10,3.3.0,2024-12-05T12:55:54.613+00:00,2080,5,3,0,2090,4.540926714853287,66
2025-02-11,3.3.0,2024-12-05T12:55:54.613+00:00,2085,5,3,0,2092,4.540926714853287,66
2025-02-12,3.3.0,2024-12-05T12:55:54.613+00:00,2089,5,3,0,2092,4.540926714853287,66
2025-02-13,3.3.0,2024-12-05T12:55:54.613+00:00,2094,5,3,0,2092,4.540926714853287,108
2025-02-14,3.3.0,2024-12-05T12:55:54.613+00:00,2096,5,3,0,2092,4.540926714853287,130
2025-02-15,3.3.0,2024-12-05T12:55:54.613+00:00,2097,5,3,0,2092,4.540926714853287,150
