date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2024-11-26,0.1.6,2021-08-28T10:05:33.873+00:00,4274,5,5,0,96,4.403204729309272,111
2024-11-26,0.1.6,2021-08-28T10:05:33.873+00:00,4274,5,5,0,96,4.403204729309272,111
2024-11-27,0.1.6,2021-08-28T10:05:33.873+00:00,4276,5,5,0,96,4.403204729309272,111
2024-11-28,0.1.6,2021-08-28T10:05:33.873+00:00,4278,5,1,0,96,4.403204729309272,111
2024-11-29,0.1.6,2021-08-28T10:05:33.873+00:00,4281,5,2,0,96,4.403204729309272,111
2024-11-30,0.1.6,2021-08-28T10:05:33.873+00:00,4284,5,5,0,96,4.403204729309272,111
2024-12-01,0.1.6,2021-08-28T10:05:33.873+00:00,4287,5,2,0,96,4.403204729309272,111
2024-12-02,0.1.6,2021-08-28T10:05:33.873+00:00,4288,5,2,0,96,4.403204729309272,111
2024-12-03,0.1.6,2021-08-28T10:05:33.873+00:00,4293,5,1,0,96,4.403204729309272,112
2024-12-04,0.1.6,2021-08-28T10:05:33.873+00:00,4298,5,1,0,96,4.403204729309272,112
2024-12-05,0.1.6,2021-08-28T10:05:33.873+00:00,4303,5,1,0,96,4.403204729309272,112
2024-12-06,0.1.6,2021-08-28T10:05:33.873+00:00,4305,5,1,0,96,4.403204729309272,112
2024-12-07,0.1.6,2021-08-28T10:05:33.873+00:00,4308,5,1,0,96,4.403204729309272,112
2024-12-08,0.1.6,2021-08-28T10:05:33.873+00:00,4310,5,1,0,96,4.403204729309272,120
2024-12-09,0.1.6,2021-08-28T10:05:33.873+00:00,4312,5,1,0,96,4.403204729309272,120
2024-12-10,0.1.6,2021-08-28T10:05:33.873+00:00,4313,5,1,0,96,4.403204729309272,120
2024-12-11,0.1.6,2021-08-28T10:05:33.873+00:00,4315,5,1,0,96,4.403204729309272,120
2024-12-12,0.1.6,2021-08-28T10:05:33.873+00:00,4317,5,5,0,96,4.403204729309272,120
2024-12-13,0.1.6,2021-08-28T10:05:33.873+00:00,4320,5,5,0,96,4.403204729309272,120
2024-12-14,0.1.6,2021-08-28T10:05:33.873+00:00,4324,5,5,0,96,4.403204729309272,120
2024-12-15,0.1.6,2021-08-28T10:05:33.873+00:00,4326,5,1,0.02311604253351826,96,4.403204729309272,120
2024-12-16,0.1.6,2021-08-28T10:05:33.873+00:00,4330,5,1,0,96,4.403204729309272,120
2024-12-17,0.1.6,2021-08-28T10:05:33.873+00:00,4333,5,1,0,96,4.403204729309272,121
2024-12-17,0.1.6,2021-08-28T10:05:33.873+00:00,4337,5,1,0,96,4.403204729309272,121
2024-12-18,0.1.6,2021-08-28T10:05:33.873+00:00,4339,5,1,0,96,4.403204729309272,121
2024-12-19,0.1.6,2021-08-28T10:05:33.873+00:00,4342,5,1,0,96,4.403204729309272,121
2024-12-20,0.1.6,2021-08-28T10:05:33.873+00:00,4343,5,1,0,96,4.403204729309272,121
2024-12-21,0.1.6,2021-08-28T10:05:33.873+00:00,4343,5,5,0,96,4.403204729309272,121
2024-12-22,0.1.6,2021-08-28T10:05:33.873+00:00,4344,5,5,0,96,4.403204729309272,121
2024-12-23,0.1.6,2021-08-28T10:05:33.873+00:00,4347,5,1,0,96,4.403204729309272,121
2024-12-24,0.1.6,2021-08-28T10:05:33.873+00:00,4348,5,1,0.022999080036798528,96,4.403204729309272,121
2024-12-25,0.1.6,2021-08-28T10:05:33.873+00:00,4349,5,1,0,96,4.403204729309272,121
2024-12-26,0.1.6,2021-08-28T10:05:33.873+00:00,4351,5,1,0,96,4.403204729309272,121
2024-12-27,0.1.6,2021-08-28T10:05:33.873+00:00,4354,5,1,0,96,4.403204729309272,121
2024-12-28,0.1.6,2021-08-28T10:05:33.873+00:00,4355,5,1,0,96,4.403204729309272,121
2024-12-29,0.1.6,2021-08-28T10:05:33.873+00:00,4359,5,1,0,96,4.403204729309272,121
2024-12-30,0.1.6,2021-08-28T10:05:33.873+00:00,4361,5,1,0,96,4.403204729309272,121
2024-12-31,0.1.6,2021-08-28T10:05:33.873+00:00,4363,5,1,0,96,4.403204729309272,121
2025-01-01,0.1.6,2021-08-28T10:05:33.873+00:00,4364,5,1,0,96,4.403204729309272,121
2025-01-02,0.1.6,2021-08-28T10:05:33.873+00:00,4366,5,1,0,96,4.403204729309272,121
2025-01-03,0.1.6,2021-08-28T10:05:33.873+00:00,4367,5,1,0.02289901534234028,96,4.403204729309272,121
2025-01-04,0.1.6,2021-08-28T10:05:33.873+00:00,4368,5,1,0,96,4.403204729309272,123
2025-01-05,0.1.6,2021-08-28T10:05:33.873+00:00,4371,5,1,0,96,4.403204729309272,123
2025-01-06,0.1.6,2021-08-28T10:05:33.873+00:00,4373,5,1,0,96,4.403204729309272,123
2025-01-07,0.1.6,2021-08-28T10:05:33.873+00:00,4373,5,1,0,96,4.403204729309272,123
2025-01-08,0.1.6,2021-08-28T10:05:33.873+00:00,4375,5,1,0,96,4.403204729309272,123
2025-01-09,0.1.6,2021-08-28T10:05:33.873+00:00,4376,5,1,0,96,4.403204729309272,123
2025-01-10,0.1.6,2021-08-28T10:05:33.873+00:00,4378,5,1,0,96,4.403204729309272,123
2025-01-11,0.1.6,2021-08-28T10:05:33.873+00:00,4382,5,1,0.022820629849383843,96,4.403204729309272,123
2025-01-12,0.1.6,2021-08-28T10:05:33.873+00:00,4383,5,1,0,96,4.403204729309272,123
2025-01-13,0.1.6,2021-08-28T10:05:33.873+00:00,4386,5,4,0.02280501710376283,96,4.403204729309272,123
2025-01-14,0.1.6,2021-08-28T10:05:33.873+00:00,4390,5,1,0,96,4.403204729309272,123
2025-01-15,0.1.6,2021-08-28T10:05:33.873+00:00,4393,5,1,0,96,4.403204729309272,123
2025-01-16,0.1.6,2021-08-28T10:05:33.873+00:00,4394,5,1,0,96,4.403204729309272,123
2025-01-17,0.1.6,2021-08-28T10:05:33.873+00:00,4398,5,1,0,96,4.403204729309272,123
2025-01-18,0.1.6,2021-08-28T10:05:33.873+00:00,4399,5,1,0,96,4.403204729309272,123
2025-01-19,0.1.6,2021-08-28T10:05:33.873+00:00,4399,5,1,0,96,4.403204729309272,123
2025-01-20,0.1.6,2021-08-28T10:05:33.873+00:00,4404,5,1,0.022716946842344387,97,4.403204729309272,123
2025-01-21,0.1.6,2021-08-28T10:05:33.873+00:00,4407,5,1,0,97,4.403204729309272,123
2025-01-22,0.1.6,2021-08-28T10:05:33.873+00:00,4411,5,5,0,97,4.403204729309272,123
2025-01-23,0.1.6,2021-08-28T10:05:33.873+00:00,4414,5,5,0,97,4.403204729309272,129
2025-01-24,0.1.6,2021-08-28T10:05:33.873+00:00,4418,5,5,0,97,4.403204729309272,129
2025-01-25,0.1.6,2021-08-28T10:05:33.873+00:00,4418,5,5,0,97,4.403204729309272,129
2025-01-26,0.1.6,2021-08-28T10:05:33.873+00:00,4420,5,5,0,97,4.403204729309272,130
2025-01-27,0.1.6,2021-08-28T10:05:33.873+00:00,4421,5,5,0,97,4.403204729309272,130
2025-01-28,0.1.6,2021-08-28T10:05:33.873+00:00,4427,5,5,0.022593764121102578,97,4.403204729309272,130
2025-01-29,0.1.6,2021-08-28T10:05:33.873+00:00,4429,5,5,0.022578460149017838,97,4.403204729309272,130
2025-01-30,0.1.6,2021-08-28T10:05:33.873+00:00,4430,5,5,0,97,4.403204729309272,130
2025-01-31,0.1.6,2021-08-28T10:05:33.873+00:00,4432,5,5,0,97,4.403204729309272,130
2025-02-01,0.1.6,2021-08-28T10:05:33.873+00:00,4434,5,5,0.02255299954894001,97,4.403204729309272,130
2025-02-02,0.1.6,2021-08-28T10:05:33.873+00:00,4438,5,5,0,97,4.403204729309272,130
2025-02-03,0.1.6,2021-08-28T10:05:33.873+00:00,4441,5,5,0.02252252252252252,97,4.403204729309272,131
2025-02-04,0.1.6,2021-08-28T10:05:33.873+00:00,4442,5,5,0,97,4.403204729309272,131
2025-02-05,0.1.6,2021-08-28T10:05:33.873+00:00,4445,5,5,0,97,4.403204729309272,131
2025-02-06,0.1.6,2021-08-28T10:05:33.873+00:00,4448,5,5,0,97,4.403204729309272,131
2025-02-07,0.1.6,2021-08-28T10:05:33.873+00:00,4453,5,5,0,97,4.403204729309272,131
2025-02-08,0.1.6,2021-08-28T10:05:33.873+00:00,4454,5,5,0,97,4.403204729309272,131
2025-02-09,0.1.6,2021-08-28T10:05:33.873+00:00,4454,5,6,0,97,4.403204729309272,131
2025-02-10,0.1.6,2021-08-28T10:05:33.873+00:00,4455,5,5,0,97,4.403204729309272,131
2025-02-11,0.1.6,2021-08-28T10:05:33.873+00:00,4458,5,5,0,97,4.403204729309272,131
2025-02-12,0.1.6,2021-08-28T10:05:33.873+00:00,4459,5,5,0,97,4.403204729309272,137
2025-02-13,0.1.6,2021-08-28T10:05:33.873+00:00,4461,5,5,0,97,4.403204729309272,143
2025-02-14,0.1.6,2021-08-28T10:05:33.873+00:00,4464,5,5,0,97,4.403204729309272,151
2025-02-15,0.1.6,2021-08-28T10:05:33.873+00:00,4468,5,5,0.02238638907544213,97,4.403204729309272,158
2025-02-16,0.1.6,2021-08-28T10:05:33.873+00:00,4468,5,5,0,97,4.403204729309272,158
2025-02-17,0.1.6,2021-08-28T10:05:33.873+00:00,4469,5,5,0,97,4.403204729309272,158
2025-02-18,0.1.6,2021-08-28T10:05:33.873+00:00,4472,5,5,0,97,4.403204729309272,158
2025-02-19,0.1.6,2021-08-28T10:05:33.873+00:00,4474,5,5,0,97,4.403204729309272,158
2025-02-20,0.1.6,2021-08-28T10:05:33.873+00:00,4476,5,5,0,97,4.403204729309272,158
2025-02-21,0.1.6,2021-08-28T10:05:33.873+00:00,4480,5,5,0,97,4.403204729309272,158
2025-02-22,0.1.6,2021-08-28T10:05:33.873+00:00,4483,5,5,0,97,4.403204729309272,158
2025-02-23,0.1.6,2021-08-28T10:05:33.873+00:00,4485,5,5,0,97,4.403204729309272,158
2025-02-24,0.1.6,2021-08-28T10:05:33.873+00:00,4486,5,5,0,97,4.403204729309272,158
2025-02-25,0.1.6,2021-08-28T10:05:33.873+00:00,4487,5,8,0,97,4.403204729309272,158
2025-02-26,0.1.6,2021-08-28T10:05:33.873+00:00,4491,5,5,0,97,4.403204729309272,158
2025-02-27,0.1.6,2021-08-28T10:05:33.873+00:00,4493,5,5,0,97,4.403204729309272,158
2025-02-28,0.1.6,2021-08-28T10:05:33.873+00:00,4493,5,5,0,97,4.403204729309272,158
2025-03-01,0.1.6,2021-08-28T10:05:33.873+00:00,4494,5,5,0,97,4.403204729309272,164
2025-03-02,0.1.6,2021-08-28T10:05:33.873+00:00,4496,5,5,0,97,4.403204729309272,164
2025-03-03,0.1.6,2021-08-28T10:05:33.873+00:00,4499,5,5,0,97,4.403204729309272,164
2025-03-04,0.1.6,2021-08-28T10:05:33.873+00:00,4504,5,5,0,97,4.403204729309272,164
2025-03-05,0.1.6,2021-08-28T10:05:33.873+00:00,4508,5,5,0,97,4.403204729309272,164
2025-03-06,0.1.6,2021-08-28T10:05:33.873+00:00,4508,5,5,0,97,4.403204729309272,164
2025-03-07,0.1.6,2021-08-28T10:05:33.873+00:00,4508,5,5,0,97,4.403204729309272,164
2025-03-08,0.1.6,2021-08-28T10:05:33.873+00:00,4509,5,5,0,97,4.403204729309272,164
2025-03-09,0.1.6,2021-08-28T10:05:33.873+00:00,4509,5,5,0,97,4.403204729309272,164
2025-03-10,0.1.6,2021-08-28T10:05:33.873+00:00,4510,5,5,0,97,4.403204729309272,164
2025-03-11,0.1.6,2021-08-28T10:05:33.873+00:00,4514,5,5,0,97,4.403204729309272,164
2025-03-12,0.1.6,2021-08-28T10:05:33.873+00:00,4517,5,5,0,97,4.403204729309272,165
2025-03-13,0.1.6,2021-08-28T10:05:33.873+00:00,4519,5,5,0,97,4.403204729309272,166
2025-03-14,0.1.6,2021-08-28T10:05:33.873+00:00,4524,5,5,0,97,4.403204729309272,168
2025-03-15,0.1.6,2021-08-28T10:05:33.873+00:00,4527,5,5,0,97,4.403204729309272,170
2025-03-16,0.1.6,2021-08-28T10:05:33.873+00:00,4528,5,2,0,97,4.403204729309272,171
