date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2026-04-24,1.1.1,2026-04-07T20:17:08.673+00:00,90,4,1,0,11,4.41319050964265,66
2026-04-25,1.1.1,2026-04-07T20:17:08.673+00:00,98,4,1,0,11,4.413132553171136,67
2026-04-26,1.1.1,2026-04-07T20:17:08.673+00:00,100,4,1,0,11,4.413166733079068,70
2026-04-27,1.1.1,2026-04-07T20:17:08.673+00:00,107,4,1,0,11,4.413049824917636,71
2026-04-29,1.1.1,2026-04-07T20:17:08.673+00:00,112,4,1,0,11,4.412985908414358,76
2026-04-30,1.1.1,2026-04-07T20:17:08.673+00:00,114,4,1,0,11,4.413065621816863,78
2026-05-01,1.1.1,2026-04-07T20:17:08.673+00:00,114,4,1,0,11,4.412962449802845,80
2026-05-02,1.1.1,2026-04-07T20:17:08.673+00:00,115,4,1,0,11,4.412945548080683,81
2026-05-03,1.1.1,2026-04-07T20:17:08.673+00:00,117,4,1,0,11,4.41298226323222,84
2026-05-06,1.1.1,2026-04-07T20:17:08.673+00:00,124,4,1,0,11,4.413174718122547,90
2026-05-07,1.1.1,2026-04-07T20:17:08.673+00:00,126,4,1,0,11,4.41311604651874,90
2026-05-08,1.1.1,2026-04-07T20:17:08.673+00:00,127,4,1,0.7874015748031495,11,4.413160380107776,91
2026-05-09,1.1.1,2026-04-07T20:17:08.673+00:00,132,4,1,0,11,4.413033885840357,94
2026-05-10,1.1.1,2026-04-07T20:17:08.673+00:00,135,4,1,0,11,4.412992296759956,95
2026-05-11,1.1.1,2026-04-07T20:17:08.673+00:00,136,4,1,0,11,4.413051455724939,96
2026-05-14,1.1.1,2026-04-07T20:17:08.673+00:00,147,4,1,0,11,4.413077882474763,100
2026-05-15,1.1.1,2026-04-07T20:17:08.673+00:00,149,4,1,0,11,4.413096408539496,101
2026-05-16,1.1.1,2026-04-07T20:17:08.673+00:00,152,4,1,0,11,4.413020570077261,103
2026-05-17,1.1.1,2026-04-07T20:17:08.673+00:00,159,4,1,0,11,4.412887834892239,103
