date,version,lastUpdated,install,averagerating,ratingcount,trendingdaily,updateCount,weightedRating,downloadCount
2025-12-18,1.0.1,2025-12-18T07:34:16.507+00:00,1,5,1,0,1,4.450978315549789,6
2025-12-19,1.0.1,2025-12-18T07:34:16.507+00:00,3,5,1,0,1,4.4510051664031645,11
2025-12-20,1.0.1,2025-12-18T07:34:16.507+00:00,3,5,1,0,1,4.451083470544281,15
2025-12-21,1.0.1,2025-12-18T07:34:16.507+00:00,3,5,1,0,1,4.4510405373244835,16
2025-12-22,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451028730428345,18
2025-12-23,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.4510223631618935,20
2025-12-24,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451174493320214,20
2025-12-25,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451266850631775,20
2025-12-26,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451345304797165,22
2025-12-27,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.45128002111375,22
2025-12-28,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451149690645489,22
2025-12-29,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451195790500933,22
2025-12-30,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451020461976585,22
2025-12-31,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.450981167384915,24
2026-01-01,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451067445705515,26
2026-01-02,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.448254770032162,28
2026-01-03,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451049848892868,29
2026-01-04,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451136131821562,31
2026-01-05,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.4511825268905625,32
2026-01-06,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451311489423261,33
2026-01-07,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451392631343735,33
2026-01-08,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.451477513809614,33
2026-01-09,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.452780998421339,33
2026-01-10,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.45273631840796,34
2026-01-11,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.452653002460604,35
2026-01-12,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.4526760010468465,36
2026-01-13,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.453989335601427,36
2026-01-14,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.454015171331415,38
2026-01-15,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.453958936613872,40
2026-01-16,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.45398392457216,41
2026-01-17,1.0.1,2025-12-18T07:34:16.507+00:00,4,5,1,0,1,4.453894687340797,41
